Slide_No,District,Slide_Name,event_datetime,time_assumed_midnight,rain_24h_mm,rain_72h_mm,rain_7d_mm,threshold_1d_moderate_mm_per_day,threshold_3d_moderate_mm_per_day,threshold_7d_moderate_mm_per_day,crossed_24h,crossed_72h,crossed_7d,crossed_any_window
SKM/EAS/78A12/2014/002,East Sikkim,6 km from Martam,2014-08-26 00:00:00,True,52.1,100.6,274.2,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM/EAS/78A08/2014/003,East Sikkim,Sirwani Landslide,2014-08-25 00:00:00,True,24.2,79.8,246.6,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/ED/78A12/2017/01,East Sikkim,Pachey landslide near Pakyong Town,2017-07-09 00:00:00,True,96.9,165.3,295.9,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM/EAS/78A11/2014/001,East Sikkim,Mangthang Landslide,2014-08-16 00:00:00,True,10.2,84.2,203.8,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/EAS/78A11/2014/01,East Sikkim,Dhankutey dhara Slide,2013-08-28 00:00:00,True,35.4,98.2,180.4,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/WES/78A03/2014/02,West Sikkim,Tamabung slide,2013-09-01 21:30:00,False,35.7,55.8,126.2,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SKM/NOR/78A11/2014/007,North Sikkim,Tanek Rockslide,2014-06-24 00:00:00,True,46.0,145.8,179.1,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM/NOR/78A11/2014/006,North Sikkim,Ambithang Landslide,2014-07-08 00:00:00,True,25.3,69.4,121.1,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SKM/NOR/78A10/2014/004,North Sikkim,Pakshek Landslide,2014-07-01 00:00:00,True,72.7,201.1,397.8,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM/NOR/78A10/2014/005,North Sikkim,Lanthakhola,2014-07-08 00:00:00,True,25.3,69.4,121.1,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/ED/78A6/2016/01,North Sikkim,Dzongu landslide,2016-08-13 13:30:00,False,19.1,51.7,139.8,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SKM/EAST/78A12/2015/002,East Sikkim,Kumrek landslide,2015-07-08 00:00:00,True,2.4,43.3,193.8,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SKM/NORTH/78A11/2015/003,North Sikkim,Rangrang Landslide,2015-06-01 00:00:00,True,33.2,71.2,82.9,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SKM/EAST/78A11/2015/004,East Sikkim,Tumin Landslide,2015-07-11 00:00:00,True,45.7,82.5,264.7,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM/ND/78A/06_10/ 2016/01,North Sikkim,Dzongu landslide,2016-08-13 13:30:00,False,19.1,51.7,139.8,43.26,55.08751618822398,66.37554253520398,False,False,True,True
"State: Sikkim/district: North
District/toposheet:
78A/11/year: 2018/serial no.",North Sikkim,Kabi Landslide,2018-08-02 00:00:00,True,26.2,93.3,179.5,43.26,55.08751618822398,66.37554253520398,False,True,True,True
"State: Sikkim/District : West
District/Toposheet:
78A/03/year: 2019",West District,Yuksom-Tsong Village landslide,2019-09-16 00:00:00,True,38.2,172.2,256.9,43.26,55.08751618822398,66.37554253520398,False,True,True,True
"State: Sikkim/District: East
District/Toposheet:
78A/11/year: 2019/",East Sikkim,"Palzor Stadium road, Gangtok",2019-04-23 05:00:00,False,1.6,27.9,65.2,43.26,55.08751618822398,66.37554253520398,False,False,False,False
"Sikkim/ North District/
78A/11/2020/02",North Sikkim,"Dhare Slide, Kabi",2020-05-24 12:30:00,False,75.3,133.9,234.0,43.26,55.08751618822398,66.37554253520398,True,True,True,True
"Sikkim/ North District/
78A/11/2020/03",North Sikkim,"Satala Slide, Kabi",2020-05-24 13:50:00,False,74.4,134.7,235.2,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SI/ESI/ 78A11/ 2021/RP1,East Sikkim,Ranipool to Pakyong road slide,2021-10-19 00:00:00,True,57.5,58.1,58.1,43.26,55.08751618822398,66.37554253520398,True,True,False,True
SK/ES/78 A11/CL,East Sikkim,Chuba Landslide,2021-10-19 00:00:00,True,57.5,58.1,58.1,43.26,55.08751618822398,66.37554253520398,True,True,False,True
SK/ES/78 A11/DA-I,East Sikkim,"Development area- I (Near Little Pixes
School)",2021-06-06 00:00:00,True,101.1,237.2,440.0,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A/07/2021/14,East Sikkim,Dikchu-Samdong road,2021-08-23 00:00:00,True,135.2,344.8,631.5,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A/11/2021/15,East Sikkim,Mangthang,2021-08-22 00:00:00,True,53.7,244.8,554.2,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A11/PB,East Sikkim,Pagla Bhir,2021-08-27 00:00:00,True,99.8,296.9,520.9,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A11/SG-1,East Sikkim,Sisa Golai Slide I,2021-06-01 10:30:00,False,33.0,64.5,168.3,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/ES/78 A11/TG-I,East Sikkim,Tamang Gompa Slide-I,2021-06-08 00:00:00,True,68.1,260.0,552.6,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A11/TVP-I,East Sikkim,Tashi View Point -I,2021-06-05 00:00:00,True,84.9,217.5,361.5,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A/07/2021/13,South Sikkim,"Tokdey block, Lingmoo",2021-08-23 00:00:00,True,117.2,299.8,539.9,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/NS/78 A10/ Bop 1,North Sikkim,Bop Slide,2021-06-18 00:00:00,True,56.7,103.8,230.9,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A11/IBP-I,East Sikkim,Indira Bye Pass -I,2021-05-18 00:00:00,True,38.0,112.6,330.6,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/ES/78 A11/PGS-I,East Sikkim,Paani House slide I,2021-10-19 20:00:00,False,133.8,154.8,155.1,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK/ES/78 A11/2021/CPWD-1,East Sikkim,"CPWD AEQ LANDSLIDE (Asst. Engineer
Quarter Slide)",2021-10-19 18:00:00,False,115.9,149.6,149.6,43.26,55.08751618822398,66.37554253520398,True,True,True,True
"SK/NS/78 A10/ 2021/Que Khola-
I",East Sikkim,Que Khola Landslide,2021-08-01 16:00:00,False,17.400000000000002,84.5,140.7,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/ES/78 A11/2021/NPB-1,East Sikkim,Pagla Bhir slide,2021-08-27 00:00:00,True,99.8,296.9,520.9,43.26,55.08751618822398,66.37554253520398,True,True,True,True
Sikkim/Namchi/78 A07/2022/01,Namchi,7th Mile_ Legship-Ravangla Road,2022-07-10 08:30:00,False,0.8,17.9,26.7,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SKM/ Namchi/78 A07/2022/01,Namchi,Pathing Yang Yang Slide,2022-11-18 00:00:00,True,0.0,0.0,0.0,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SKM/ Soreng/78 A08/2022/01,Soreng,01/JR/Baiguney,2022-11-20 00:00:00,True,0.0,0.7000000000000001,4.4,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SKM/ES/78 A11/2022/TVP-I1,East Sikkim,Tashi view point-II(TVP-II),2022-05-29 00:00:00,True,1.3,22.400000000000002,48.1,43.26,55.08751618822398,66.37554253520398,False,False,False,False
"SKM/ES/78
A12/2022/Basnettgaon",Pakyong,Basnettgaon Landslide.,2022-10-10 00:00:00,True,31.3,71.1,158.6,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SKM/ES/78 A12/2022/Kitgolai,Pakyong,Kitgolai Landslide,2022-08-25 00:00:00,True,0.0,5.9,46.6,43.26,55.08751618822398,66.37554253520398,False,False,False,False
"SKM/Gangtok/78A11/2023/01/
Sokpay",Gangtok District,Sokpay slide,2023-03-26 00:00:00,True,35.9,99.7,227.1,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SK/ES/78 A11/Sang,East Sikkim,Sang,2022-05-12 00:00:00,True,8.799999999999999,21.8,51.7,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SK/ES/78 A07/Sherwani 02,East Sikkim,Sherwani 02,2022-06-15 00:00:00,True,19.0,64.3,221.8,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SKM/Geyzing/78A08/2022/01,Geyzing,Sikkip,2022-08-20 00:00:00,True,7.6,28.4,73.5,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SKM/Pakyong/78A12/2023,Pakyong,Rangpo Check Post,2023-10-04 00:00:00,True,14.8,16.3,19.400000000000002,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SKM/MAN/78A11/11/2023,Mangan,South Dikchu,2023-10-04 00:00:00,True,5.2,6.3,12.9,43.26,55.08751618822398,66.37554253520398,False,False,False,False
"SKM/ND/78 A03/2023/Muyung-
02",Namchi,Muyung-02 Landslide,2023-09-23 00:00:00,True,8.3,16.4,23.900000000000002,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SI/GAN/78A07/2024/48,Gangtok District,Dipudara landslide,2024-08-21 00:00:00,True,8.1,23.4,27.3,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SI/MAN/78A11/2025/1,Mangan,Phensang Landslide,2024-07-21 00:00:00,True,20.3,38.8,88.7,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SI/GYA/78A03/2025/01,Gyalshing,Rimbi,2025-09-11 00:00:00,True,39.4,75.2,144.3,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SI/GTK/78A11/2025/02,Gangtok District,Tintek Landslide,2025-07-19 00:00:00,True,2.5,32.6,191.7,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SI/GTK/78A11/2025/03,Gangtok District,Upper Sichey Landslide,2025-07-31 18:30:00,False,4.3,36.1,165.7,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SK- 24/2011,West district,Tikjuk landslide,2011-06-24 23:30:00,False,69.3,110.7,172.7,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SK- 25/2011,West district,Pelling landslide,2011-06-24 23:00:00,False,66.6,106.8,170.3,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM-01/2012-13,East Sikkim,Saketang,2012-06-07 04:50:00,False,5.2,13.1,62.4,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SKM-02/2012-13,East Sikkim,Chopse Slide,2012-06-07 04:30:00,False,2.9,7.1000000000000005,57.2,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SKM-03/2012-13,East Sikkim,Dharakham Slide,2012-06-07 04:50:00,False,2.9,7.1000000000000005,57.2,43.26,55.08751618822398,66.37554253520398,False,False,False,False
SKM-04/2012-13,East Sikkim,Rockse Slide 1,2012-07-13 00:00:00,True,54.699999999999996,153.7,267.7,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM-05/2012-13,East Sikkim,Rockse Slide 2,2012-07-13 00:00:00,True,54.699999999999996,153.7,267.7,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM-06/2012-13,North Sikkim,Pegong Slide,2012-06-26 00:00:00,True,76.8,140.2,261.9,43.26,55.08751618822398,66.37554253520398,True,True,True,True
SKM-07/2012-13,North Sikkim,Theng Slide,2012-06-22 00:00:00,True,22.3,51.8,202.5,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SKM-08/2012-13,North Sikkim,Tung Slide,2012-06-22 00:00:00,True,22.3,51.8,202.5,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SKM-09/2012-13,North Sikkim,Rubom Slide,2012-06-22 00:00:00,True,22.3,51.8,202.5,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SKM-10/2012-13,North Sikkim,Singik Slide,2012-06-22 00:00:00,True,22.3,51.8,202.5,43.26,55.08751618822398,66.37554253520398,False,False,True,True
SKM-11/2012-13,North Sikkim,Deodara Slide,2012-07-17 00:00:00,True,22.1,170.3,362.7,43.26,55.08751618822398,66.37554253520398,False,True,True,True
SKM/78A11/2009,North Sikkim,,2009-05-09 00:00:00,True,2.9,12.1,32.0,43.26,55.08751618822398,66.37554253520398,False,False,False,False
