state,model,fold,n_test,roc_auc,accuracy,precision,recall,f1
assam,logistic_regression,0,233,0.9450257921886515,0.8798283261802575,0.9484536082474226,0.8,0.8679245283018868
assam,random_forest,0,233,0.9535003684598379,0.9098712446351931,0.9272727272727272,0.8869565217391304,0.9066666666666666
assam,logistic_regression,1,221,0.9585833333333332,0.8959276018099548,0.8686868686868687,0.8958333333333334,0.882051282051282
assam,random_forest,1,221,0.9651666666666667,0.9049773755656109,0.8640776699029126,0.9270833333333334,0.8944723618090452
assam,logistic_regression,2,224,0.9425974647213586,0.8973214285714286,0.9150943396226415,0.8738738738738738,0.8940092165898618
assam,random_forest,2,224,0.9476600494299608,0.8973214285714286,0.9,0.8918918918918919,0.8959276018099548
assam,logistic_regression,3,258,0.9583460018242627,0.9263565891472868,0.9626865671641791,0.9020979020979021,0.9314079422382672
assam,random_forest,3,258,0.9608391608391609,0.9263565891472868,0.9305555555555556,0.9370629370629371,0.9337979094076655
assam,logistic_regression,4,223,0.9220338983050849,0.8654708520179372,0.8571428571428571,0.8571428571428571,0.8571428571428571
assam,random_forest,4,223,0.9265940274414851,0.8834080717488789,0.8623853211009175,0.8952380952380953,0.8785046728971962
