state,model,fold,n_test,roc_auc,accuracy,precision,recall,f1
mizoram,logistic_regression,0,692,0.6876833702511808,0.6372832369942196,0.6207865168539326,0.655786350148368,0.6378066378066378
mizoram,random_forest,0,692,0.6840807456012037,0.6372832369942196,0.6143617021276596,0.685459940652819,0.6479663394109397
mizoram,logistic_regression,1,710,0.6682301587301587,0.6098591549295774,0.5938303341902313,0.66,0.625169147496617
mizoram,random_forest,1,710,0.6604285714285714,0.6211267605633802,0.6051948051948052,0.6657142857142857,0.6340136054421769
mizoram,logistic_regression,2,768,0.7271962233169129,0.6705729166666666,0.6184538653366584,0.7126436781609196,0.6622162883845126
mizoram,random_forest,2,768,0.7347016967706623,0.6770833333333334,0.6219512195121951,0.7327586206896551,0.6728232189973615
mizoram,logistic_regression,3,753,0.7087095772899148,0.650730411686587,0.6430379746835443,0.675531914893617,0.6588845654993515
mizoram,random_forest,3,753,0.7125049382019301,0.6613545816733067,0.6531645569620254,0.6861702127659575,0.669260700389105
mizoram,logistic_regression,4,828,0.7281732388020772,0.6811594202898551,0.7475490196078431,0.6545064377682404,0.6979405034324943
mizoram,random_forest,4,828,0.7391933227420387,0.6884057971014492,0.7407407407407407,0.6866952789699571,0.7126948775055679
