state,model,fold,n_test,roc_auc,accuracy,precision,recall,f1
nagaland,logistic_regression,0,636,0.7102046914686987,0.6367924528301887,0.6737804878048781,0.6405797101449275,0.6567607726597325
nagaland,random_forest,0,636,0.7502764081876586,0.6823899371069182,0.7109144542772862,0.6985507246376812,0.7046783625730995
nagaland,logistic_regression,1,584,0.7296287425149701,0.6626712328767124,0.5956678700361011,0.66,0.6261859582542695
nagaland,random_forest,1,584,0.749125748502994,0.6917808219178082,0.6296296296296297,0.68,0.6538461538461539
nagaland,logistic_regression,2,683,0.7313095792177345,0.6705710102489019,0.6850393700787402,0.7131147540983607,0.6987951807228916
nagaland,random_forest,2,683,0.7729482339556291,0.7027818448023426,0.7245179063360881,0.7185792349726776,0.7215363511659808
nagaland,logistic_regression,3,594,0.7070861678004534,0.6515151515151515,0.6314199395770392,0.7108843537414966,0.6688
nagaland,random_forest,3,594,0.7294784580498866,0.6582491582491582,0.6391437308868502,0.7108843537414966,0.6731078904991948
nagaland,logistic_regression,4,631,0.6778879015721122,0.6196513470681458,0.603030303030303,0.6461038961038961,0.6238244514106583
nagaland,random_forest,4,631,0.6934079852036509,0.6418383518225039,0.617816091954023,0.698051948051948,0.6554878048780488
