sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
SKM/NS/78A04/2017/128,27.1215,88.142222,1253.6,38.62,164.42,0.0,,forest,5293.5,1,West Sikkim,,Slide,3000,-0.002827,415.6,57.76
SKM/ES/78A11/2015/157,27.264361,88.558389,610.5,22.67,142.73,0.2471,,forest,5621.3,1,East Sikkim,,Slide,2400,0.019392,41.6,36.53
SK/WEST/78A08/2015/0236,27.237583,88.298306,507.6,51.25,48.16,0.4118,,forest,4233.5,1,West Sikkim,,Slide,0,0.006538,41.6,89.17
SKM/ES/78A11/2015/155,27.254778,88.542444,643.0,36.24,162.81,0.1176,,forest,5651.5,1,East Sikkim,,Slide,2250,0.000415,188.2,53.89
SKM/SS/78A08/2015/235,27.233667,88.348389,1915.4,33.12,306.69,0.0,,forest,4285.6,1,South Sikkim,,Slide,420,-0.002907,812.8,47.55
SK/EAST/78A12/2015/0217,27.195639,88.634028,549.2,31.78,337.21,0.3294,,forest,3788.7,1,East Sikkim,,Slide,0,0.013426,65.7,47.59
SKM/ES/78A11/2015/405,27.369306,88.691583,2814.5,36.26,111.21,0.0,,forest,4320.8,1,East Sikkim,,Slide,600,-0.007929,665.0,53.52
SKM/NS/78A03/2017/55,27.347278,88.196833,1846.7,35.77,81.88,0.0,,forest,4884.2,1,West Sikkim,,Slide,200,-0.008556,408.3,52.31
SKM/SS/78A07/2015/335,27.297139,88.388472,1515.4,25.56,239.91,0.0118,,forest,5450.0,1,South Sikkim,,Slide,250,-0.002959,251.1,34.64
SKM/SS/78A08/2015/278,27.158944,88.427111,1588.3,39.49,240.21,0.0,,forest,4152.4,1,South Sikkim,,Slide,12500,-0.002634,395.4,59.02
SKM/NS/78A03/2017/07,27.294889,88.079944,2087.4,24.67,7.45,0.2,,forest,3299.2,1,West Sikkim,,Slide,825,-0.012245,166.2,35.02
SKM/WS/78A08/2015/294,27.159472,88.300028,646.8,25.95,294.63,0.2,,forest,3736.3,1,West Sikkim,,Slide,450,0.000672,29.4,35.05
SKM/SS/78A08/2015/255,27.084722,88.443833,283.4,19.16,189.37,0.2,,forest,3591.2,1,South Sikkim,,Slide,10500,0.031623,0.0,39.33
SK/EAST/78A12/2015/0218,27.193083,88.602778,499.3,36.71,169.95,0.2353,,forest,3770.0,1,East Sikkim,,Slide,0,0.005814,117.6,54.68
SKM/WS/78A07/2015/352,27.3955,88.306889,1622.6,38.23,240.06,0.0,,forest,5922.0,1,West Sikkim,,Slide,2450,-0.013949,409.3,58.1
SKM/SS/78A08/2015/233,27.155306,88.390278,1203.9,35.21,317.64,0.2,,forest,4178.5,1,South Sikkim,,Slide,160,0.011666,65.7,53.55
SKM/ES/78A11/2015/399,27.371472,88.709722,3141.5,37.54,244.93,0.0235,,grassland,3929.4,1,East Sikkim,,Slide,3000,0.002998,270.9,56.03
 ,27.231667,88.5025,392.6,28.62,343.33,0.2824,,forest,5334.9,1,East Sikkim,Initiated in July 2020 and reactivated before December 2020.,,,0.002183,0.0,41.77
SKM/SS/78A12/2015/146,27.197417,88.4905,364.9,47.06,233.49,0.0941,,forest,4757.7,1,South Sikkim,,Slide,3500,0.012392,213.9,77.1
SKM/NS/78A10/2017/172,27.529639,88.598139,1477.5,31.51,3.87,0.0,,forest,6228.0,1,North Sikkim,,Slide,5600,-0.003317,456.2,44.31
SKM/WS/78A08/2015/266,27.151028,88.309889,1203.5,22.77,332.1,0.0,,forest,3778.1,1,West Sikkim,,Slide,180,-0.008671,893.8,31.98
SKM/NS/78A10/2017/223,27.676722,88.597194,2208.6,37.12,240.54,0.2,,forest,3274.0,1,North Sikkim,,Slide,3200,0.005616,146.9,54.93
SKM/NS/78A04/2017/141,27.163861,88.141361,2155.0,34.28,101.78,0.0824,,forest,5500.0,1,West Sikkim,,Slide,800,-0.000482,251.1,48.65
SKM/WS/78A08/2015/390,27.237917,88.30475,843.1,34.11,286.81,0.0,,forest,4247.6,1,West Sikkim,,Slide,60000,-0.019959,457.2,53.18
SKM/NS/78A15/2017/156,27.3145,88.8365,4095.2,31.32,184.03,0.0,,grassland,3525.2,1,East Sikkim,,Slide,5100,-0.000706,635.8,44.09
SKM/NS/78A11/2015/96,27.481083,88.530667,1025.2,29.94,251.29,0.0,,forest,7438.7,1,North Sikkim,,Slide,160,-0.001867,444.7,42.0
 ,27.339722,88.620556,1863.9,26.09,194.71,0.0,,grassland,5628.7,1,East Sikkim,Date of initiation: 08.06.2021 at night.,,,0.001347,436.9,35.05
SKM/NS/78A11/2015/86,27.433083,88.514528,716.3,39.16,260.5,0.2,,built-up,6361.3,1,North Sikkim,,Slide,1000,0.0046,176.3,59.4
