lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
95.136186,28.131694,253.062,26.202,348.077,213.11,10,0.12,22.559,0.001,2011.737,5.489,1
93.691472,27.216639,458.667,40.054,140.229,139.913,50,0.124,18.806,0.01,1601.706,37.404,1
95.922181,28.817477,1586.208,28.206,95.51,312.856,30,0.13,12.591,0.05,1484.763,121.83,1
93.641778,27.103069,380.249,23.746,54.042,391.758,10,0.126,15.866,0.01,1349.472,26.969,1
93.977444,27.83975,644.191,38.248,270.613,176.978,10,0.129,17.883,0.001,1376.975,3.188,1
91.860917,27.584639,2849.61,17.802,79.902,142.684,10,0.129,13.989,0.001,1080.527,1.948,1
93.148694,27.177667,1566.495,29.88,298.572,150.691,10,0.127,10.218,0.001,1824.405,2.36,1
91.866222,27.592667,2943.234,16.434,147.655,118.721,30,0.126,9.322,0.05,1070.101,63.146,1
92.164167,27.395444,1801.39,34.349,96.791,27.983,10,0.129,31.028,0.05,1149.618,229.857,1
93.477942,27.781792,1080.434,29.718,72.983,88.489,10,0.129,20.789,0.001,2227.212,5.971,1
95.775797,28.252176,692.523,42.702,100.328,218.552,10,0.12,26.567,0.001,2094.746,6.666,1
94.536256,28.021678,572.641,28.984,217.914,176.978,10,0.118,9.856,0.001,2174.917,2.539,1
94.953896,28.280246,287.19,42.297,49.885,158.294,10,0.125,32.9,0.001,1974.877,8.139,1
92.24375,27.363417,1623.143,31.517,242.505,118.721,30,0.128,28.096,0.05,1379.884,248.673,1
93.707861,27.234139,435.484,31.824,121.955,251.844,30,0.124,28.414,0.05,1645.957,290.266,1
95.537549,28.242969,590.463,33.84,159.2,239.084,10,0.121,11.81,0.001,2197.627,3.156,1
92.954417,27.542639,1277.073,28.216,109.978,538.258,10,0.127,14.814,0.001,3158.221,6.005,1
92.123583,27.433056,2373.491,32.918,144.316,288.099,10,0.128,19.92,0.001,1114.461,2.848,1
95.858449,28.472858,829.949,44.418,179.104,111.931,10,0.122,41.058,0.001,2102.465,10.559,1
92.274944,27.340556,1575.465,44.351,35.905,187.714,50,0.13,24.63,0.01,1535.106,49.17,1
95.11125,28.133611,270.183,35.123,18.065,167.896,10,0.138,12.321,0.001,2035.214,3.459,1
94.959097,27.793761,213.209,26.704,169.801,257.988,10,0.119,19.462,0.001,1833.409,4.252,1
95.074056,27.951306,427.244,18.324,177.087,437.998,10,0.121,8.716,0.001,1920.784,2.023,1
96.33161,27.91647,1207.044,30.947,233.894,613.708,10,0.126,27.503,0.001,2154.071,7.44,1
96.024049,27.29268,223.777,18.408,124.411,27.983,10,0.122,10.754,0.001,1356.037,1.778,1
92.997139,27.520111,608.01,31.479,177.252,55.965,10,0.132,14.334,0.001,2926.621,5.512,1
95.239167,28.145306,579.894,40.559,181.013,115.376,50,0.126,27.5,0.01,2090.259,71.999,1
93.977278,27.83875,642.709,43.05,306.086,201.786,10,0.129,23.881,0.001,1373.897,4.246,1
96.45238,28.0907,988.913,40.173,199.549,312.856,30,0.123,36.929,0.05,2340.216,529.428,1
94.712278,27.760194,464.065,32.253,220.017,223.862,10,0.124,17.34,0.001,1978.905,4.256,1
91.97728,27.58006,2282.5,23.956,291.498,179.177,10,0.127,7.833,0.001,973.472,0.969,1
95.981911,28.874939,1536.791,25.626,303.361,62.571,10,0.127,11.219,0.001,1345.08,1.913,1
95.178278,28.514083,773.063,32.495,260.782,225.604,10,0.119,14.872,0.001,2253.24,3.981,1
95.46208,28.165711,427.734,26.848,102.53,602.766,10,0.122,11.868,0.001,2154.265,3.118,1
95.857932,28.472919,831.432,46.752,179.265,111.931,10,0.122,36.466,0.001,2102.477,9.381,1
95.849136,28.462314,857.619,37.479,233.104,319.052,10,0.123,17.486,0.05,2088.121,224.91,1
92.965278,27.561111,690.094,32.124,128.134,100.893,10,0.132,14.676,0.001,3106.094,5.997,1
96.224831,27.305527,362.115,28.496,217.694,218.552,30,0.122,21.038,0.05,1352.621,174.574,1
95.470804,28.175659,377.444,36.758,328.676,79.147,50,0.122,17.112,0.001,2162.965,4.527,1
94.81686,28.787001,557.895,22.356,321.159,176.978,10,0.119,18.583,0.001,2813.835,6.25,1
95.245944,28.402417,582.398,29.54,3.041,79.147,10,0.121,20.642,0.001,2164.777,5.401,1
92.104667,27.497222,4155.679,35.88,129.185,686.004,50,0.131,24.027,0.01,1046.368,32.75,1
92.425278,27.277417,2543.508,18.71,143.983,257.988,50,0.125,14.891,0.01,2152.732,39.926,1
93.064833,27.217333,1042.546,31.39,236.693,419.74,10,0.127,22.17,0.01,1753.281,49.594,1
94.715583,27.777278,652.268,28.356,355.034,39.574,10,0.122,12.671,0.001,2000.137,3.114,1
91.894333,27.596278,2454.003,44.542,103.223,83.948,10,0.128,32.644,0.001,1038.569,4.353,1
94.933333,28.235361,343.196,48.131,309.644,167.896,10,0.125,30.001,0.001,1996.253,7.483,1
96.122193,27.282921,392.368,18.922,304.782,297.46,50,0.124,7.715,0.001,1368.889,1.306,1
95.254821,28.138811,622.803,25.229,61.031,504.465,10,0.125,11.008,0.001,2135.492,2.941,1
96.5465,28.2625,1678.262,40.753,353.301,427.137,10,0.129,29.733,0.001,1854.275,7.149,1
96.013675,27.296223,280.657,25.378,264.533,139.913,10,0.12,11.087,0.001,1351.277,1.806,1
95.203694,28.322889,691.953,36.861,5.538,115.376,30,0.119,31.329,0.05,2034.411,379.922,1
95.806755,28.209062,920.695,36.023,249.118,111.931,60,0.12,12.678,0.45,2160.073,1470.926,1
93.010528,27.411944,419.239,18.821,13.081,88.489,10,0.131,15.001,0.001,2412.672,4.744,1
94.785508,28.810126,645.791,35.82,198.593,257.988,10,0.118,32.537,0.001,3050.702,11.722,1
92.962194,27.555611,804.868,32.966,7.011,167.896,10,0.13,19.953,0.001,3115.538,8.101,1
92.959167,27.530556,1108.026,37.672,126.271,562.445,10,0.128,20.682,0.001,3090.042,8.189,1
94.844111,27.897361,726.419,33.115,184.642,277.015,10,0.124,21.93,0.001,2051.874,5.623,1
96.53222,28.20867,1351.098,23.651,190.869,628.833,10,0.128,14.678,0.001,1953.246,3.647,1
95.233806,28.384833,653.895,24.425,13.044,163.166,10,0.12,20.715,0.001,2133.615,5.258,1
96.448473,28.102005,1381.639,39.444,212.778,237.441,10,0.121,30.527,0.001,2342.682,8.678,1
94.692528,27.944444,807.753,29.906,197.372,336.956,60,0.127,13.497,0.05,1950.749,167.17,1
94.590918,28.026515,646.475,19.798,256.046,326.331,10,0.119,8.165,0.001,2064.541,2.01,1
91.9025,27.591389,2534.569,21.48,217.63,197.868,10,0.126,6.848,0.001,1032.916,0.891,1
95.469402,28.174973,363.795,22.992,335.712,27.983,10,0.122,14.178,0.001,2166.017,3.753,1
96.48664,28.05997,488.108,0.708,216.287,27.983,80,0.121,0.21,0.0,2254.488,0.0,1
95.776204,28.237008,839.079,31.895,66.004,327.529,10,0.121,11.03,0.05,2083.574,138.907,1
95.781369,28.227703,883.153,23.378,358.345,625.712,10,0.121,17.463,0.001,2092.27,4.432,1
93.637611,27.103944,422.492,39.197,57.461,327.529,10,0.126,18.369,0.001,1350.539,3.28,1
93.62284,27.09589,369.107,16.572,357.389,83.948,50,0.0,6.53,0.01,1351.708,0.0,1
95.057583,28.619917,853.714,35.566,250.562,257.988,10,0.117,16.49,0.001,2313.094,4.465,1
95.914872,28.244966,2641.127,42.775,349.686,488.697,10,0.123,26.614,0.001,2482.528,8.158,1
93.992333,27.763722,320.521,36.346,38.275,79.147,10,0.13,33.075,0.001,1319.12,5.677,1
93.507833,27.2495,972.419,14.571,37.127,239.084,10,0.127,10.124,0.001,1423.619,1.834,1
93.698194,27.220833,497.929,34.659,141.055,179.177,50,0.124,21.131,0.01,1615.782,42.502,1
95.849951,28.469481,870.232,33.258,237.836,237.441,10,0.121,15.276,0.001,2098.007,3.888,1
96.447685,28.105572,1413.779,21.877,219.882,363.775,30,0.122,16.093,0.05,2342.117,229.292,1
94.956509,28.335376,286.927,45.981,85.1,150.691,10,0.119,39.654,0.001,2018.706,9.537,1
95.385986,26.943433,507.837,21.847,314.07,187.714,10,0.12,10.852,0.001,1321.393,1.728,1
93.660111,27.106722,237.313,29.781,24.287,115.376,60,0.128,13.43,0.001,1375.576,2.358,1
95.471126,28.186582,414.932,30.117,243.967,111.931,30,0.122,17.957,0.001,2205.976,4.836,1
95.292122,28.140639,276.297,31.703,212.812,237.441,10,0.117,28.289,0.001,2222.933,8.579,1
93.536139,27.234917,838.75,26.292,253.701,39.574,50,0.126,13.61,0.05,1434.825,123.099,1
93.7895,27.260222,379.66,21.744,113.631,187.714,10,0.123,6.952,0.001,1632.468,1.399,1
94.023472,27.751917,312.154,39.488,13.956,100.893,10,0.127,24.435,0.001,1435.802,4.482,1
94.616455,28.029848,873.918,42.751,359.27,163.166,10,0.123,23.708,0.001,2015.198,5.869,1
94.681,27.688583,274.278,27.148,340.395,62.571,10,0.12,18.665,0.001,1885.065,4.213,1
95.855884,28.450374,869.216,37.775,251.624,111.931,10,0.122,17.639,0.001,2107.782,4.537,1
95.035722,28.626972,493.494,28.424,271.617,451.207,50,0.121,20.974,0.001,2319.181,5.928,1
