lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
93.284,25.410611,277.184,19.714,78.626,85.865,10,0.126,10.814,0.001,797.174,1.091,1
93.161583,24.993,186.161,29.547,118.565,572.437,10,0.126,10.175,0.001,1432.089,1.845,1
91.76589,26.17756,94.794,18.801,243.037,555.735,10,0.143,7.723,0.001,1573.357,0.631,1
91.939,26.109222,79.442,21.076,322.867,287.646,10,0.126,10.474,0.001,1648.719,2.181,1
93.312597,25.428597,363.943,7.964,164.621,435.955,10,0.123,4.254,0.001,786.279,0.412,1
93.10886,25.81756,200.124,15.411,147.679,527.76,50,0.126,9.327,0.01,814.405,9.579,1
93.025,25.139,605.797,11.509,56.051,409.802,10,0.126,3.138,0.001,1318.734,0.523,1
93.031917,25.148722,435.902,13.585,121.765,90.51,30,0.124,7.944,0.05,1286.762,63.707,1
92.73,24.95,61.733,1.719,300.468,444.33,10,0.123,0.684,0.001,1973.704,0.166,1
93.070778,25.179861,485.576,7.316,130.926,286.218,50,0.127,2.716,0.01,1162.542,4.02,1
92.055531,26.043267,251.879,20.728,1.199,372.084,10,0.126,8.723,0.001,1733.18,1.9,1
92.440222,26.108417,229.292,22.972,192.642,202.387,10,0.129,19.215,0.001,1619.061,4.01,1
92.452222,26.043583,336.605,23.522,241.947,28.622,10,0.124,11.993,0.001,1660.576,2.469,1
93.375972,25.454083,411.569,15.477,311.182,259.182,10,0.122,11.722,0.001,802.751,1.151,1
93.021611,25.214944,617.465,24.197,323.108,670.631,10,0.126,15.231,0.001,1137.418,2.177,1
92.440472,26.102167,325.329,12.645,287.709,263.88,10,0.126,3.54,0.001,1623.907,0.728,1
92.762778,26.172917,102.339,19.08,295.885,28.622,10,0.126,14.358,0.001,1368.656,2.48,1
93.011361,25.216944,476.519,27.616,321.126,487.412,10,0.124,24.031,0.001,1136.983,3.382,1
92.55506,24.79489,45.953,9.411,21.528,161.91,10,0.122,3.76,0.001,1611.761,0.739,1
93.2982,26.347417,303.867,9.925,36.143,121.432,10,0.124,3.423,0.001,1245.991,0.529,1
93.28,25.1,911.032,15.288,150.949,57.244,10,0.122,4.509,0.001,1235.706,0.684,1
92.69072,25.84992,459.386,20.053,304.529,546.819,10,0.127,6.344,0.001,1350.295,1.087,1
92.986944,25.10275,618.565,29.448,326.05,384.002,10,0.126,19.293,0.001,1454.25,3.527,1
92.63,24.54,46.603,3.611,332.237,485.728,10,0.128,0.701,0.001,1209.502,0.108,1
92.0355,26.0405,224.567,6.072,208.304,114.487,40,0.124,3.52,0.15,1724.068,112.436,1
91.734028,26.071556,309.007,20.394,312.122,145.943,10,0.122,8.549,0.001,1642.154,1.721,1
92.784825,25.513567,315.301,3.476,119.09,200.353,60,0.121,1.606,0.45,939.011,82.22,1
91.14528,26.20261,37.837,2.8,57.789,847.612,60,0.0,0.504,0.45,1861.987,0.0,1
90.605,26.061,58.059,17.232,165.063,667.57,10,0.121,10.742,0.001,1721.458,2.229,1
