lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
93.628828,24.645275,463.438,38.39,163.184,121.697,30,0.123,28.466,0.05,912.151,159.448,1
93.07,24.53,133.346,13.816,0.072,443.72,10,0.132,4.013,0.001,1415.19,0.75,1
94.042989,25.437203,1284.954,41.132,309.887,212.842,10,0.129,23.249,0.001,881.96,2.634,1
93.676944,24.667778,1389.672,29.158,104.078,897.689,50,0.125,17.656,0.05,826.855,90.812,1
94.169247,25.335364,1666.397,11.601,189.373,401.459,10,0.122,3.21,0.001,890.26,0.349,1
94.140056,24.682778,896.968,25.725,353.099,147.579,10,0.126,13.542,0.001,775.903,1.329,1
94.592417,24.869917,778.159,25.573,111.806,319.263,10,0.128,8.664,0.001,1166.547,1.299,1
93.701856,24.733256,1295.277,22.824,207.943,336.532,10,0.124,19.063,0.001,887.513,2.105,1
94.1,24.2,1258.729,23.522,281.412,65.999,10,0.127,17.976,0.001,1028.533,2.358,1
94.186028,24.950583,894.506,29.361,204.001,29.516,50,0.125,13.492,0.01,663.951,11.194,1
94.077794,25.416419,1515.287,31.966,183.05,295.158,50,0.124,14.906,0.01,881.96,16.299,1
94.353028,24.834083,1497.002,35.315,349.04,542.642,10,0.129,32.021,0.001,1014.914,4.183,1
93.872,25.528,1627.988,39.652,226.82,602.007,10,0.124,25.074,0.001,1021.81,3.182,1
93.23716,24.805138,173.97,34.037,103.997,121.697,10,0.127,30.706,0.001,1447.73,5.63,1
93.11,24.52,486.43,33.893,15.724,383.706,10,0.129,12.086,0.001,1450.259,2.255,1
93.692953,24.62595,1341.62,22.048,300.694,633.732,10,0.127,18.267,0.001,739.499,1.703,1
94.550786,25.091858,1602.159,40.882,252.643,150.502,10,0.128,37.631,0.001,985.399,4.743,1
93.623222,24.64175,519.464,23.236,149.107,252.183,10,0.123,19.487,0.001,921.259,2.208,1
93.709739,24.548053,1207.057,33.89,77.329,885.475,10,0.127,15.946,0.001,725.885,1.472,1
94.551528,25.0565,1779.384,26.678,268.581,566.981,10,0.127,23.054,0.001,1027.882,3.016,1
94.525222,25.356306,1452.787,15.304,86.002,0.0,10,0.126,11.556,0.001,857.47,1.246,1
93.58,24.12,1003.926,25.362,144.375,608.485,30,0.127,11.318,0.05,777.609,55.858,1
93.898,25.523,2142.38,36.296,162.091,393.79,10,0.125,13.062,0.001,1021.81,1.665,1
93.18,24.27,761.727,27.498,287.614,147.579,10,0.131,12.477,0.001,1194.667,1.943,1
94.525639,25.289806,1127.493,28.216,202.716,250.45,30,0.13,24.657,0.05,857.47,137.354,1
94.537861,25.466611,815.133,28.037,241.44,131.999,30,0.126,21.079,0.001,1057.66,2.817,1
94.555333,25.373639,992.134,21.797,31.964,118.063,10,0.126,7.124,0.001,1057.66,0.953,1
94.07,24.13,1489.234,39.42,231.37,776.441,10,0.126,22.207,0.001,1079.142,3.059,1
94.510083,25.326722,1280.54,33.926,175.857,59.032,30,0.129,18.777,0.05,857.47,104.059,1
93.473028,24.888472,1410.974,43.144,64.059,919.266,60,0.119,32.265,0.45,1138.988,1963.56,1
93.706472,24.943778,1458.698,14.19,124.517,752.509,10,0.124,6.443,0.001,933.925,0.743,1
94.524861,25.181194,1313.277,30.498,44.85,29.516,10,0.13,14.11,0.001,942.246,1.732,1
93.639611,25.115889,1230.938,25.294,322.21,313.758,10,0.123,17.507,0.001,1076.239,2.34,1
93.58,24.17,953.291,12.032,296.477,0.0,10,0.13,8.503,0.001,756.041,0.836,1
94.330448,24.832817,1397.584,40.574,167.778,538.614,30,0.128,19.481,0.05,952.26,119.147,1
94.279306,25.381389,1690.33,29.503,165.713,177.095,10,0.127,17.903,0.001,871.86,1.983,1
94.1515,24.940611,1034.306,20.847,115.346,355.418,30,0.126,6.741,0.05,656.458,27.835,1
94.328686,24.898438,1361.715,28.941,277.492,630.977,10,0.126,24.205,0.001,818.587,2.505,1
94.235833,24.8745,1202.578,28.368,83.652,388.22,10,0.126,12.951,0.001,785.176,1.285,1
93.99,24.01,1237.443,34.492,141.007,567.749,30,0.13,16.27,0.05,1133.83,119.839,1
93.51,24.1,920.039,12.367,120.992,532.104,30,0.128,3.483,0.001,786.267,0.351,1
93.64775,25.118,1209.59,27.21,330.204,377.987,10,0.124,12.321,0.001,1054.116,1.609,1
94.2235,24.717889,1611.672,28.312,117.895,710.836,60,0.126,20.05,0.45,825.552,940.903,1
93.485833,24.729944,291.352,11.239,158.353,0.0,10,0.128,7.791,0.001,1211.453,1.213,1
93.603778,25.055139,962.799,20.201,89.418,59.032,10,0.124,10.059,0.05,1184.261,73.659,1
93.87,25.529,1600.209,37.811,201.568,435.796,30,0.123,23.802,0.05,1021.81,150.315,1
93.55,23.98,812.445,3.672,357.174,147.579,30,0.128,0.725,0.001,813.028,0.076,1
94.460091,24.934336,1947.164,29.926,99.157,561.577,10,0.126,13.799,0.001,957.831,1.67,1
94.155764,24.387708,1216.376,18.064,143.85,236.127,30,0.128,8.745,0.001,1031.054,1.153,1
93.676528,24.543806,1053.998,36.726,247.356,395.997,30,0.129,13.235,0.05,772.171,65.991,1
94.334833,24.831028,1379.537,39.608,130.376,475.929,30,0.127,18.98,0.05,970.258,117.599,1
93.613583,25.083083,1087.358,13.894,135.134,214.879,10,0.126,8.277,0.001,1179.232,1.23,1
94.335333,24.90725,1378.821,29.683,279.678,509.522,10,0.125,13.667,0.001,820.729,1.413,1
94.555444,25.492333,974.004,37.899,307.297,458.209,10,0.127,26.09,0.001,1057.66,3.503,1
94.304444,25.181583,1389.901,21.994,70.654,29.516,10,0.125,11.178,0.001,838.593,1.17,1
93.616397,24.862903,325.171,24.383,165.892,29.516,10,0.124,10.788,0.001,1047.053,1.403,1
94.259444,24.69325,1467.189,34.254,322.55,590.317,10,0.126,18.985,0.001,928.455,2.215,1
94.531722,25.103528,1545.373,12.467,206.565,0.0,10,0.125,8.899,0.001,957.598,1.069,1
93.492806,24.722472,176.826,31.772,208.033,65.999,10,0.129,28.361,0.001,1179.818,4.313,1
94.23361,24.3225,413.046,21.195,293.845,166.967,50,0.127,9.079,0.01,1309.243,15.123,1
94.297361,25.176639,1499.054,31.74,75.653,41.742,10,0.125,19.508,0.001,837.647,2.044,1
93.19,24.24,1039.536,33.792,194.077,566.981,10,0.125,12.045,0.001,1181.348,1.778,1
93.75,24.32,849.089,25.581,122.838,59.032,10,0.124,8.667,0.001,684.966,0.739,1
94.07,24.12,1332.933,28.286,236.935,319.263,10,0.13,12.906,0.001,1102.57,1.842,1
94.242028,24.913611,1403.765,24.057,115.313,384.84,10,0.127,8.043,0.001,771.445,0.789,1
93.56,24.02,788.643,24.97,47.4,147.579,10,0.129,14.654,0.001,798.589,1.509,1
94.316778,24.909542,977.495,36.056,157.853,88.548,10,0.128,17.107,0.001,780.841,1.711,1
94.543694,25.465167,1065.264,30.311,320.864,538.614,10,0.129,14.008,0.05,1057.66,95.674,1
93.394306,24.798278,334.814,19.166,288.771,41.742,30,0.127,10.569,0.05,1436.57,96.708,1
93.72275,25.15775,737.957,33.61,206.629,158.948,10,0.121,30.265,0.001,922.611,3.379,1
94.043697,25.430853,1461.77,33.905,276.052,560.024,50,0.128,30.57,0.01,881.96,33.975,1
93.08,24.23,754.7,42.169,353.725,395.997,10,0.132,26.783,0.001,1151.816,4.059,1
94.322472,24.824278,1380.773,17.417,122.416,563.899,50,0.128,5.383,0.01,952.61,6.58,1
93.721889,24.631861,1330.68,18.774,79.195,236.127,10,0.123,5.915,0.001,709.39,0.519,1
94.134506,25.200853,1308.703,38.113,245.136,208.709,10,0.123,31.683,0.001,861.58,3.361,1
94.138111,24.682167,863.618,34.285,320.172,150.502,50,0.126,19.004,0.001,774.663,1.858,1
94.602278,24.777333,693.609,19.942,323.087,597.65,10,0.126,8.417,0.001,1239.69,1.315,1
