lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
91.877528,25.382694,1367.685,36.245,109.128,548.544,10,0.124,12.815,0.001,1774.48,2.808,1
92.38555,25.258603,831.268,10.977,295.422,279.675,50,0.119,2.938,0.01,1774.48,6.195,1
91.73874417,25.28236861,745.553,36.087,87.268,89.339,10,0.121,16.827,0.001,1935.91,3.948,1
91.090556,25.6655,919.917,18.741,256.396,294.954,30,0.124,7.652,0.001,1400.26,1.325,1
91.295706,25.549861,1482.089,10.893,114.736,279.675,30,0.121,2.909,0.05,1755.4,30.923,1
92.420764,25.045386,176.51,38.594,198.842,220.651,10,0.121,35.352,0.001,1774.48,7.627,1
91.895,25.345611,1569.454,3.295,158.708,720.273,30,0.119,0.619,0.05,1774.48,6.549,1
91.051053,25.436706,623.753,10.759,184.694,189.516,10,0.122,3.778,0.001,1400.26,0.644,1
91.574727,25.196781,241.531,18.702,303.937,481.105,10,0.12,7.632,0.001,1969.54,1.806,1
91.564903,25.935908,476.188,27.867,187.739,376.921,30,0.121,14.652,0.001,1969.54,3.509,1
92.423556,25.043914,196.093,36.288,250.317,116.484,50,0.123,19.913,0.001,1774.48,4.34,1
91.267672,25.544936,1364.355,24.841,13.245,56.503,10,0.118,15.645,0.05,1755.4,162.105,1
91.688941,25.230063,588.662,26.407,91.437,329.466,10,0.125,11.678,0.001,1935.91,2.813,1
91.75498,25.206426,474.545,38.586,215.654,452.023,10,0.122,18.126,0.001,1774.48,3.934,1
91.527843,25.160222,27.094,14.171,275.11,310.766,10,0.123,5.374,0.001,2132.4,1.402,1
91.943417,25.324889,819.514,31.599,174.168,543.427,10,0.125,14.452,0.001,1774.48,3.19,1
91.854928,25.641388,1146.376,30.74,349.544,555.053,10,0.126,16.458,0.001,1774.48,3.669,1
91.973237,25.354644,1174.016,35.555,256.171,795.568,10,0.122,23.873,0.001,1774.48,5.177,1
92.373944,25.274,874.107,15.922,234.77,384.261,10,0.123,6.231,0.001,1774.48,1.356,1
92.095531,25.234922,796.219,15.843,121.508,56.503,50,0.123,4.693,0.05,1774.48,51.043,1
91.932463,25.326204,1001.276,31.646,344.163,340.192,10,0.124,10.972,0.001,1774.48,2.427,1
91.147397,25.657083,1156.979,11.303,210.15,28.251,10,0.122,3.05,0.01,1339.59,4.978,1
91.247472,25.549639,1318.653,15.13,146.851,63.172,30,0.118,9.064,0.05,1755.4,93.98,1
91.453997,25.18955,124.382,28.431,346.346,430.313,10,0.121,21.06,0.001,2132.4,5.434,1
92.513478,25.352431,1151.666,16.143,310.831,729.084,30,0.127,7.458,0.05,1774.48,84.016,1
91.77329444,25.49151667,1797.213,23.415,305.451,39.954,60,0.124,7.645,0.05,1774.48,84.418,1
92.404806,25.047194,79.791,14.582,201.683,141.257,10,0.125,4.224,0.001,1774.48,0.935,1
92.418778,25.044056,153.552,29.374,214.976,294.954,10,0.122,25.864,0.001,1774.48,5.619,1
91.69041,25.208256,353.457,37.914,182.988,56.503,10,0.121,32.448,0.001,1935.91,7.623,1
91.976278,25.362972,1186.605,27.626,250.24,887.113,10,0.122,17.788,0.001,1774.48,3.862,1
91.022019,25.611361,936.053,18.019,238.764,480.275,10,0.125,5.52,0.001,1400.26,0.964,1
92.348025,25.093078,173.495,27.009,146.228,189.516,10,0.12,23.399,0.001,1774.48,5.006,1
91.574222,25.9235,452.079,10.215,156.291,330.675,10,0.12,6.892,0.001,1969.54,1.629,1
91.537764,25.520356,1589.641,25.918,206.461,89.339,30,0.121,8.653,0.05,2132.4,111.326,1
