lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
93.386139,23.788666,1313.991,23.048,68.48,429.363,10,0.131,7.718,0.001,742.462,0.744,1
93.056946,24.047916,1211.347,43.753,113.78,644.044,10,0.131,40.423,0.001,929.52,4.939,1
92.922576,24.062429,778.373,32.54,338.947,643.328,10,0.134,20.307,0.001,1008.45,2.755,1
92.64,24.28,44.206,6.815,101.269,30.361,10,0.124,2.157,0.001,761.69,0.205,1
92.858612,23.080278,569.212,18.268,181.704,407.329,10,0.127,5.781,0.001,926.24,0.679,1
92.757203,23.397126,1273.818,31.312,74.722,796.928,10,0.124,11.153,0.001,797.4,1.105,1
92.720505,23.014982,471.542,31.36,241.72,242.884,10,0.123,19.454,0.001,876.07,2.095,1
93.082939,23.636647,1137.709,40.602,331.211,876.258,10,0.136,26.016,0.001,926.24,3.269,1
92.677083,24.005278,606.708,38.807,72.289,489.549,10,0.129,22.078,0.001,876.07,2.493,1
93.084944,23.640693,1130.619,38.308,329.205,692.992,10,0.136,18.507,0.001,926.24,2.325,1
93.020859,23.959278,857.444,35.363,214.209,257.618,10,0.137,22.336,0.05,929.52,140.788,1
92.850377,23.275305,742.742,37.915,112.238,288.025,10,0.128,31.86,0.001,952.85,3.88,1
92.854599,23.454968,1000.339,31.765,258.218,451.342,50,0.129,14.965,0.05,952.85,91.646,1
92.742799,23.762482,1061.583,25.751,59.596,547.332,50,0.128,11.659,0.05,797.4,58.937,1
92.683333,23.983667,425.537,24.427,34.012,346.163,10,0.128,10.935,0.001,876.07,1.228,1
92.680833,23.940333,254.089,32.392,150.608,231.219,10,0.129,18.005,0.001,876.07,2.034,1
92.85748,23.28611,838.626,34.337,132.871,412.948,10,0.127,16.37,0.001,952.85,1.974,1
92.993156,24.199201,255.895,42.372,7.132,261.171,10,0.136,24.265,0.001,1008.45,3.31,1
92.696194,23.747444,774.927,37.081,72.951,412.948,10,0.129,17.853,0.001,876.07,2.021,1
93.345642,23.935917,797.142,23.055,37.49,259.401,10,0.128,14.698,0.001,796.04,1.501,1
92.39,24.08,550.713,14.25,313.837,880.456,10,0.125,5.57,0.001,761.69,0.533,1
92.823021,22.890068,777.758,30.185,145.513,789.374,30,0.126,18.602,0.05,926.24,108.334,1
92.877944,23.697056,441.554,36.062,5.194,91.082,10,0.136,28.562,0.001,952.85,3.731,1
93.081083,23.340722,1033.578,36.497,204.701,589.495,10,0.13,17.539,0.001,926.24,2.122,1
93.370459,23.395474,1201.258,32.435,313.245,598.803,10,0.128,20.231,0.001,817.91,2.132,1
92.62294,23.135794,592.793,32.616,53.191,434.697,10,0.125,15.432,0.001,867.28,1.675,1
92.69,22.34,180.078,32.478,302.906,60.721,10,0.126,11.638,0.001,926.24,1.358,1
92.570804,23.811938,614.148,16.357,58.442,355.361,10,0.126,12.573,0.001,793.447,1.258,1
93.201572,23.500803,1077.203,31.56,31.333,607.211,10,0.13,11.256,0.001,926.24,1.358,1
92.69,22.33,220.373,28.283,350.119,121.442,10,0.126,9.891,0.001,926.24,1.157,1
92.965389,23.740306,811.476,27.084,88.186,203.665,10,0.134,20.453,0.001,1008.45,2.766,1
92.67,22.49,432.819,24.37,268.131,125.18,10,0.124,8.264,0.001,876.07,0.894,1
92.65,22.08,138.893,2.338,71.008,380.416,10,0.125,0.408,0.001,926.24,0.047,1
92.768059,22.309944,236.709,14.589,285.383,30.361,10,0.128,7.574,0.001,926.24,0.899,1
92.5,23.81,597.384,28.683,49.735,203.665,10,0.126,25.143,0.001,781.899,2.468,1
92.47,22.91,187.057,6.622,285.633,300.554,10,0.128,1.575,0.001,770.29,0.155,1
92.67,22.65,370.653,21.951,211.03,421.782,10,0.125,18.168,0.001,876.07,1.981,1
93.369426,23.395375,1212.452,41.485,55.662,557.345,10,0.13,38.223,0.05,817.91,202.066,1
93.02803,23.927389,1048.791,23.738,254.173,778.202,10,0.138,20.004,0.001,929.52,2.571,1
92.914167,24.080938,793.006,36.091,132.895,434.697,10,0.132,17.32,0.001,952.85,2.19,1
92.771891,24.022188,800.591,28.56,148.338,682.268,10,0.127,13.203,0.001,797.4,1.342,1
93.287758,23.14953,1440.211,24.921,187.442,96.008,30,0.126,11.205,0.05,817.91,57.765,1
92.861819,23.44608,766.042,26.168,279.003,151.803,10,0.128,13.981,0.001,952.85,1.717,1
92.64739,23.8985,94.436,30.973,349.351,121.442,10,0.133,27.53,0.001,867.28,3.185,1
92.64,22.39,97.146,6.863,119.254,109.466,10,0.13,1.65,0.001,867.28,0.186,1
92.692902,23.470964,390.017,28.34,247.907,451.342,10,0.133,17.262,0.001,876.07,2.018,1
92.49,23.18,756.958,17.322,59.118,772.853,50,0.121,5.407,0.01,780.84,5.109,1
92.684456,23.193548,924.094,30.341,39.177,343.49,10,0.124,14.184,0.001,876.07,1.54,1
92.623583,23.621722,1094.281,13.529,94.427,708.774,50,0.128,5.214,0.01,867.28,5.766,1
92.69,23.88,607.844,26.47,133.941,231.219,10,0.127,12.054,0.001,797.763,1.229,1
92.673973,23.230371,843.007,11.389,105.576,850.637,10,0.123,3.17,0.001,876.07,0.341,1
92.57,22.68,588.198,22.765,98.032,598.033,10,0.123,10.03,0.001,867.28,1.074,1
93.057068,23.299073,1269.859,32.139,51.811,666.55,10,0.127,15.17,0.001,926.24,1.78,1
92.737465,22.9634,747.869,17.283,228.426,583.207,10,0.123,5.391,0.001,876.07,0.583,1
92.77308,24.022376,814.512,31.011,194.046,598.033,10,0.127,14.551,0.001,797.4,1.473,1
93.12,22.21,1052.123,35.618,65.64,365.589,30,0.125,32.331,0.05,926.24,188.223,1
92.549866,22.897339,138.208,23.177,62.78,125.18,10,0.13,7.771,0.001,780.84,0.788,1
93.058052,23.172249,998.905,23.925,151.748,547.332,30,0.13,16.544,0.05,926.24,99.656,1
92.74,22.5,524.826,30.205,25.397,559.821,10,0.126,25.75,0.001,926.24,3.002,1
92.66,22.68,601.935,3.061,236.113,480.042,10,0.12,0.899,0.001,876.07,0.094,1
93.201279,23.863417,924.737,25.061,194.65,622.946,30,0.133,13.268,0.05,893.33,78.318,1
93.07526,23.336955,1117.031,45.652,158.084,678.882,50,0.129,29.406,0.05,926.24,175.364,1
92.67,22.61,457.337,29.154,296.14,780.567,10,0.125,19.521,0.001,876.07,2.137,1
92.637703,23.271781,572.398,26.359,57.54,395.853,10,0.127,22.722,0.001,867.28,2.504,1
93.01,22.17,964.626,29.474,341.813,212.524,10,0.125,21.27,0.001,926.24,2.458,1
92.572139,23.533361,919.132,15.981,308.699,665.859,10,0.126,6.444,0.001,867.28,0.704,1
92.845102,23.388377,923.599,31.019,126.341,668.622,30,0.13,11.032,0.05,952.85,68.424,1
92.825165,22.788198,717.287,43.934,232.685,517.021,50,0.126,28.273,0.01,926.24,32.847,1
92.8,22.16,493.031,25.488,342.911,135.776,10,0.128,8.727,0.001,926.24,1.026,1
92.89,24.37,35.224,22.562,296.935,30.361,10,0.131,18.794,0.001,952.85,2.352,1
92.38,24.05,631.163,29.372,270.867,778.202,10,0.126,19.693,0.001,814.07,2.014,1
92.49,22.9,215.213,25.063,27.018,365.589,10,0.126,19.644,0.001,780.84,1.94,1
92.571583,23.678583,908.81,25.841,128.554,434.697,10,0.125,15.45,0.001,867.28,1.667,1
93.209889,23.448329,1391.745,22.324,176.371,674.113,10,0.128,12.919,0.001,926.24,1.529,1
92.837833,23.788722,611.734,35.251,37.521,557.345,10,0.135,19.836,0.001,888.881,2.367,1
93.329028,23.206,1637.884,31.421,275.531,788.205,10,0.126,27.996,0.001,817.91,2.897,1
92.79612,23.117416,941.156,35.193,236.923,408.459,10,0.126,29.312,0.001,797.4,2.932,1
92.747293,23.460697,1460.12,10.82,37.9,929.35,10,0.121,2.968,0.001,797.4,0.288,1
92.772003,22.320999,293.803,19.661,73.563,494.234,10,0.127,15.844,0.001,926.24,1.855,1
92.83319,22.9015,793.123,32.152,324.356,463.434,10,0.124,17.85,0.001,926.24,2.05,1
92.855013,23.497388,928.711,28.926,345.164,437.866,30,0.132,19.34,0.001,952.85,2.438,1
93.280821,23.163158,1500.549,31.193,257.949,412.948,10,0.127,14.652,0.001,926.24,1.726,1
92.68,22.57,465.147,23.736,79.044,692.992,10,0.123,13.931,0.001,876.07,1.504,1
92.882004,22.448,487.874,5.85,267.478,0.0,10,0.123,3.355,0.001,926.24,0.382,1
92.660167,23.71125,270.504,30.246,355.092,288.025,10,0.137,26.772,0.001,876.07,3.2,1
