lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
94.719475,25.956083,1882.522,33.594,80.53,657.289,10,0.126,25.962,0.001,1171.734,3.81,1
94.616667,26.389556,1360.777,12.942,136.498,852.747,10,0.121,3.679,0.001,1260.921,0.565,1
95.076889,26.824694,395.728,15.368,48.165,762.72,10,0.126,6.041,0.001,1287.52,0.976,1
95.07475,26.641861,889.099,39.678,298.449,815.832,10,0.124,34.581,0.001,1287.52,5.543,1
94.257306,26.033528,1427.371,35.502,306.27,592.247,50,0.126,24.166,0.001,1067.37,3.234,1
94.438,25.654,1542.298,20.141,18.272,41.364,10,0.127,14.783,0.05,971.372,91.011,1
94.63475,26.114866,1188.096,36.46,290.25,58.498,10,0.127,33.192,0.001,1198.367,5.04,1
94.444333,26.39425,708.141,32.09,320.058,269.662,10,0.126,14.919,0.001,1212.052,2.27,1
94.620083,26.391361,1319.384,8.021,348.427,1079.046,10,0.122,3.462,0.001,1256.573,0.531,1
94.06175,25.832806,739.45,25.521,9.428,228.442,10,0.123,11.363,0.001,1097.222,1.538,1
94.256,26.0325,1421.679,26.475,299.338,544.063,10,0.125,9.002,0.001,1069.165,1.207,1
95.077,26.824278,400.756,17.507,45.686,778.814,10,0.125,7.123,0.001,1287.52,1.15,1
94.240556,26.216583,293.175,27.687,132.813,58.498,10,0.123,9.5,0.001,962.747,1.126,1
93.74,25.53,1347.295,22.286,296.474,638.808,10,0.126,17.568,0.001,1050.471,2.323,1
94.543806,26.479167,527.918,17.634,282.672,564.892,10,0.125,11.865,0.001,1254.43,1.86,1
94.839167,26.293056,813.467,37.859,332.847,58.498,10,0.123,23.749,0.001,1404.692,4.114,1
95.075083,26.639472,918.901,41.858,242.65,762.72,10,0.126,20.066,0.001,1287.52,3.248,1
94.493,25.614,819.212,39.06,134.215,196.208,30,0.129,35.819,0.05,954.05,219.572,1
94.41275,26.178,960.044,24.911,106.333,675.265,30,0.126,11.034,0.05,1182.834,82.559,1
94.683989,26.210043,1822.841,27.323,246.568,745.706,10,0.126,9.35,0.001,1275.037,1.506,1
94.116167,26.109167,668.672,40.853,290.071,708.043,10,0.119,22.996,0.001,941.043,2.598,1
93.71,25.51,1180.346,22.72,286.307,330.915,10,0.122,18.956,0.001,1028.971,2.398,1
93.98,25.84,503.872,25.358,315.447,418.782,10,0.117,16.266,0.001,1088.02,2.077,1
94.031639,25.984456,751.967,39.389,60.645,659.887,10,0.125,29.171,0.001,969.894,3.524,1
94.103,25.63,1472.183,30.386,150.596,29.249,10,0.125,18.47,0.001,1989.213,4.593,1
94.837778,26.529444,1037.284,33.005,303.767,544.063,10,0.124,15.413,0.001,1257.65,2.406,1
94.119,25.686,1414.121,10.899,103.796,380.237,10,0.127,7.49,0.001,1654.7,1.696,1
95.078722,26.820528,454.49,15.097,0.057,917.971,10,0.125,5.906,0.001,1287.52,0.946,1
94.23894,25.53633,1693.574,17.662,112.827,567.913,30,0.126,7.203,0.05,1136.45,51.454,1
94.108,25.695,1379.424,19.233,78.191,479.719,10,0.126,13.956,0.01,1490.828,26.281,1
95.028278,26.578028,469.154,26.709,36.756,65.403,10,0.124,23.086,0.001,1340.05,3.843,1
94.323611,26.131917,918.334,36.42,310.443,472.532,10,0.126,26.752,0.001,1012.491,3.4,1
93.78,25.79,245.14,28.076,322.93,292.49,10,0.123,12.746,0.001,889.385,1.397,1
94.990278,26.641111,519.676,19.861,243.633,434.818,10,0.119,6.323,0.001,1340.05,1.011,1
94.21,25.671,837.363,16.77,94.178,165.457,10,0.127,7.935,0.001,1230.389,1.242,1
94.559278,26.320861,1051.532,15.765,237.076,517.467,10,0.124,11.999,0.001,1245.327,1.848,1
94.203556,25.896389,1385.808,32.789,143.752,745.706,30,0.122,20.184,0.01,970.094,23.993,1
94.981389,26.637222,339.737,26.851,195.105,41.364,10,0.124,23.234,0.01,1194.13,34.334,1
95.009,26.378222,1385.339,29.029,41.039,116.996,10,0.13,15.598,0.001,1235.899,2.507,1
94.04,25.708,1026.481,3.112,333.768,124.093,50,0.123,0.583,0.01,1646.687,1.222,1
95.033056,26.727722,677.572,33.674,79.586,476.139,50,0.121,20.812,0.01,1340.05,33.739,1
93.81,25.77,273.048,16.559,169.278,92.493,10,0.125,10.304,0.001,943.302,1.22,1
94.223583,25.757639,1066.397,29.448,278.366,675.265,50,0.126,25.942,0.05,903.313,147.741,1
94.797197,25.940053,1092.159,38.342,146.675,301.137,10,0.128,21.465,0.001,1105.858,3.048,1
94.354,25.623,1822.15,26.648,243.315,418.782,10,0.127,9.073,0.001,1066.697,1.234,1
94.096,25.662,1426.02,19.653,27.969,298.282,50,0.0,9.684,0.01,1748.47,0.0,1
95.075667,26.813917,582.986,22.191,237.863,366.489,10,0.127,7.256,0.001,1287.52,1.178,1
94.518333,25.833644,823.664,32.425,91.92,58.498,10,0.128,15.1,0.001,1092.669,2.123,1
94.565806,25.966581,1842.267,22.964,147.62,549.539,10,0.127,14.409,0.05,1105.856,101.784,1
94.863333,26.435278,742.668,22.541,98.36,445.507,50,0.127,18.773,0.15,1268.639,451.989,1
93.74,25.54,1269.556,12.908,112.377,410.529,30,0.161,3.666,0.05,1066.826,28.766,1
94.764167,26.590556,978.751,36.354,173.734,621.842,10,0.124,20.232,0.001,1267.36,3.17,1
94.755389,25.660583,1674.344,33.482,327.482,235.813,10,0.132,18.429,0.001,1149.906,2.794,1
94.257556,26.085528,1293.254,25.172,206.066,177.915,50,0.0,13.141,0.001,1049.241,0.446,1
94.5095,25.650556,1252.694,37.305,228.563,120.597,30,0.129,20.824,0.05,949.609,127.563,1
94.06267,25.66969,1430.673,37.224,190.885,92.493,10,0.127,25.483,0.001,1509.659,4.898,1
94.84056,26.37639,1885.683,25.845,256.912,703.193,10,0.124,8.744,0.001,1374.828,1.493,1
94.372639,25.866722,736.272,29.299,339.844,87.747,10,0.123,10.162,0.001,1068.092,1.337,1
94.789617,25.784961,867.801,40.96,248.052,393.505,10,0.13,37.327,0.001,979.331,4.752,1
94.773056,26.562222,1171.15,40.075,238.066,498.092,10,0.123,36.832,0.001,1267.36,5.765,1
94.23669,25.55408,1161.104,30.336,320.428,65.403,10,0.131,23.06,0.001,1197.035,3.606,1
94.348,25.624,1794.241,24.999,171.378,374.57,30,0.126,17.196,0.05,1087.95,117.677,1
94.259111,26.112194,1374.794,13.801,337.307,562.616,10,0.201,10.132,0.001,1049.194,1.782,1
94.270389,26.065972,1624.371,19.406,125.993,795.659,10,0.127,15.587,0.001,1031.228,2.045,1
93.775,25.74,343.613,20.911,79.743,175.494,10,0.124,8.896,0.001,902.141,0.995,1
94.769017,25.905494,1375.685,19.753,111.847,29.249,10,0.129,10.935,0.001,1028.409,1.451,1
94.652408,25.941525,2019.431,27.952,169.118,745.706,10,0.125,9.608,0.001,1080.868,1.294,1
94.307917,26.053667,999.845,28.695,258.964,425.872,10,0.129,13.081,0.001,1039.323,1.735,1
93.93,25.78,771.735,16.375,253.216,29.249,10,0.121,6.547,0.001,1221.042,0.976,1
94.264853,25.998778,1113.951,9.509,253.032,275.934,10,0.125,2.477,0.001,1137.008,0.35,1
94.635167,26.698583,140.687,28.346,280.054,58.498,10,0.126,21.279,0.001,1238.24,3.333,1
94.554867,26.194204,1544.627,27.994,347.42,447.424,10,0.126,16.759,0.001,1257.329,2.647,1
95.0185,26.4285,1653.539,26.325,281.765,688.44,10,0.129,13.874,0.001,1312.244,2.339,1
94.844722,26.300556,917.625,31.696,84.346,105.459,10,0.127,28.281,0.001,1405.016,5.055,1
94.661194,25.502583,1581.913,27.074,331.334,29.249,10,0.13,9.248,0.001,1050.157,1.266,1
94.409639,26.182056,939.502,17.211,185.981,631.399,10,0.127,5.283,0.001,1186.733,0.809,1
94.052,25.682,1273.59,20.814,351.126,490.302,10,0.125,14.599,0.001,1568.17,2.854,1
94.221583,26.205889,558.19,40.641,74.747,503.219,10,0.124,22.868,0.001,921.796,2.614,1
94.597519,25.958047,1733.666,25.126,167.224,381.36,10,0.13,11.149,0.001,1095.404,1.582,1
94.858722,25.587778,1234.026,45.984,117.906,562.616,30,0.13,40.366,0.05,1176.673,307.803,1
94.483064,25.750978,737.51,32.345,97.024,58.498,10,0.126,28.956,0.001,1005.137,3.655,1
94.777417,25.7345,1582.266,39.715,39.071,661.829,10,0.126,31.305,0.001,798.867,3.162,1
94.321,25.607,1847.373,27.438,138.645,661.829,10,0.128,19.242,0.05,1133.571,139.195,1
93.9873,26.0038,513.777,19.987,191.442,392.416,10,0.124,9.891,0.001,830.141,1.02,1
94.025528,25.949278,486.155,24.363,211.422,438.735,10,0.123,20.651,0.001,1003.807,2.555,1
94.7058,25.7578,654.577,24.289,357.442,87.747,10,0.127,15.435,0.001,827.644,1.621,1
94.131,25.682,1324.384,15.645,195.078,587.897,10,0.126,8.154,0.05,1729.33,89.271,1
94.257556,26.022278,1310.304,27.496,50.187,316.376,50,0.126,14.62,0.01,1089.857,20.076,1
94.632275,25.879925,1919.034,30.882,270.438,165.457,30,0.124,16.779,0.05,1077.67,111.497,1
94.20064,25.61092,1230.361,37.685,74.601,264.861,10,0.129,17.907,0.001,1247.997,2.871,1
95.052417,26.114861,1899.264,34.567,108.013,323.066,10,0.125,19.113,0.001,1347.225,3.195,1
94.813333,26.260556,1279.605,32.53,278.242,315.021,10,0.126,29.148,0.001,1403.224,5.171,1
94.089,25.667,1333.708,19.568,263.236,41.364,50,0.127,9.633,0.01,1651.59,21.442,1
94.253972,26.002139,1145.811,20.585,288.157,682.825,50,0.125,13.538,0.05,1128.672,95.539,1
94.294,25.561,1985.278,36.792,331.315,556.5,10,0.124,25.154,0.001,1100.318,3.41,1
94.086833,25.773583,1361.913,23.361,131.511,447.424,50,0.126,13.46,0.01,1246.274,21.145,1
94.084,25.721,1323.909,21.415,248.196,327.014,10,0.123,6.944,0.001,1457.56,1.247,1
94.098,25.666,1438.034,23.193,255.315,288.069,50,0.0,19.443,0.01,1721.774,0.0,1
94.52225,25.651528,1114.342,36.914,215.003,235.813,30,0.129,25.247,0.05,930.487,152.088,1
94.970833,26.625556,341.205,10.966,266.768,0.0,10,0.125,7.549,0.15,1194.13,168.996,1
94.475667,26.282667,1252.769,2.075,359.91,808.987,50,0.123,0.344,0.01,1204.77,0.508,1
94.087,25.714,1401.148,31.442,203.566,868.651,50,0.123,11.042,0.01,1436.98,19.599,1
94.08703,25.73572,1442.135,21.708,242.545,761.036,10,0.124,9.318,0.001,1419.535,1.635,1
94.770278,26.275,1946.066,40.162,130.975,600.139,10,0.122,22.578,0.001,1400.762,3.872,1
94.796303,25.786425,911.866,24.466,128.504,235.813,10,0.131,20.757,0.001,1015.605,2.758,1
93.68,25.51,1191.203,24.309,89.994,476.139,10,0.125,10.709,0.001,1040.724,1.391,1
94.318,25.696,1509.838,18.154,216.013,310.921,10,0.128,11.57,0.001,1109.864,1.642,1
94.038,25.683,1096.818,17.947,91.879,222.754,10,0.126,14.132,0.001,1634.551,2.905,1
94.485,25.62,1105.806,31.751,222.664,82.729,10,0.129,28.339,0.001,966.521,3.549,1
95.034417,26.220028,1316.851,38.225,148.071,204.743,30,0.127,21.393,0.05,1229.943,166.76,1
94.336,25.623,1817.026,26.51,164.316,82.729,50,0.127,17.164,0.05,1122.647,122.772,1
95.03975,26.064111,1651.21,34.53,248.051,65.403,10,0.127,12.301,0.001,1383.169,2.163,1
94.576933,25.971736,1833.236,34.49,113.684,301.137,10,0.125,31.173,0.001,1103.87,4.309,1
95.096306,26.577389,1486.167,37.781,169.629,539.325,30,0.128,34.533,0.05,1287.52,284.168,1
94.025667,25.948833,485.442,27.734,321.863,439.709,10,0.123,22.923,0.001,1004.388,2.839,1
94.007194,25.839583,1216.851,31.169,174.595,714.059,10,0.123,22.38,0.001,1110.489,3.056,1
94.750278,25.657361,1694.822,24.045,343.172,29.249,10,0.13,20.322,0.001,1153.271,3.039,1
95.071222,26.786972,887.013,35.513,31.986,688.44,10,0.125,19.707,0.001,1340.05,3.3,1
94.863694,25.581,1226.806,41.284,345.54,288.069,10,0.128,38.026,0.001,1242.433,6.019,1
94.784806,25.568528,1007.994,29.393,323.991,157.511,10,0.126,19.418,0.001,1257.704,3.088,1
94.812894,26.183504,1995.863,44.236,276.04,894.847,10,0.125,25.004,0.001,1349.454,4.244,1
94.288,25.652,1813.324,35.59,229.577,642.147,10,0.125,19.755,0.001,1226.166,3.033,1
94.7597,25.673292,1515.796,14.313,276.715,105.459,40,0.128,8.565,0.15,1083.288,178.78,1
94.70475,26.70675,748.866,25.968,256.388,823.659,10,0.121,21.178,0.001,1238.24,3.167,1
94.814241,26.185491,2034.948,22.319,106.539,838.074,30,0.125,9.643,0.05,1350.164,81.372,1
94.82056,26.24139,1418.27,25.811,93.321,518.293,10,0.133,22.153,0.001,1402.55,4.103,1
95.051694,26.229389,1301.557,29.088,80.785,628.003,50,0.128,19.179,0.05,1260.025,154.91,1
94.257194,26.111278,1417.67,20.442,357.717,620.465,10,0.201,16.632,0.001,1051.903,2.553,1
94.820553,25.861553,917.906,39.033,166.743,120.597,10,0.132,18.612,0.001,1151.387,2.811,1
94.091,25.669,1321.209,14.542,16.132,157.511,10,0.134,6.624,0.001,1646.295,1.528,1
93.992,25.645,2037.395,18.458,146.982,116.996,30,0.123,7.613,0.05,1444.531,67.548,1
