Longitude,Latitude,Distance_To_Road_M
96.227263,27.492820,14.4
93.064709,27.309904,7.9
92.166934,26.961430,10.6
94.474201,28.509104,8.4
93.735836,27.038444,14.6
95.201370,28.508968,1348.0
93.515887,27.272592,37.4
96.746405,27.930433,21.0
92.044090,27.124605,986.7
96.266070,27.521787,4.4
96.006152,28.044445,8.9
95.493167,27.030175,16.0
95.266055,26.722243,23.3
94.580295,27.814665,91.5
95.757828,28.037074,8.3
92.197818,27.393238,8.9
92.421131,27.008162,16.1
95.532252,26.878637,13.5
91.813362,27.569937,16.8
94.415637,27.984516,13.1
94.244297,27.913106,8.8
95.352182,26.863781,36.2
96.151270,27.927942,2.1
95.807114,28.222696,24.1
94.254526,27.912636,32.2
93.687658,27.721083,33.4
95.318381,26.841464,324.0
93.514884,27.282991,6.0
92.630707,27.394689,67.1
96.097979,27.449763,30.1
96.122008,27.283921,8.3
92.522187,27.274211,4.5
95.971175,27.615419,201.3
92.767506,27.288616,17.4
94.723364,28.162941,7.4
95.334792,26.880585,5.9
95.314730,27.889390,284.0
91.676597,27.697491,3380.1
91.859377,27.543600,8.5
95.108823,28.429649,165.2
91.865809,27.596630,11.7
95.935300,28.387894,389.4
97.008139,28.155627,37.6
92.098063,27.656858,335.3
93.605918,27.067385,4.7
95.952409,27.871498,183.3
95.314964,26.894123,446.4
91.715262,27.731002,11.2
94.379681,28.535506,5.8
91.742924,27.544616,33.3
96.981212,28.063865,48.1
95.475787,27.222429,8.9
92.399353,27.295306,46.7
92.891758,27.292912,41.2
95.745250,27.073348,1.3
95.578280,27.042482,0.5
95.336361,28.058507,6.7
91.809603,27.789353,16.1
95.731309,27.123641,194.6
93.402375,28.607304,4.8
93.810944,27.109218,312.6
97.014817,28.264959,42.5
93.674684,28.153072,25.7
94.743824,27.820385,309.7
92.661258,27.222120,4.5
95.777999,28.064077,784.2
94.167984,28.067372,6.6
96.676579,27.447226,62.5
95.376119,26.710480,29.3
95.845368,27.088784,10.0
96.763705,27.398700,17.5
96.263858,27.653563,76.7
94.254958,27.535331,17.5
93.770745,27.770261,6.1
93.630826,27.096501,77.2
93.107703,27.647233,5.3
93.094722,27.526126,21.4
96.286315,27.338422,24.0
93.670422,27.106953,17.3
95.872487,27.636691,34.4
93.913527,27.377601,57.5
91.889737,27.602844,930.0
93.738062,27.155927,21.8
94.810068,28.149407,13.3
96.336728,27.557818,2976.4
92.967416,27.554724,13.9
95.339400,27.092195,27.9
91.878623,27.692911,7.0
94.128055,28.587040,31.3
95.245990,28.408959,26.3
93.109659,27.674756,4.5
92.066816,27.471804,3184.2
94.846895,28.989026,2545.4
93.168303,27.157772,21.5
94.689075,27.986042,4.3
94.866602,28.312404,5.5
95.068540,28.436377,10.3
92.535810,27.239884,27.0
93.067467,27.496840,15.4
96.031248,27.424244,1.0
94.596737,28.552774,48.9
92.170040,27.369517,276.6
94.051068,27.762178,14.9
93.708238,27.530587,6.3
93.675572,27.244868,10.3
93.189200,27.160946,1.8
93.703597,27.095319,7.6
93.518847,27.295516,82.9
93.705978,27.097937,5.9
95.928469,28.342918,550.8
95.519004,26.945228,6.7
95.818463,28.945565,1.4
93.649248,27.265946,6.2
95.808757,28.141714,73.5
94.450601,27.783992,3.9
92.393641,27.292781,10.2
95.206843,28.466268,960.8
92.270137,27.364042,34.0
93.676856,27.583699,3.7
91.864226,27.609144,25.2
93.604786,27.064920,13.5
96.262399,27.656982,52.3
92.425063,27.283882,109.2
91.722811,27.791685,6.0
91.790658,27.520152,103.7
95.944284,27.632612,21.6
95.590187,27.099559,311.8
95.888551,28.099279,7.3
93.974734,27.880728,51.8
95.174952,28.322570,22.3
94.819653,28.176431,11.8
95.827464,28.505938,9.0
92.160594,27.094123,153.2
96.231150,27.698617,51.8
93.894370,27.379817,13.7
97.319996,28.224297,298.5
93.854633,27.352882,3.7
95.870689,28.018098,1.4
95.833038,28.939364,1117.4
93.246277,27.172631,18.8
95.127421,28.131766,8.4
94.687424,28.001039,6.5
92.979603,27.630616,2782.6
93.700114,27.551048,4.3
96.144555,27.761993,9.6
93.932444,27.784459,331.1
93.432701,27.029326,6.8
95.090869,28.901537,69.5
91.981239,27.606629,11.9
92.335706,27.341704,5.2
95.331801,28.067690,10.8
93.552229,28.049003,4702.7
96.690018,27.958176,10.6
96.029735,28.660652,10.1
93.622315,27.824920,25.1
93.760941,27.037019,8.6
93.719226,27.145161,33.2
95.599733,27.093805,14.3
94.880373,28.972777,15.4
94.775041,28.796569,27.2
93.512231,27.057405,96.5
93.470073,26.954311,9.0
96.021397,27.333098,16.8
93.790984,27.520633,9.8
93.504740,28.504659,4735.0
95.354279,26.883953,1.7
92.229434,27.098359,7.5
93.963032,27.797083,12.1
95.731111,27.188442,35.4
94.635039,28.034255,5.3
93.309563,28.112603,10.9
94.353848,28.747552,4.0
94.029151,28.357346,6.1
95.926477,27.726631,104.6
95.728841,27.084522,86.0
95.503627,26.998015,7.7
96.853877,27.344857,16.5
96.599779,28.321493,13.5
92.379592,27.202925,1.8
92.482436,27.355698,8.6
91.708437,27.506955,0.8
91.966241,27.611584,58.2
95.155082,28.306121,40.6
93.447794,27.037037,48.9
96.485875,28.067649,7.8
94.396469,28.457391,0.6
92.742563,27.435629,10.7
93.502227,26.943290,30.3
92.883922,27.285344,96.2
95.546077,26.919003,19.0
94.426662,27.960454,3.7
92.785216,27.360410,50.5
96.192878,27.970216,9.5
95.332656,26.777955,0.5
95.771252,27.172323,36.9
94.267184,27.899074,2.8
95.463108,28.019551,10.1
95.019586,28.641556,22.8
94.256049,27.533268,0.5
93.667998,27.084787,1.3
91.707280,27.682424,13.7
92.091255,27.092225,111.3
97.020568,28.205298,11.8
92.499458,27.351788,145.5
92.497570,27.200840,3.8
92.415336,27.410634,2926.8
92.475254,27.203250,33.4
94.612274,28.028875,11.4
93.540038,27.999276,4.5
95.417420,26.929697,1614.9
95.973437,28.924023,28.4
91.838222,27.705941,110.7
93.689207,27.101433,5.0
96.846630,27.359784,387.0
93.605400,27.094419,10.2
93.828189,27.573075,10.3
95.480360,27.955853,76.8
93.808662,27.487979,499.9
96.160398,27.929528,0.5
92.783598,27.512399,631.0
94.255425,27.939495,17.9
92.494897,27.245650,27.7
92.243836,27.107632,47.9
94.636066,28.034196,1.3
92.139753,27.022609,422.8
