Longitude,Latitude,Distance_To_Road_M
92.296966,26.370728,0.5
91.398059,26.327242,32.1
94.632748,27.419564,211.8
92.057916,26.126859,17.1
95.111335,27.366178,358.4
94.640313,26.973975,48.2
92.710310,26.342852,11.3
93.912121,26.686496,1054.6
91.713211,26.121903,18.5
94.792209,26.921541,350.9
93.554727,25.865647,279.3
95.122362,27.527381,131.8
93.390581,26.001873,395.6
94.110455,27.222215,33.1
95.213050,27.504545,4.2
91.983771,26.202964,622.8
95.174771,27.292412,189.0
93.609020,26.890513,14.6
90.316278,26.642647,224.0
92.635415,26.346586,172.7
90.107677,26.569775,14.7
95.333468,27.220099,200.7
94.916539,27.244995,30.0
92.548166,24.689965,1.8
95.002375,27.502811,10.6
93.855229,26.627427,57.9
93.769068,26.445039,0.5
94.159160,26.472064,116.4
94.727436,26.911088,2.1
90.235092,26.370817,1327.8
92.522080,24.185271,1073.1
95.307973,27.473946,26.3
95.227245,27.059829,57.2
95.362608,27.192698,10.5
92.619206,26.100942,14.4
93.749450,25.976724,1.4
92.496783,26.231395,43.7
95.325729,27.501269,3.1
89.855701,26.169510,240.5
93.402146,26.588717,8.5
92.839614,24.730460,5.3
95.324546,27.347415,10.8
92.798782,26.840091,21.7
90.413640,26.693023,10.8
94.910567,27.150320,160.4
92.508329,24.617825,625.9
92.914701,24.839824,26.4
90.542310,25.970106,452.4
93.634705,26.892729,377.0
94.021153,26.231238,23.0
91.344706,26.418647,6.9
94.214059,27.038969,16.1
92.406397,26.259967,29.2
90.632292,26.507224,1720.0
93.132220,24.906525,1.0
90.808833,26.321129,0.5
93.566123,25.757595,10.3
93.419788,25.278424,5.9
92.287239,26.603441,86.3
94.057487,26.422708,1.6
92.475657,24.815088,2.1
92.777193,24.815076,2.5
94.015278,26.589566,73.6
92.401118,26.348480,65.1
93.727857,26.143578,4476.6
95.248763,27.550802,36.3
93.233403,26.714633,3088.4
93.630677,26.844233,1540.9
92.631382,26.387101,4.2
94.544629,26.944514,4.9
90.320488,26.485040,18.4
92.578528,26.239564,373.3
95.169530,27.191269,3.1
94.613405,26.769407,1737.9
93.865872,26.471934,20.3
91.040063,26.403905,6.5
94.985696,27.486412,5.6
94.940810,27.487932,4.0
94.997953,27.399003,2.9
92.932129,24.841227,67.7
92.826872,25.708292,726.4
92.487011,24.815672,0.5
93.662515,25.913206,93.8
92.768015,26.652649,81.0
93.119337,25.560256,1810.0
92.494653,26.310435,32.8
93.843935,27.173822,2325.3
90.302456,26.675069,671.1
95.338847,27.425824,5.3
93.428456,26.907738,960.5
94.316809,27.405497,397.1
92.686332,24.632010,571.1
90.995042,26.320086,33.6
95.008159,27.338166,12.1
94.241998,27.010098,386.0
93.595449,25.979001,2.2
89.984642,26.512070,15.6
89.915053,26.126881,2.9
93.962896,26.518225,186.8
91.580303,26.085096,6.3
92.066350,26.221919,261.3
92.593794,24.619582,236.5
91.584253,26.107189,20.0
93.169298,25.011353,2.7
92.746718,25.955690,148.7
94.535421,26.786808,2.8
91.678067,26.142639,25.2
92.278489,24.448415,101.5
89.729867,26.178050,8.9
94.353996,27.151036,0.5
93.788875,26.395311,3.1
92.462726,24.738828,74.6
93.551937,25.739772,14.2
94.159968,26.455601,15.2
91.063759,26.377708,457.8
91.772772,26.640135,27.7
93.730123,26.090496,2939.2
94.092479,26.716494,11.9
95.730640,27.937638,30.7
92.223285,24.522785,15.5
92.768338,26.941505,2754.1
93.001761,24.773263,724.1
92.305464,24.571766,249.8
92.811652,26.772003,339.3
93.808003,27.012960,9.2
89.902279,26.061250,49.6
93.116669,25.871902,1417.3
90.786134,25.976444,7.5
91.522397,26.460078,744.7
94.683598,27.023951,1.7
91.521396,26.388456,3.0
93.854755,25.941459,5.0
94.751973,27.233940,12.0
90.574365,26.470502,420.9
92.838769,26.797241,13.3
95.637944,27.628449,505.8
91.681874,26.338544,2.9
94.785640,27.652856,121.6
93.567935,25.823142,575.1
90.742138,26.052330,1570.6
91.876627,26.107483,657.3
92.079948,26.437793,8.8
89.889450,25.596664,1.7
92.681947,26.018475,2.8
95.638033,27.776087,18.9
94.840459,26.930124,19.4
91.391285,26.306453,3.2
94.088468,26.998263,899.0
91.769547,26.140921,11.9
94.719416,27.003194,734.3
93.352809,25.444489,485.6
92.518451,26.226544,8.7
93.436835,25.853342,0.5
93.792800,25.958778,89.7
91.084022,26.315266,112.7
90.624319,26.063485,19.3
95.033314,27.445177,56.2
94.088240,26.949700,15.6
94.488143,27.318953,2.1
91.452037,26.485560,37.1
95.062152,27.420008,5.1
92.771188,26.756399,41.6
92.699184,24.819317,0.5
95.163446,27.514196,51.3
92.223929,26.336734,5.0
92.850540,24.957324,0.5
90.867052,26.372256,5.7
94.871111,27.258806,0.9
94.412863,27.067706,279.2
95.130830,27.170770,8.3
92.681630,24.587311,2027.0
92.953591,24.940559,293.1
91.721917,26.452041,16.0
92.216218,26.178692,150.6
92.851922,25.999864,4.1
94.306149,27.333394,4.0
92.885283,26.449701,2.4
91.185002,26.268082,16.9
89.967452,26.324838,3447.9
92.380975,26.256316,20.2
92.707566,26.123051,27.4
93.107061,25.326170,1165.6
91.486350,26.452403,46.6
92.766126,26.705357,9.1
93.509474,25.958240,3.5
91.031156,25.968116,51.5
92.917028,26.715668,6.6
94.360114,26.634055,727.3
94.511356,27.557822,2.8
93.895706,27.060680,41.6
91.727817,26.223086,23.1
91.948298,26.109544,0.9
95.403692,27.325026,10.2
92.628701,24.793390,9.4
92.742838,26.612276,1866.5
94.187860,26.762914,10.5
90.097696,26.209245,1473.6
90.282955,26.416907,7.8
95.382746,27.600053,5.4
93.262728,26.010148,51.8
91.518674,26.092385,113.8
