Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
AR/S/82P04/2022/006,Arunachal Pradesh,East Siang,NH-13 Slide 6,NH-13,28.131694,95.136186,,,,Active
AP/PAP/83E12/2021/65,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 10,Mep Soro-Jote road section,27.216639,93.691472,,,,Reactivated
AP/DV/82P/13/2022/LS-122,Arunachal Pradesh,Dibang Valley, Near Mipi slide, Near Mipi Village.,28.817477,95.922181,,,,Active
AP/PAP/83E12/2021/5,Arunachal Pradesh,Papum Pare,NE of Itanagar slide 2,NE of Itanagar,27.103069,93.641778,,,,Active
AP/US/83E09/2021/14,Arunachal Pradesh,Upper Subansiri,Luba village slide 2,Luba village,27.83975,93.977444,,,,Active
AP/TAW/78M14-SE/2009-10/AR-1C,Arunachal Pradesh,Tawang,Tawang Monastery/Arunachal Pradesh,Tawang-Tawang Monastery road sector,27.584639,91.860917,,,, 
AP/EK/83E03/2021/35,Arunachal Pradesh,East Kameng,NH-31 slide-25,NH-35,27.177667,93.148694,,,,Active
ARN/TWNG/78M14/2016/0012,Arunachal Pradesh,Tawang,Rubray (Shyo) Slide, ,27.592667,91.866222,,,,Active
AR/WKG/83A03/2021/023,Arunachal Pradesh,West Kameng,NH 13 Slide 20,NH 13/ W of Milumkang,27.395444,92.164167,,,,Active
AP/KD/83E09/2021/43,Arunachal Pradesh,Kra Daadi,Near Pitak slide 2,Near Pitak,27.781792,93.477942,,,,Active
AP/LDV/82P16/2022/45,Arunachal Pradesh,Lower Dibang Valley, From Roing 26.2 kms along NH-313 towards Hunli,Newly connstructing Roing-Hunli/ Anini road NH-313,28.252176,95.775797,,,,Active
AR/WSI/82L12/2021/10,Arunachal Pradesh,West Siang,Tai-Liromoba Road Slide,Tai-Liromoba Road,28.021678,94.536256,,,,Active
AR/ESI/82L15/2022/58,Arunachal Pradesh,East Siang,Sangram Bridge-Boleng Road Slide,Sangram Bridge-Boleng Road,28.280246,94.953896,,,,Active
AR/WKG/83A03/2021/036,Arunachal Pradesh,West Kameng,Dirang-Rungkhung Road Section Slide 3,Dirang-Rungkhung Road Section,27.363417,92.24375,,,,Active
AP/PAP/83E12/2021/62,Arunachal Pradesh,Papum Pare,West of Mep Soro slide 2,W of Mep Soro,27.234139,93.707861,,,,Active
AP/ES/82P12/2022/81,Arunachal Pradesh,East Siang,From Bomjir 15.3 kms along NH-13 towards Pasighat, NH-313 (Roing-Pasighat road),28.242969,95.537549,,,,Active
AR/EK/ 83A14/2020-21/16,Arunachal Pradesh,East Kameng,Pakke-Bameng road section slide-1,Pakke-Bameng Road,27.542639,92.954417,,,,Active
AR/WKG/83A03/2021/026,Arunachal Pradesh,West Kameng,NH 13 Slide 23,NH 13/ NW of Milumkang,27.433056,92.123583,,,,Active
AP/DV/82P15/2022/141,Arunachal Pradesh,Dibang Valley, From Hunli 46.4 kms along NH-313 towards Anini, NH-313 (Roing-Anini road),28.472858,95.858449,,,,Dormant
AR/WKG/83A07/2021/021,Arunachal Pradesh,West Kameng,NH 13 Slide 18,NH 13/ SE of Dirang Village,27.340556,92.274944,,,,Active
AR/S/82P04/2022/028,Arunachal Pradesh,Siang,Pangin Slide 1,NH-13,28.133611,95.11125,,,,Active
AR/LS/83I13/2022/103,Arunachal Pradesh,Upper Siang,Old Deka village Slide 2,Old Deka road,27.793761,94.959097,,,,Active
AR/LD/82P04/2022/034,Arunachal Pradesh,Lower dibang valley,West of Ledum Slide 2,Naer to Ledum village,27.951306,95.074056,,,,old slide
AR/LOH/92A05/2014/49,Arunachal Pradesh,Lohit, ,NH-52,27.91647,96.33161,,,,Suspended
AR/CHNG/92A03/2022/083,Arunachal Pradesh,Changlang,800m W Hetlong,"NH-315, Jairampur-Manmao road",27.29268,96.024049,,,,Active
AR/EK/ 83A14/2020-21/01,Arunachal Pradesh,East Kameng,Pakke road section slide-1,Pachhi-Pakke road section,27.520111,92.997139,,,,Active
AR/ES/82P04/2022/002,Arunachal Pradesh,East Siang,NH-13 Slide 2,NH-13,28.145306,95.239167,,,,Active
AP/US/83E09/2021/13,Arunachal Pradesh,Upper Subansiri,Luba village slide 3,Luba village,27.83875,93.977278,,,,Active
