Sl_No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History
1,AS/DIM/83G07/2017/22,Assam,Dima Hasao,Digar nala slide No.2,Nablaidisa Nobdi Langting road section.,25.410611,93.284,Soil,Slide,
2,AS/CAC/83H01/2018/42,Assam,Cachar,Bara Arkap_1,Raja Bazaar -Bara Arkap road.,24.993,93.161583,Debris,Slide,
3,ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17756,91.76589,Debris,Slide,
4,AS/KAM/78N16/2015/82,Assam,Kamrup,Marangabari-1,"Marangabari, Kamrup",26.109222,91.939,Rock cum Debris,Slide,
5,AS/DIM/83G07/2017/24,Assam,Dima Hasao,Darangibra-Kepre slide No.1,Darangibra-Kepre road section.,25.428597,93.312597,Debris,Slide,
6,AS/NAG/83G2/2015/08,Assam,Nagaon, ,"NH 54, About 2km SW of Arlongapai, Nagaon",25.81756,93.10886,Rock,Fall,
7,AS/DIM/83G4/2015/58,Assam,Dima Hasao,Bara Haflong-3,"Bara Haflong,Near New Haflong RS",25.139,93.025,Earth,Slide,
8,ASM/DH/83G4/2016/43,Assam,Dima Hasao,New Haflong R.S. slide - (2),New Haflong Railway Station,25.148722,93.031917,Debris,Slide,
9,AS/CHR/83D09/2020/8,Assam,Cachar,Borkola Cyan Nagar slide,Borkola Cyan Nagar Natun Basti,24.95,92.73,Debris,Slide,
10,ASM/DH/83G4/2016/01,Assam,Dima Hasao,Migrendisa slide,"Near Migrendisa Railway Station, Migrendisa",25.179861,93.070778,Debris,Slide,
11,AS/KAM/83B4/2015/92,Assam,Kamrup,Kalangpur,"Enroute to Kasangmala, Kamrup",26.043267,92.055531,Earth,Slide,
12,ASM/NAG/83B08/2017/06,Assam,Nagaon,Amsoi-Amtrang road slide No.6,Amsoi- Amtrang road,26.108417,92.440222,Debris,Slide,
13,ASM/WKA/83B08/2017/26,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.23,Amsoi- Amtrang road,26.043583,92.452222,Debris,Slide,
14,AS/DIM/83G07/2017/50,Assam,Dima Hasao,Kepre-Koladisa-Prasadimdik  slide No.6,Kepre-Koladisa-Prasadimdik   road section,25.454083,93.375972,Debris,Slide,
15,ASM/DH/83G4/2016/36,Assam,Dima Hasao,Haflong - Gunjung road section slide-07,Near  Gunjung village road,25.214944,93.021611,Debris,Slide,
16,ASM/NAG/83B08/2017/11,Assam,Nagaon,Amsoi-Amtrang road slide No.11,Amsoi- Amtrang road,26.102167,92.440472,Earth,Slide,
17,ASM/NAG/83B08/2017/46,Assam,Nagaon,Rengbeng tea garden slide,Rengbeng tea garden,26.172917,92.762778,Debris,Slide,
18,ASM/DH/83G4/2016/38,Assam,Dima Hasao,Haflong - Gunjung road section slide-09,"Haflong town, Dima Hasao",25.216944,93.011361,Rock cum Debris,Slide,
19, ,Assam,Hailakandi,,,24.79489,92.55506,,,02.6.2020
20,AS/KAR/83F08/2018/6,Assam,Karbi Anglong,Dak Ranghanggaon Slide,Dak Ranghanggaon,26.347417,93.2982,Soil,Slide,
21,AS/DIH/83G08/2020/32,Assam,Dima Hasao, ,P. Songkai to Natun Songkai road,25.1,93.28,Rock,Slide,
22,ASM/WKA/83C09/2016/21,Assam,West Karbi Anglong,NE of Pangyatiso-2,Mikading-Pangyatiso-Ranghidi road,25.84992,92.69072,Earth cum Rock,Slide,
23,AS/DIM/83C16/2017/06,Assam,Dima Hasao,Retzawl5,Old HaflongSilchar road,25.10275,92.986944,Debris,Slide,
24,AS/HKN/83D10/2020/11,Assam,Hailakandi,Nubarnapur slide,Lalamukh village,24.54,92.63,Debris,Slide,
25,AS/KAM/78N12/2018/3,Assam,Kamrup,Barakasarong,Barkasarong,26.0405,92.0355,Debris,Slide,
26,AS/KAM/78N12/2015/100,Assam,Kamrup,Garbhanga RF,"Garbhanga Reserved Forest, Kamrup",26.071556,91.734028,Debris,Slide,
27,ASM/DIM/83C15/2017/16,Assam,Dima Hasao,16 Kilo Slide-II,Near Limestone Quarry of Dalmia cement plant,25.513567,92.784825,Debris cum earth,Subsidence,
28,AS/NC/83G04/2009/B-5,Assam,Dima Hasao,Phaiding Landslide, ,26.20261,91.14528,Debris, ,
