Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MN/NON/83H10/2018/41,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway",24.645275,93.628828,,,,Dormant
MN/CCR/83H02/2020/2,Manipur,Churachandpur, ,JT road,24.53,93.07,,,,Active
MAN/SEN/83K03/2015/40,Manipur,Senapati, ,Northwest of New Magamai,25.437203,94.042989,,,,Suspended
MN/NON/83H10/2018/20,Manipur,Noney, ,Along Zouyantek-Dolang road,24.667778,93.676944,,,,Active
MAN/SEN/83K03/2015/64,Manipur,Senapati, ,Along Thingba Khullen and Oinam raod,25.335364,94.169247,,,,Suspended
MN/KAN/83L02/2018/15,Manipur,Kangpokpi, ,Salam Patong,24.682778,94.140056,,,,Active
MN/KAM/83L09/2017/20,Manipur,Kamjong, ,"Chattrick
Kamjong road",24.869917,94.592417,,,,Active
MN/NON/83H10/2018/79,Manipur,Noney, ,Data taken from Londangmei village,24.733256,93.701856,,,,Active
MN/CDL/83L04/2020/20,Manipur,Chandel, ,Kotal Khunthak,24.2,94.1,,,,Active
MN/UKH/83L01/2018/19,Manipur,Ukhrul, ,NH 102,24.950583,94.186028,,,,Active
MAN/SEN/83K03/2015/18,Manipur,Senapati, ,South of Maram Khullen,25.416419,94.077794,,,,Suspended
MN/KAM/83L05/2018/30,Manipur,Kamjong, ,3.9 km SE of Khuntak Awang Village,24.834083,94.353028,,,,Reactivated
MAN/SEN/83G14/2015/17,Manipur,Senapati, ,On Peren-Maram road,25.528,93.872,,,,Suspended
MN/TAM/83H01/2018/47,Manipur,Tamenglong,Gularthal_1,NH53,24.805138,93.23716,,,,Active
MN/PZL/83H02/2020/39,Manipur,Pherzawl, ,Lower Kharkhuplien area.,24.52,93.11,,,,Active
MN/NON/83H10/2018/66,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway",24.62595,93.692953,,,,Active
MN/UKH/83K12/2017/89,Manipur,Ukhrul, ,Mapum,25.091858,94.550786,,,,Active
MN/NON/83H10/2018/40,Manipur,Noney, ,"NH_37A, Imphal-Khoupum highway",24.64175,93.623222,,,,Active
MN/CHU/83H10/2018/81,Manipur,Churachandpur, ,Pangjang - Gouijang highway,24.548053,93.709739,,,,Relict
MN/UKH/83K12/2017/17,Manipur,Ukhrul, ,Sahamphung,25.0565,94.551528,,,,Active
MN/UKH/83K11/2017/19,Manipur,Ukhrul, ,Kongai,25.356306,94.525222,,,,Active
MN/CCP/83H12/2020/9,Manipur,Churachandpur, ,Zabelli Road,24.12,93.58,,,,Active
MAN/SEN/83G14/2015/31,Manipur,Senapati, ,Peren-Maram road,25.523,93.898,,,,Active
MN/PZL/83H03/2020/1,Manipur,Pherzawl, ,1.5 km north of Pherzawl.,24.27,93.18,,,,Reactivated
MN/UKH/83K11/2017/28,Manipur,Ukhrul, ,Poi,25.289806,94.525639,,,,Stabilized
