Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MEGH/EKH/78O15/2008/D-53,Meghalaya,East Khasi Hills,Ryngnga-6 slide, ,25.382694,91.877528,,,, 
MEG/WJH/83C4/2016/123,Meghalaya,East Jaintia Hills,3 km S of Umtyra,NH44,25.258603,92.38555,,,,Suspended
 ,Meghalaya,East Khasi Hills,,,25.28236861,91.73874417,Debris,Slide and flow,"Occurred during early hours of 30thMay, 2024 at 02:00 AM.",Active
MG/WKH/78O02/2017/91,Meghalaya,West Khasi Hills,1.6 km SW of Porla,NH44E,25.6655,91.090556,,,,Suspended
MG/WKH/78O06/2017/15,Meghalaya,West Khasi Hills,Pyndengrei slide no 6,NH44E Nongstoin bypass,25.549861,91.295706,,,,Active
MEG/WJH/83C4/2016/81,Meghalaya,East Jaintia Hills,0.21 km NE of Danaubluh,NH44,25.045386,92.420764,,,,Suspended
MEGH/EKH/78O15/2008/D-46,Meghalaya,East Khasi Hills,Lingkardem slide, ,25.345611,91.895,,,, 
MG/WKH/78O03/2017/9,Meghalaya,West Khasi Hills,Nongraingap,Maweit  Nongraingap road,25.436706,91.051053,,,,Suspended
MG/EKH/78O12/2017/53,Meghalaya,East Khasi Hills, ,Along LawbahHat Mawdon,25.196781,91.574727,,,,Active
MEG/RIB/78O09/2016/43,Meghalaya,Ri-Bhoi,Jirang village slide4,Patharkhamma Guwahati road about 1 km NW of Jirang village,25.935908,91.564903,,,,Stabilized
MEG/WJH/83C4/2016/62,Meghalaya,East Jaintia Hills,0.39 km E of Danaubluh,NH44,25.043914,92.423556,,,,Suspended
MG/WKH/78O06/2017/12,Meghalaya,West Khasi Hills,4.1 km E of  Pdengshakap,Laremshiap road,25.544936,91.267672,,,,Active
MG/EKH/78O12/2017/59,Meghalaya,East Khasi Hills, ,Along Mawlong  Tyrna road,25.230063,91.688941,,,,Active
MG/EKH/78O16/2017/5,Meghalaya,East Khasi Hills, ,Along sohrashella bypass from Sohbar village,25.206426,91.75498,,,,Active
MG/EKH/78O12/2017/76,Meghalaya,East Khasi Hills, ,<Null>,25.160222,91.527843,,,,Active
ME/EKJ/78O15/2015/124,Meghalaya,East Khasi Hills, ,Myllad approach raod,25.324889,91.943417,,,,Active
