Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MZ/CHA/84E05/2017/16,Mizoram,Champhai, ,KhuangphahVaikhawtlang section,23.788666,93.386139,,,,Suspended
MZ/AIZ/83H04/2017/11,Mizoram,Aizawl, ,VanbawngTuivai R,24.047916,93.056946,,,,Suspended
MZ/AIZ/83D16/2016/81,Mizoram,Aizawl, ,1km  south of Sailutar,24.062429,92.922576,,,,Active
MZ/KLS/83D11/2020/8,Mizoram,Kolasib,Saihapui K slide 1,Bukvannei- Saihapui K road,24.28,92.64,,,,Active
MZ/LUN/84A16/2018/62,Mizoram,Lunglei, ,Tuichang-Lungmawi Village (PMGSY road),23.080278,92.858612,,,,Suspended
MZ/AIZ/84A11/2016/110,Mizoram,Aizawl, ,"About 800m of Sialsuk Junction towards Thenzawl, SH-Aizawl-Thenzawl-Lunglei Road",23.397126,92.757203,,,,Active
MZ/LUN/84A12/2018/22,Mizoram,Lunglei, ,Lunglei-Aizawl road,23.014982,92.720505,,,,Suspended
MZ/CHA/84E02/2017/11,Mizoram,Champhai, ,1km N of kawlkulh (Ngopa road),23.636647,93.082939,,,,Active
MIZ/AIZ/84A09/2016/119,Mizoram,Kolasib, ,Aizaw-Silchar-Durtlang road junction,24.005278,92.677083,,,,Active
MZ/CHA/84E02/2017/0081,Mizoram,Champhai, ,2 km N of kawlkulh (Ngopa road),23.640693,93.084944,,,,Active
MZ/AIZ/84E01/2017/63,Mizoram,Aizawl, ,SuangpuilawnE. Phaileng section,23.959278,93.020859,,,,Active
MZ/SER/84A15/2016/7,Mizoram,Serchhip, ,"2km Southwest of the Cultivation (Mat River Basin) road junction, Serchhip, SH-Thenzawl-Serchhip Road",23.275305,92.850377,,,,Active
MZ/SER/84A15/2016/48,Mizoram,Serchhip, ,"About 2.2km South of Chhingchhip, NH-54 Aizawl-Serchhip-Lunglei Road",23.454968,92.854599,,,,Active
MIZ/AIZ/84A13/2016/48,Mizoram,Aizawl, ,Muanna Veng/ Ramlun Thlangmual,23.762482,92.742799,,,,Active
MIZ/AIZ/84A09/2016/115,Mizoram,Kolasib, ,"Aizaw-Silchar road, 8 km milestone S of Kawnpui",23.983667,92.683333,,,,Suspended
MIZ/AIZ/84A09/2016/107,Mizoram,Aizawl, ,14 km milestone Kawnpui on Aizawl-Silchar road,23.940333,92.680833,,,,Dormant
MZ/SER/84A15/2016/16,Mizoram,Serchhip, ,"About 900m Southwest of Serchhip-Bungtlang junction,SH-Thenzawl-Serchhip Road.",23.28611,92.85748,,,,Suspended
MZ/AIZ/83D16/2016/124,Mizoram,Aizawl, ,8 km wast of Tipaimukh,24.199201,92.993156,,,,Stabilized
MZ/AIZ/84A10/2015/223,Mizoram,Aizawl, ,"Rangvamul, NH-54 Aizawl - Lengpui(Airport) - Silchar",23.747444,92.696194,,,,Stabilized
MZ/CHA/84E05/2017/21,Mizoram,Champhai, ,SE of Teikhang,23.935917,93.345642,,,,Active
MZ/MAM/83D08/2020/9,Mizoram,Mamit,West of Zamuang-Rengdil section slide 5,West of Zamuang-Rengdil section,24.08,92.39,,,,Suspended
MZ/LUN/84B13/2018/82,Mizoram,Lunglei, ,1.5km S of Dawn Village,22.890068,92.823021,,,,Active
MZ/AIZ/84A14/2015/87,Mizoram,Aizawl, ,About 9 Km SE of Seling on SH Seling-Champhai road,23.697056,92.877944,,,,Active
MZ/CHA/84E03/2017/35,Mizoram,Champhai, ,Tlangpui road,23.340722,93.081083,,,,Active
MZ/CHA/84E07/2017/105,Mizoram,Champhai, ,5km W of Melbuk,23.395474,93.370459,,,,Active
MZ/LUN/84A12/2018/74,Mizoram,Lunglei, ,Dehlui River-Lungchem Village Section,23.135794,92.62294,,,,Reactivated
MZ/LAW/84B11/2020/18,Mizoram,Lawngtlai,M Kawnpui to Saibawh road slide 2,M Kawnpui to Saibawh road,22.34,92.69,,,,Active
MIZ/MAM/84A09/2016/123,Mizoram,Mamit, , ,23.811938,92.570804,,,,Suspended
MZ/CHA/84E02/2017/15,Mizoram,Champhai, ,PMGSY road 1km SE from Khawzawl,23.500803,93.201572,,,,Active
MZ/LAW/84B11/2020/20,Mizoram,Lawngtlai,M Kawnpui to Saibawh road slide 4,M Kawnpui to Saibawh road,22.33,92.69,,,,Active
MZ/AIZ/84A14/2015/99,Mizoram,Aizawl, ,"SE of Dilkhan Village, Saitual-Dilkhan-Phullen Rd",23.740306,92.965389,,,,Active
MZ/LAW/84B11/2020/58,Mizoram,Lawngtlai,Ajasora slide 5,outside Ajasora village,22.49,92.67,,,,Suspended
MZ/LAW/84B12/2020/32,Mizoram,Lawngtlai,Parva I to Parva II road slide,Parva I to Parva II road,22.08,92.65,,,,Dormant
