Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
NAG/ZUN/83K09/2016/048,Nagaland,Kiphire, ,At Kisetong village,25.956083,94.719475,,,,Active
NAG/MOKH/83J08/2015/ 0096,Nagaland,Mokokchung, ,Near the entrance gate of Longkang village,26.389556,94.616667,,,,Reactivated
NG/MON/83N01/2017/44,Nagaland,Mon, ,PhuktongTuimei rd,26.824694,95.076889,,,,Active
NG/MON/83N2/2017/61,Nagaland,Mon, ,Near Shianghatangteh,26.641861,95.07475,,,,Active
NAG/WOKH/83J08/2015/0034,Nagaland,Wokha, ,Wokha to Kohima road. Near LongsachungNH 61 meetinh point,26.033528,94.257306,,,,Active
NG/PHE/83K6/2015/254,Nagaland,Phek, ,Pfiitsero-Sakraba-Phek road,25.654,94.438,,,,Suspended
NAG/ZUN/83J12/2016/0060,Nagaland,Zunheboto, ,4 km N of Satami,26.114866,94.63475,,,,Reactivated
NAG/MOK/83J/7/2016/0016,Nagaland,Mokokchung, ,Bewteen Chungtia-Longjongkong,26.39425,94.444333,,,,Active
NAG/MOKH/83J08/2015/ 0098,Nagaland,Mokokchung, ,Longkong village,26.391361,94.620083,,,,Suspended
NAG/KOH/83K1/2016/074,Nagaland,Kohima, ,Phekerkrie,25.832806,94.06175,,,,Active
NAG/WOKH/83J08/2015/0036,Nagaland,Wokha, ,Wokha to Kohima road. Near LongsachungNH 61 meetinh point,26.0325,94.256,,,,Active
NG/MON/83N01/2017/43,Nagaland,Mon, ,PhuktongTuimei rd,26.824278,95.077,,,,Reactivated
NAG/WOK/83J/4/2016/0030,Nagaland,Wokha, ,Doyang to Sanis Road,26.216583,94.240556,,,,Active
NA/PER/83G10/2020/10,Nagaland,Peren, ,Peren town,25.53,93.74,,,,Dormant
NAG/MOKH/83J08/2015/ 0113,Nagaland,Mokokchung, ,Longsang Village,26.479167,94.543806,,,,Reactivated
NG/TUE/83J15/2017/17,Nagaland,Tuensang, ,6 km NE of Naksho Village,26.293056,94.839167,,,,Reactivated
NG/MON/83N2/2017/60,Nagaland,Mon, ,Near Shianghatangteh,26.639472,95.075083,,,,Active
NG/PHE/83K6/2015/292,Nagaland,Phek, ,Kohima-Pfiitsero-Meluri road (NH150?).,25.614,94.493,,,,Suspended
NAG/ZUNH/83J08/2015/ 0069,Nagaland,Zunheboto, ,"NH 61, V. K. Town",26.178,94.41275,,,,Active
NAG/TUN/83J16/2016/0045,Nagaland,Tuensang, ,2km West of Lonkhim village,26.210043,94.683989,,,,Reactivated
NAG/WOK/83J/4/2016/0082,Nagaland,Wokha, ,Longtsung village,26.109167,94.116167,,,,Active
NA/PER/83G10/2020/3,Nagaland,Peren, ,Peren-Tening Road,25.51,93.71,,,,Suspended
NA/DIM/83G13/2020/4,Nagaland,Dimapur, ,'Nihokhu,25.84,93.98,,,,Dormant
NAG/WOK/83K1/2016/151,Nagaland,Wokha, ,Nearly 6 km SW of Longchum,25.984456,94.031639,,,,Active
NG/KOH/83K2/2015/186,Nagaland,Kohima, ,On the immediate downslope of NH-29,25.63,94.103,,,,Suspended
NG/LON/83J14/2017/3,Nagaland,Longleng, ,7km N of Longleng Town.,26.529444,94.837778,,,,Reactivated
NG/KOH/83K2/2015/87,Nagaland,Kohima, ,Secretariat-BSF Camp road,25.686,94.119,,,,Active
NG/MON/83N01/2017/40,Nagaland,Mon, ,PhuktongTuimei rd,26.820528,95.078722,,,,Active
NL/PHE/83K02/2014/35,Nagaland,Phek,Lasumivillage slide,Pfiitsero- Tadubi road,25.53633,94.23894,,,,Suspended
NG/KOH/83K2/2015/72,Nagaland,Kohima, ,Secretariat-BSF Camp road,25.695,94.108,,,,Active
NG/MON/83N2/2017/59,Nagaland,Mon, ,Aboi Chinkhao Road,26.578028,95.028278,,,,Active
NAG/WOKH/83J08/2015/0024,Nagaland,Wokha, ,"NH 61, Seluku Village",26.131917,94.323611,,,,Active
NA/DIM/83G13/2020/46,Nagaland,Dimapur, ,NIT Nagaland Campus,25.79,93.78,,,,Suspended
NG/MON/83J14/2017/14,Nagaland,Mon, ,5 km south of Totok Village,26.641111,94.990278,,,,Inactive
NG/PHE/83K2/2015/65,Nagaland,Phek, ,On Chakhabama-Chozuba-Zunheboto SH,25.671,94.21,,,,Suspended
NAG/MOKH/83J08/2015/ 0107,Nagaland,Mokokchung, ,Way to Chare,26.320861,94.559278,,,,Reactivated
NAG/KOH/83K1/2016/118,Nagaland,Kohima, ,Tseminuyu,25.896389,94.203556,,,,Active
NG/MON/83J14/2017/16,Nagaland,Mon, ,Near the big iron bridge over the Yanguyu River,26.637222,94.981389,,,,Reactivated
NG/MON/83N3/2017/19,Nagaland,Mon, ,Near Tamkao,26.378222,95.009,,,,Active
NG/KOH/83K2/2015/168,Nagaland,Kohima, ,NH-29,25.708,94.04,,,,Dormant
NG/MON/83N2/2017/1,Nagaland,Mon, ,"Chingai Ward, Mon Town",26.727722,95.033056,,,,Reactivated
NA/DIM/83G13/2020/38,Nagaland,Dimapur, ,NH29/Dimapur-Kohima Rd,25.77,93.81,,,,Suspended
NAG/KOH/83K1/2016/057,Nagaland,Kohima, ,Kijumetouma,25.757639,94.223583,,,,Active
NAG/KIP/83K13/2016/013,Nagaland,Kiphire, ,At Amahatore road,25.940053,94.797197,,,,Active
NG/PHE/83K6/2015/293,Nagaland,Phek, ,Pfiitsero-Sakraba-Phek road,25.623,94.354,,,,Suspended
NG/KOH/83K2/2015/80,Nagaland,Kohima, ,"Lower Jail colony, Kohima Town",25.662,94.096,,,,Suspended
NG/MON/83N01/2017/33,Nagaland,Mon, ,PhuktongTuimei rd,26.813917,95.075667,,,,Inactive
NAG/ZUN/83K09/2016/118,Nagaland,Kiphire, ,West of Satoi village,25.833644,94.518333,,,,Active
NAG/ZUN/83K09/2016/132,Nagaland,Kiphire, ,Towards Khukishe village,25.966581,94.565806,,,,Active
NG/LON/83J15/2017/32,Nagaland,Longleng, ,2.6 km S of Yungphong Village.,26.435278,94.863333,,,,Reactivated
NA/PER/83G10/2020/17,Nagaland,Peren, ,"GMS Keletzai Colony, Ward-2",25.54,93.74,,,,Active
NG/LON/83J14/2017/13,Nagaland,Longleng, ,6km N of Yongshei Village,26.590556,94.764167,,,,Reactivated
NG/PHE/83K14/2017/64,Nagaland,Phek, ,Kuzato to Wazeho,25.660583,94.755389,,,,Active
NAG/WOKH/83J08/2015/0058,Nagaland,Wokha, ,Near Zuvatong Colony,26.085528,94.257556,,,,Reactivated
NG/PHE/83K10/2017/24,Nagaland,Phek, ,LanezhoKizare road,25.650556,94.5095,,,,Active
NL/KOH/83K02/2014/08,Nagaland,Kohima,7.5 km slide,Kohima pedi- peren road,25.66969,94.06267,,,,Active
NAG/TUE/83J15/2009/F-12,Nagaland,Tuensang,Washomung (Bhumbak Village) slide, ,26.37639,94.84056,,,, 
NAG/ZUN/83K5/2016/020,Nagaland,Zunheboto, ,Kilomi New,25.866722,94.372639,,,,Reactivated
NAG/KIP/83K13/2016/052,Nagaland,Kiphire, ,South of Tethyo village,25.784961,94.789617,,,,Active
NG/LON/83J14/2017/12,Nagaland,Longleng, ,1.5km N of Yongshei Village,26.562222,94.773056,,,,Reactivated
NL/PHE/83K02/2014/32,Nagaland,Phek, ,SH Zunheboto road- Chuzuba,25.55408,94.23669,,,,Active
NG/PHE/83K6/2015/279,Nagaland,Phek, ,Pfiitsero-Sakraba-Phek road,25.624,94.348,,,,Suspended
NAG/WOKH/83J08/2015/0053,Nagaland,Wokha, ,Wokha Village B khel,26.112194,94.259111,,,,Active
NAG/WOKH/83J08/2015/0014,Nagaland,Wokha, ,1.5 km NE of Niroyo Village.,26.065972,94.270389,,,,Active
