Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
SKM/NS/78A04/2017/128,Sikkim,West Sikkim, ,SH,27.1215,88.142222,,,,Active
SKM/ES/78A11/2015/157,Sikkim, East Sikkim, ,NH-31A,27.264361,88.558389,,,,Active
SK/WEST/78A08/2015/0236,Sikkim, West Sikkim, ,Namgoon,27.237583,88.298306,,,,Active
SKM/ES/78A11/2015/155,Sikkim, East Sikkim, ,NH-31A,27.254778,88.542444,,,,Active
SKM/SS/78A08/2015/235,Sikkim,South Sikkim, ,Tinktam-Rheyong Road,27.233667,88.348389,,,,Suspended
SK/EAST/78A12/2015/0217,Sikkim, East Sikkim, ,Rangli-Roathang Road,27.195639,88.634028,,,,Active
SKM/ES/78A11/2015/405,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.369306,88.691583,,,,Active
SKM/NS/78A03/2017/55,Sikkim,West Sikkim, ,SH,27.347278,88.196833,,,,Active
SKM/SS/78A07/2015/335,Sikkim,South Sikkim, ,Robang-Tarku Road,27.297139,88.388472,,,,Active
SKM/SS/78A08/2015/278,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.158944,88.427111,,,,Active
SKM/NS/78A03/2017/07,Sikkim,West Sikkim,Kumuk,SH,27.294889,88.079944,,,,Active
SKM/WS/78A08/2015/294,Sikkim,West Sikkim, ,Namchi-Jorthang Road,27.159472,88.300028,,,,Active
SKM/SS/78A08/2015/255,Sikkim,South Sikkim, ,Melli-Sumbuk Road,27.084722,88.443833,,,,Active
SK/EAST/78A12/2015/0218,Sikkim, East Sikkim, ,Rangli-Roathang Road,27.193083,88.602778,,,,Active
SKM/WS/78A07/2015/352,Sikkim,West Sikkim, ,Dhupidara Road,27.3955,88.306889,,,,Active
SKM/SS/78A08/2015/233,Sikkim,South Sikkim, ,Namchi-Palum Road,27.155306,88.390278,,,,Active
SKM/ES/78A11/2015/399,Sikkim, East Sikkim, ,Changhu_Nathula Road,27.371472,88.709722,,,,Active
 ,Sikkim,East Sikkim,,,27.23166667,88.5025,Debris,Slide,Initiated in July 2020 and reactivated before December 2020.,Reactivated
SKM/SS/78A12/2015/146,Sikkim,South Sikkim, ,NH-31A,27.197417,88.4905,,,,Active
SKM/NS/78A10/2017/172,Sikkim,North Sikkim, ,NH,27.529639,88.598139,,,,Active
SKM/WS/78A08/2015/266,Sikkim,West Sikkim, ,Namchi-Assangthang Road,27.151028,88.309889,,,,Active
SKM/NS/78A10/2017/223,Sikkim,North Sikkim, ,NH,27.676722,88.597194,,,,Dormant
SKM/NS/78A04/2017/141,Sikkim,West Sikkim, ,SH,27.163861,88.141361,,,,Active
SKM/WS/78A08/2015/390,Sikkim,West Sikkim, ,Tinktitam village Road,27.237917,88.30475,,,,Active
SKM/NS/78A15/2017/156,Sikkim, East Sikkim,Purana Baba Mandir,SH,27.3145,88.8365,,,,Active
SKM/NS/78A11/2015/96,Sikkim,North Sikkim, ,North Sikkim Highway,27.481083,88.530667,,,,Active
 ,Sikkim,East Sikkim,,,27.33972222,88.62055556,Debris,Slide,Date of initiation: 08.06.2021 at night.,Active
SKM/NS/78A11/2015/86,Sikkim,North Sikkim, ,Dikchu-Mangshila Road,27.433083,88.514528,,,,Suspended
SKM/ES/78A11/2015/58,Sikkim, East Sikkim, ,North Sikkim Highway,27.375806,88.625278,,,,Active
SKM/ES/78A11/2015/98,Sikkim, East Sikkim, ,Namok Road,27.293556,88.642056,,,,Active
SKM/NS/78A03/2017/22,Sikkim,West Sikkim,Sardong,SH,27.281444,88.187833,,,,Active
SKM/SS/78A08/2015/212,Sikkim,South Sikkim, ,Namchi-Namthang Road,27.16275,88.383306,,,,Active
SKM/NS/78A15/2017/152,Sikkim, East Sikkim, ,SH,27.380861,88.812361,,,,Active
SKM/NS/78A03/2017/37,Sikkim,West Sikkim,Sangkhu,SH,27.25675,88.148611,,,,Active
SKM/NS/78A10/2017/166,Sikkim,North Sikkim,Mangan,NH,27.502,88.5375,,,,Active
SKM/ES/78A12/2015/153,Sikkim, East Sikkim, ,NH-31A,27.245028,88.524389,,,,Active
 ,Sikkim,East Sikkim,,,27.20683333,88.48930556,Debris,Slide,From 2021 onwards,Active and suspended
SKM/WS/78A07/2015/362,Sikkim,West Sikkim, ,-,27.27325,88.303417,,,,Active
SKM/ES/78A11/2015/57,Sikkim, East Sikkim, ,North Sikkim Highway,27.372333,88.617556,,,,Dormant
SKM/ES/78A11/2015/40,Sikkim, East Sikkim,Martam,-,27.265944,88.534556,,,,Active
SKM/ES/78A12/2015/34,Sikkim, East Sikkim,Pendam,-,27.203167,88.588667,,,,Active
