Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
TR/WTR/78P/08/2018/002,Tripura,West Tripura,Pekua landslide,Pekua village (towards Murabari) along PMGSY road,24.791306,93.735667,,,,Active
TR/NTR/84D08/2015/50,Tripura,North Tripura, ,Hmunpui-Kedacherra new road section,24.069556,92.291361,,,,Active
TR/NTR/84D08/2015/41,Tripura,North Tripura, ,Damcherra-Hmunpui junction road section along Jampui hill range,24.134722,92.277639,,,,Active
TR/NTR/84A05/2015/33,Tripura,North Tripura, ,W of Tharmapara,23.896806,92.283361,,,,Active
TR/DHA/84A01/2015/20,Tripura,Dhalai, ,Near Khakching kami TSR camp,23.828278,92.023389,,,,Active
TR/NTR/84A05/2015/25,Tripura,North Tripura, ,N of Sabual,23.890278,92.272528,,,,Active
TR/DHA/84A01/2015/38,Tripura,Dhalai, ,towards Purnadapara,23.805528,92.120417,,,,Active
TR/NTR/84D08/2015/46,Tripura,North Tripura, ,Thumcharaipara road section,24.165583,92.268389,,,,Active
TR/DHA/84A01/2015/23,Tripura,Dhalai,Eastern slope,Purnadapara,23.793444,92.125833,,,,Active
TR/NTR/84D08/2015/8,Tripura,North Tripura, ,~2 km S of Bahadurpara,24.139861,92.319167,,,,Active
TR/NTR/84D08/2015/52,Tripura,North Tripura, ,Hmunpui-Kedacherra new road section,24.071167,92.291694,,,,Active
TR/NTR/84D08/2015/45,Tripura,North Tripura, ,Vaisam-Hmunpui junction road section,24.106444,92.276389,,,,Active
TR/DHA/84D08/2015/24,Tripura,Dhalai, , ,24.212361,92.258111,,,,Active
TR/DHA/84A02/2015/2,Tripura,Dhalai,Ratiapara slide,Near Ratiapara,23.693,92.014361,,,,Active
TR/DHA/84A02/2015/15,Tripura,Dhalai, ,Ratiapara BSF BOP,23.694139,92.013278,,,,Active
TR/NTR/84A05/2015/13,Tripura,North Tripura, ,Tlansang,23.914472,92.27125,,,,Active
TR/DHA/84D04/2015/56,Tripura,Dhalai, ,"near the TSR camp, Mainaraipara",24.028194,92.091861,,,,Active
TR/NTR/84D08/2015/47,Tripura,North Tripura, ,2km milestone on Hmunpui-Vaisam road,24.066639,92.277417,,,,Active
TR/DHA/84A02/2015/5,Tripura,Dhalai, ,Near Govindbari BSF BPO(~400m from Govindbari slide),23.678056,92.038028,,,,Active
TR/NTR/84D08/2015/42,Tripura,North Tripura, ,Damcherra-Hmunpui junction road section along Jampui hill range,24.133306,92.27775,,,,Active
TR/NTR/84A02/2015/4,Tripura,North Tripura,Nasharampara slide,Nasharampara village,23.697694,92.071194,,,,Active
TR/NTR/84D04/2015/53,Tripura,North Tripura, ,Jalabasa-Balikcharra section,24.240194,92.247861,,,,Active
TR/NTR/84A05/2015/3,Tripura,North Tripura,"TSR camp, Phuldungsei slide",Phuldungsei village,23.824722,92.260722,,,,Active
TR/DHA/84A01/2015/22,Tripura,Dhalai, ,~1km W of Haridyalroajapara,23.821,92.094417,,,,Active
TR/NTR/84D08/2015/48,Tripura,North Tripura, ,Hmunpui-Kedacherra new road section,24.069444,92.287167,,,,Active
TR/NTR/84A05/2015/14,Tripura,North Tripura, ,Tlansang,23.906917,92.271944,,,,Active
TR/NTR/84A05/2015/29,Tripura,North Tripura, ,~3.5 km NW of Tharmapara,23.899944,92.279222,,,,Active
TR/NTR/84D08/2015/51,Tripura,North Tripura, ,Hmunpui-Kedacherra new road section,24.070611,92.290944,,,,Active
TR/DHA/84A01/2015/39,Tripura,Dhalai, ,Bothraipara,23.797306,92.120417,,,,Active
TR/GMT/79 M10/2018/006,Tripura,Gomati,Taidu landslide (opposite to Taidu Police Station),"Near Taidu Police Station, Ompi Block",23.793444,91.552056,,,,Active
TR/NTR/84A01/2015/37,Tripura,North Tripura, , ,23.882833,92.241583,,,,Active
TR/DHA/84D04/2015/57,Tripura,Dhalai, ,"Near Manaraipara, Kanchanpur- Manu road",24.0335,92.100694,,,,Active
TR/DHA/84A02/2015/19,Tripura,Dhalai, ,Near Manoranjan BSF BOP,23.663361,92.015111,,,,Active
TR/GMT/79 M09/2018/008,Tripura,Gomati,Sontang no.3 landslide,"Palku, Ompi Block",23.980333,91.475278,,,,Reactivated
TR/NTR/84A05/2015/30,Tripura,North Tripura, ,W of Tharmapara,23.89125,92.288056,,,,Active
TR/DHA/84A02/2015/17,Tripura,Dhalai, , ,23.687417,92.054528,,,,Suspended
TR/DHA/84A02/2015/16,Tripura,Dhalai, ,32 miles to Gobindabari road,23.691167,92.055444,,,,Active
TRI/TRI-W/79M05/2009/G-1,Tripura,West Tripura,Kayerpur Landslide, ,23.85417,91.34361,,,, 
TR/NTR/84A05/2015/28,Tripura,North Tripura, , ,23.896194,92.296667,,,,Active
TR/DHA/84A02/2015/21,Tripura,Dhalai, , ,23.69925,92.044694,,,,Suspended
TR/NTR/84D08/2015/7,Tripura,North Tripura, ,~3km N of Longthir; western bank of Sunai river,24.048556,92.314306,,,,Active
TR/NTR/84D08/2015/43,Tripura,North Tripura, ,Damcherra-Hmunpui junction road section along Jampui hill range,24.129083,92.277667,,,,Active
TR/NTR/84D08/2015/36,Tripura,North Tripura,Kaskao,Near Kuki Christian Church,24.228111,92.287417,,,,Active
TR/WTR/79 M09/2018/05,Tripura,West Tripura, ,"Champabari, Belbari Block (formerly part of Jirania block)",24.012306,91.451778,,,,Reactivated
TR/GMT/79M10/2018/007,Tripura,Gomati,Taidu Police Station landslide,"Taidu, Ompi",23.794253,91.553533,,,,Active
TR/NTR/84D08/2015/40,Tripura,North Tripura, ,Damcherra-Hmunpui junction road section along Jampui hill range,24.142722,92.273583,,,,Active
TR/DHA/84A02/2015/1,Tripura,Dhalai,Rabiraipara slide,NE of Rabiraipara,23.693,92.054472,,,,Active
TR/NTR/84A05/2015/31,Tripura,North Tripura, ,W of Tharmapara,23.894667,92.287972,,,,Active
TR/NTR/84D08/2015/9,Tripura,North Tripura,Bahadurpara,Bahadurpara,24.141694,92.322306,,,,Active
TR/DHA/84A02/2015/6,Tripura,Dhalai,Govindbari slide,Near Govindbari BSF BPO,23.679,92.039278,,,,Active
TR/NTR/84D08/2015/49,Tripura,North Tripura, ,Hmunpui-Kedacherra new road section,24.068472,92.290833,,,,Active
TR/NTR/84A02/2015/54,Tripura,North Tripura, ,"98 BSF battalion Post, near nala",23.727194,92.242722,,,,Suspended
TR/NTR/84A05/2015/26,Tripura,North Tripura, ,S of Tlangsang,23.892694,92.272667,,,,Active
TR/NTR/84A01/2015/10,Tripura,North Tripura, ,Near Baganpara Village,23.953333,92.233139,,,,Active
TR/NTR/84D08/2015/11,Tripura,North Tripura, ,Vaisam,24.063194,92.28225,,,,Suspended
