Longitude,Latitude,Distance_To_Road_M
94.175523,24.261330,2298.8
93.745680,24.947475,846.0
94.052058,25.551704,7252.2
93.250500,24.800780,5.5
94.377766,24.918533,289.4
94.104203,24.946446,951.5
94.267333,25.001873,2.9
93.945817,24.822835,82.8
93.115581,24.812627,1.9
93.864200,24.299992,159.9
94.031527,25.064247,227.4
93.996839,25.339483,17.6
93.713269,24.781186,1472.5
93.467957,24.972716,57.3
93.498545,24.420282,225.3
93.950704,24.789925,17.1
93.895662,25.489491,2063.7
94.258386,24.936060,1280.1
93.887840,24.735818,2.9
93.298448,24.076980,8.7
93.854117,24.327848,99.2
93.730318,24.489853,2.7
93.910562,24.803615,3.4
93.950639,24.727916,1.9
93.545355,24.265772,5770.3
93.191884,24.791074,293.8
93.869065,24.278079,3.0
93.993452,24.675567,452.2
93.791652,24.505301,277.2
93.786919,25.163499,99.7
93.779414,24.369184,702.7
94.039941,24.978879,4.2
94.043522,24.756474,190.0
93.194157,24.486505,7723.3
94.030275,25.054511,7.0
93.086410,24.186182,828.5
93.978548,24.807947,1.6
93.906168,24.677292,118.6
93.762483,24.743470,70.2
93.824901,24.619914,17.8
93.833743,24.664668,818.6
94.051427,24.613608,0.6
93.995721,24.932828,237.5
94.207547,24.803432,154.1
93.645976,24.383981,2962.7
93.565909,25.178243,2877.2
94.569145,25.434908,168.9
93.705259,24.445073,10.3
93.785828,24.942319,1360.9
94.035395,24.668997,0.5
93.709919,24.279989,9.9
93.438876,24.992076,7.6
93.936862,24.864273,2.9
93.923999,24.856115,5.8
94.002715,24.862970,0.5
93.870633,25.412618,9346.5
93.817195,24.746968,0.8
94.280901,25.253231,171.8
93.706205,24.474243,0.5
93.348821,24.346084,6.9
93.330862,24.131312,7.5
94.023511,24.873088,8.7
93.922724,24.612952,469.4
94.430642,24.614220,363.9
93.610056,24.917660,2216.8
94.285224,24.232960,4.1
94.200987,24.776432,12.4
94.146346,25.043149,1.0
93.476376,24.826265,57.7
94.060521,25.157929,6507.6
93.319650,25.046328,336.6
93.751888,24.697801,1350.8
93.882960,25.423628,9013.1
93.043438,24.343704,1.1
94.115822,24.470422,42.8
94.499986,25.199626,0.5
93.105625,24.677241,162.0
94.018978,24.731655,3.6
93.972012,25.173614,16.0
93.196941,24.191942,304.1
93.808937,24.904685,7.2
93.324681,24.341787,7.9
94.006835,24.555347,1.2
93.623208,24.514699,5314.3
93.828559,24.704429,7.0
94.262588,25.257249,686.5
94.061409,24.301673,14.9
94.118384,25.193368,6195.2
93.763434,24.615874,6.4
93.855092,24.193496,1114.8
93.083809,24.700508,1.2
94.146336,24.534502,7.4
93.629118,24.365135,2423.7
93.345468,24.139650,156.4
93.597843,24.104363,2.7
93.072732,24.209399,19.6
94.013119,24.963333,9.1
93.152728,24.775589,5.8
93.897526,24.615214,137.9
93.758494,25.164114,5.2
94.062988,24.938409,24.0
93.162792,24.692241,12.0
94.036466,24.318907,0.5
93.913270,24.582517,79.2
94.289073,24.782294,6458.4
93.076299,24.524196,10.0
94.369027,25.106112,15.4
93.482213,24.792205,363.4
93.870473,24.784773,1.7
93.268263,24.051452,1.3
94.107254,24.527839,6.2
93.593114,24.152876,1.0
94.045161,25.554453,6849.2
93.656496,24.584504,26.5
93.714332,24.359998,2.6
93.921183,24.764567,6.8
94.357186,24.769105,455.3
94.324166,25.309443,2817.8
93.284080,24.798506,2.7
93.683152,24.308239,3.0
94.291453,24.774799,5863.1
93.453686,24.924484,519.7
94.118920,24.893932,18.5
93.936138,24.756109,3.6
93.507524,24.367099,404.8
94.142113,24.983846,1.8
94.055121,24.593035,173.1
94.074303,24.797369,0.5
93.969972,24.583215,20.6
93.567466,24.069010,8.2
94.169437,24.409060,4.1
94.082767,24.926789,3.0
93.190739,24.612279,7450.1
93.948801,24.530769,53.1
94.366759,25.098219,18.2
93.400325,24.165918,13.5
93.967283,24.845431,239.2
94.219560,25.262716,2357.0
93.974411,24.345673,1.1
93.557760,24.331632,224.2
93.877329,24.818631,50.5
94.534129,25.520861,8.9
93.421958,24.934854,384.6
93.961940,25.086651,1.6
93.786086,24.929522,15.8
93.812664,25.418188,7248.7
94.239132,25.082610,8.2
94.089406,24.039560,24.5
94.094571,24.653474,7.0
93.209453,24.616273,7114.7
93.680976,24.906112,696.5
93.089651,24.706922,15.2
93.441253,24.388871,8.1
94.127364,24.467613,6.3
93.589390,24.313028,2.1
94.049269,24.769561,1.9
93.480938,24.146727,6.6
93.676452,24.309374,2.5
93.469180,24.387272,558.8
93.990561,24.843601,251.3
94.066386,24.968463,14.5
93.672416,25.264840,2556.1
93.968540,25.337281,3.2
93.643825,24.965347,27.2
93.585871,24.652796,162.2
94.113040,24.644172,5.3
93.773318,24.708865,2.9
94.068166,25.515374,4469.1
93.992605,24.880872,3.2
93.894431,24.616867,5.2
93.150158,24.778297,1.0
93.703622,24.359963,2.8
94.007461,24.825360,3.4
93.719160,24.955767,339.5
93.641818,24.522716,4655.5
94.292519,25.244134,1456.6
94.101847,24.145387,176.3
94.151208,25.518388,284.0
93.696860,24.860258,2058.6
93.552730,24.395379,5.3
94.044986,24.596757,0.5
93.622495,24.334529,0.9
93.551084,23.989941,0.5
94.110001,23.908425,5267.7
94.524518,25.325806,3.0
94.010102,24.714834,261.1
