Longitude,Latitude,Distance_To_Road_M
92.020584,25.952191,812.2
91.732094,25.560741,10.9
90.284524,25.922774,3.4
90.430018,25.838666,954.8
91.080688,25.204382,591.6
91.989856,25.729532,208.6
92.019732,25.339135,27.6
90.732617,25.434347,6.0
91.628314,25.169438,315.4
91.440140,25.591451,9.7
91.661257,25.277549,21.7
90.229874,25.739368,207.9
91.730234,25.477330,7.3
90.703301,25.723271,249.6
91.421590,25.488573,8.4
91.508393,25.400936,4.1
91.772596,25.534136,4.5
91.946628,25.542208,247.4
90.656683,25.874055,2.2
91.529561,25.836687,23.6
91.615450,25.541011,12.3
91.882916,25.881831,21.2
90.787152,25.658913,6.5
91.901066,25.684423,11.7
91.432578,25.562250,631.4
91.970969,25.954392,6.9
91.949644,25.615770,12.7
92.172456,25.233955,14.8
90.031710,25.657961,346.7
91.847328,25.502668,20.6
92.027955,26.037357,119.5
91.923159,25.569463,1.6
91.862842,25.656552,12.8
91.111531,25.682074,331.7
91.598890,25.497834,302.7
91.925076,25.666391,9.0
90.005396,25.707923,12.7
91.897562,25.583025,15.4
91.882689,25.592057,5.6
92.450951,25.514721,17.1
90.177380,25.736550,13.1
91.350927,25.181303,14.9
91.583734,25.514291,30.3
91.861774,25.207634,13.9
91.388523,25.227097,635.8
91.756194,25.558014,7.2
90.653009,25.756489,640.4
90.499751,25.578808,8.6
92.123042,25.446931,19.6
91.553252,25.623809,30.4
91.943980,25.687717,21.8
90.976186,25.683381,154.9
90.951906,25.173185,1.4
90.793590,25.807669,300.8
92.228939,25.108931,9.6
91.881991,25.326784,326.3
91.851740,25.474004,374.8
92.226166,25.212162,1685.5
90.995969,25.483154,625.7
91.526029,25.160967,109.7
91.931012,25.527771,169.6
91.094184,25.279035,32.1
91.966850,25.607433,11.7
91.243931,25.510223,69.6
91.944562,25.539397,243.0
92.213817,26.067710,114.0
92.168799,25.412266,20.2
92.051388,25.357645,20.2
91.753906,25.297428,69.1
91.880213,25.540473,7.1
91.228259,25.614844,195.3
91.901074,25.650415,22.0
90.581357,25.834237,25.4
91.600097,25.536036,15.1
92.010067,25.238754,7.4
91.650194,25.411767,26.6
90.493387,25.764569,162.7
91.636641,25.571706,7.6
90.339043,25.958950,4.2
91.742537,25.767619,11.5
92.301331,25.259660,11.1
91.926058,25.556062,14.6
90.698309,25.457304,6.8
91.591320,25.548376,4.0
90.614358,25.185136,640.5
92.467202,25.526436,599.4
91.660951,25.495825,10.8
91.819136,25.502696,25.9
90.978260,25.681480,304.8
91.415988,25.554490,14.0
91.975821,25.497242,12.9
91.900216,25.621091,370.9
92.257131,26.031649,1307.0
91.904692,25.349827,287.5
91.293787,25.557897,21.1
92.151427,25.186241,101.4
90.389737,25.460671,4772.0
91.641434,25.402562,67.4
90.366061,25.785336,5046.2
92.632268,25.262055,7662.9
92.000939,25.576828,8.0
92.032908,25.195975,10.0
90.043458,25.339485,8.8
90.560632,25.281014,2.2
90.093588,25.904466,900.9
92.071026,25.546799,2.7
92.278662,25.316832,7.6
92.469223,25.341606,5.1
92.030822,25.195488,44.4
91.193670,25.856039,10.5
91.694722,25.248281,68.0
91.688228,25.401007,2.8
91.241072,25.543318,205.2
91.962681,25.826574,21.1
91.418854,25.489979,149.8
91.874834,25.494861,311.9
91.867509,25.272778,489.8
91.893754,25.500531,11.1
91.181543,25.201115,10.5
90.681306,25.360953,100.3
91.456037,25.583193,7.4
91.533070,25.536453,13.0
91.601044,25.388597,33.1
91.769544,25.456037,21.9
91.772356,25.606265,13.6
92.028373,25.197163,2.2
91.815388,25.735795,5.7
90.629234,25.508707,9.3
91.330020,25.471100,7.7
91.267334,25.209538,10.3
91.997600,25.959747,0.8
91.959169,25.548368,12.0
90.201300,25.418797,1482.7
91.720405,25.429462,1.8
92.133251,25.601603,7.0
91.195159,25.356721,1249.5
90.672673,25.633387,8.5
91.733766,25.228209,9.9
91.837426,26.077662,402.2
91.396763,25.602627,152.0
92.273813,25.246724,64.9
90.589291,25.782676,2913.7
90.735279,25.654788,11.3
91.716089,25.467067,297.1
91.745448,25.790477,114.3
91.867566,26.019304,6.0
92.092358,25.336978,20.2
91.757039,25.604724,15.6
90.954868,25.674585,27.1
92.118713,25.623717,7.2
91.492138,25.399091,408.5
90.914125,25.649804,73.4
89.963540,25.527672,2.9
91.381354,25.317893,5.5
92.003567,26.035610,12.5
91.750812,25.231146,32.5
91.875046,25.512713,15.4
90.856659,25.501074,11.3
90.831771,25.163826,2.1
90.202419,25.933218,1.8
91.613459,25.503313,15.2
90.932862,25.204472,78.2
92.208706,25.347937,382.9
90.508123,25.772196,18.1
92.133848,25.915134,10.0
91.946146,25.608317,16.3
91.599044,25.440164,330.1
91.566992,25.168071,134.5
91.774647,25.359567,303.7
91.755190,25.447442,6.8
91.902182,25.594827,15.6
91.789810,26.061359,9.3
92.069633,25.883573,7.1
90.776591,25.904497,13.5
92.026854,25.502641,8.6
91.782450,25.416661,82.2
90.656901,25.918840,25.8
91.988452,25.523493,19.8
91.244452,25.482919,7.5
91.348888,25.413168,13.3
91.333695,25.317485,10.2
90.904888,25.925185,18.9
91.779481,25.587632,51.6
91.375582,25.189393,375.2
90.303926,25.909402,314.5
92.242061,25.364941,5.3
91.160659,25.600620,1471.0
92.622228,25.379352,4715.3
90.820822,25.700706,8.5
91.882062,25.626146,8.1
89.863598,25.380731,13.8
91.796897,25.598465,5.4
91.828116,25.543717,13.9
91.300082,25.700364,33.4
91.932671,25.388988,6.8
91.807144,25.630346,44.2
91.873627,25.570349,7.0
91.891798,26.026176,11.4
91.870681,25.191936,22.4
89.993515,25.467219,25.9
89.885119,25.375476,6.8
90.023110,25.495757,24.3
91.922603,25.591324,31.7
91.964567,25.686509,48.3
90.173560,25.500094,22.1
92.029356,25.264447,26.5
91.690727,25.223611,3.2
90.130061,25.413587,3.2
91.882783,25.571108,28.7
91.759548,25.390100,17.3
91.292502,25.588279,8.3
92.344560,25.431388,2.6
90.517262,25.174503,4.7
90.073047,25.250180,29.3
90.211262,25.211353,128.6
91.766526,25.578910,23.7
90.002291,25.718846,18.8
91.659614,25.190734,1029.4
92.347045,25.636151,538.7
91.819387,25.237053,33.2
91.892753,25.634805,20.2
91.443835,25.570193,12.7
90.095858,25.870988,35.2
91.693735,25.237604,9.1
90.160621,25.235117,12.4
91.675479,25.140211,16.8
91.939867,25.601889,13.5
91.418328,25.233775,210.2
91.765867,25.599822,21.6
92.243116,26.061933,17.5
90.214263,25.903545,13.4
92.241737,26.033311,21.1
92.114295,25.597368,191.1
91.840718,25.610738,33.7
90.885105,25.491896,1108.9
91.881234,25.581857,4.3
91.927907,25.561160,11.0
92.389038,25.175009,14.2
91.247386,25.528813,4.0
92.343888,25.074204,2.2
91.406676,25.281974,7.8
91.629724,25.857649,1417.5
90.872919,25.598959,68.9
89.848163,25.360200,4.9
90.815292,25.753647,0.5
91.968621,25.966376,38.1
91.962244,25.236298,6.7
90.042643,25.305307,11.3
91.931098,25.598428,29.7
91.888167,25.581512,4.5
92.088387,25.423564,9.8
90.604938,25.898840,8.8
91.601236,25.415248,4.6
91.573907,25.362181,22.1
91.878871,25.467679,7.6
90.956764,25.680977,380.9
91.475867,25.500329,379.0
91.586476,25.852815,13.1
91.453230,25.551623,26.9
92.149063,25.388411,22.1
92.054067,25.394612,173.8
90.124207,25.233450,26.6
91.924333,25.596460,7.0
92.089307,26.000020,10.9
91.578967,25.414982,305.8
92.128388,25.903355,15.5
90.655470,25.616072,23.0
90.134164,25.276401,13.4
91.125986,25.193985,193.3
90.393223,25.510840,19.3
91.274195,25.483456,13.7
91.604697,25.692796,10.3
91.654476,25.133524,25.3
90.688246,25.369519,5.9
91.936733,25.599342,232.9
91.980801,25.978377,19.4
90.212152,25.343446,33.1
89.852213,25.311497,27.2
91.812361,25.186144,15.2
91.886747,25.628359,3.7
91.314153,25.464202,3.9
91.880635,25.760243,58.8
91.138744,25.494267,65.3
91.412626,25.354169,15.0
91.908529,25.555748,10.5
90.795565,25.928479,15.5
91.852145,25.580924,14.1
91.762406,25.462658,12.9
91.348993,25.476820,6.4
91.367215,25.192759,19.9
90.838436,25.185279,22.6
91.917785,25.188636,466.9
91.577184,25.201113,15.8
92.219931,25.664838,24.4
90.794184,25.181644,4.6
91.504735,25.605647,65.0
91.553838,25.289004,1312.9
90.108686,25.715112,29.2
91.853841,25.607795,26.6
90.581183,25.835028,0.5
90.779584,25.192434,7.9
91.531799,25.694745,255.8
89.948299,25.517527,224.9
91.065548,25.201944,14.5
92.349269,25.193468,10.7
90.481368,25.167999,53.3
91.865599,26.009623,11.5
90.164526,25.233323,120.8
91.461102,25.596111,17.7
90.510116,25.979083,29.9
90.685319,25.165980,25.9
92.043432,25.200094,13.3
91.457706,25.666131,1863.1
91.906237,25.528844,36.5
91.600334,25.463753,15.3
91.744372,25.332108,593.7
91.874459,25.593994,18.0
90.338450,25.341505,1846.8
89.865617,25.293914,140.8
91.408924,25.514820,17.3
91.800247,25.222253,214.6
91.893442,25.932961,358.9
91.892629,25.582964,54.3
91.924096,25.578097,84.8
90.862149,25.877744,137.0
90.195761,25.801827,26.5
91.376006,25.259965,16.0
90.865688,25.531899,49.2
92.002307,25.592907,28.8
91.672612,25.584822,14.4
91.738810,25.352566,54.0
89.855345,25.357875,11.5
90.587755,25.315323,10.1
91.170322,25.206793,745.9
89.938225,25.686888,2.8
91.988676,25.388393,1.7
91.848135,25.678240,4.6
91.409283,25.572450,14.5
92.440277,25.665060,5.5
91.600175,25.345755,78.4
92.314154,25.321275,8.6
91.939423,25.597605,19.7
91.239665,25.392850,351.5
91.786537,25.192339,16.1
91.424969,25.316676,333.7
90.121840,25.304067,4.5
91.998109,25.513359,18.4
91.760420,25.316818,8.6
92.238173,25.126475,109.6
89.937347,25.465299,314.4
91.714669,25.496320,6.0
91.718182,25.419453,24.0
92.063614,25.210955,7.4
91.520961,25.712994,66.1
90.334741,25.985232,251.7
91.176368,25.650808,15.2
90.680867,25.498914,665.5
91.691078,25.893578,11.4
91.826121,25.627283,266.9
91.541540,25.398207,24.2
90.273433,25.344273,18.0
91.564717,25.617664,2.7
92.262780,25.239613,242.7
92.010208,25.654324,8.3
91.785293,25.196353,5.0
92.206315,25.291726,2777.2
91.936406,25.292488,14.0
90.123856,25.413791,16.0
92.303235,25.414131,21.7
90.406855,25.922388,6.7
91.186017,25.671480,227.4
91.961948,25.772177,6.2
91.918472,25.607687,1.8
90.686452,25.174243,200.7
91.912390,25.662869,80.2
92.279510,25.247787,2.6
91.719418,25.288079,166.0
92.631096,25.392725,6090.8
90.608968,25.532544,27.9
91.619663,25.684964,10.2
90.568190,25.803221,6.2
92.168574,25.570434,23.5
92.263418,25.244874,25.0
91.511423,25.525709,13.8
91.014692,25.716425,10.4
90.200098,25.361359,2119.3
91.693727,25.238145,21.1
90.785199,25.816065,2.3
90.016106,25.459891,14.2
92.386966,25.498339,334.6
90.110611,25.247503,90.2
91.309229,25.632477,1251.2
91.849123,26.029033,8.5
90.744907,25.656550,290.1
92.148170,26.035612,18.3
91.071488,25.201306,0.8
91.572377,25.182107,21.4
91.414621,25.500494,3.5
90.926808,25.680402,170.8
91.542784,25.150162,61.6
91.686932,25.403013,11.8
92.052978,25.595657,61.3
91.604942,25.384914,24.5
90.143896,25.928445,1501.7
91.925029,25.493766,4.9
90.104816,25.232983,21.6
91.564335,25.943089,20.0
91.396842,25.528632,8.3
92.011357,25.246957,9.5
91.577017,25.412904,298.7
91.795047,25.777286,31.0
91.832227,25.539409,130.2
90.040978,25.651268,16.2
91.556088,25.601154,27.1
90.748121,25.889978,2365.9
91.765478,25.398306,15.5
89.859552,25.395367,32.4
91.920501,25.593995,27.0
92.056499,25.352057,11.7
91.255038,25.515034,15.8
92.337969,25.482571,7.7
91.733041,25.226883,6.5
91.903064,25.252113,6.8
90.543418,25.380330,1434.2
90.649699,25.917239,18.0
91.863731,25.562382,1.7
90.477138,25.849356,28.3
91.262823,25.355866,278.1
91.707562,25.530595,26.4
91.906716,25.659939,2.9
91.325197,25.674071,20.2
91.108337,25.793955,6.2
92.045270,25.789580,10.1
92.408156,25.663122,17.0
91.733294,25.386917,10.2
91.611876,25.421436,12.6
92.372650,25.322834,24.9
91.463089,25.582531,14.4
91.866562,25.555153,15.3
90.012074,25.682918,672.0
90.358467,25.172845,19.7
91.917461,25.588884,21.6
91.481688,25.588475,9.0
91.463769,25.366655,3.0
92.511724,25.353544,202.4
91.478241,25.377318,16.3
92.013564,25.706206,17.4
91.874292,25.817241,1.9
90.210553,25.256542,12.1
90.204462,25.315695,386.1
92.110960,25.504128,254.8
91.576330,25.467210,2043.4
92.015946,25.340982,4.6
91.894714,25.746411,20.5
91.590035,25.358922,12.7
91.944376,25.671914,8.6
90.998559,25.876395,348.4
91.970006,25.385047,426.4
92.405523,25.227281,31.9
90.895374,25.639127,28.5
91.178468,25.750319,1881.6
91.847162,25.255860,308.9
92.442803,25.668961,4.7
92.027417,25.610207,17.0
91.855146,25.655867,21.7
92.365621,25.486236,14.9
92.007067,25.228939,10.0
91.099237,25.271420,314.1
91.942655,25.461516,263.2
91.882717,25.616857,16.5
91.893418,25.323139,6.6
91.639151,25.907031,6.5
90.931336,25.209247,30.8
92.424306,25.164289,55.7
92.411481,25.514754,76.2
91.306544,25.483603,6.4
91.626370,25.450370,13.2
91.985240,25.604853,217.6
91.630264,25.410180,5.8
92.010901,25.254273,16.1
90.879792,25.639208,16.5
92.495585,25.320961,7.9
91.922991,25.472242,20.5
90.069042,25.264107,13.0
90.456407,25.568629,7.8
91.920995,25.579515,8.9
91.823324,25.240339,27.9
90.898995,25.543256,7.3
91.659608,25.550442,18.9
89.822804,25.372284,15.8
91.803235,25.786396,27.2
91.426402,25.233879,7.6
91.614419,25.567283,2.1
91.682284,25.240106,6.7
91.899581,25.498125,22.1
89.869519,25.463696,6.4
91.864811,25.283694,33.0
91.893902,25.242180,11.1
90.270296,25.229154,358.7
91.492787,25.380937,8.0
90.287481,25.925579,15.1
91.614902,25.892394,12.9
92.135637,25.911318,273.8
91.916959,25.574416,16.6
90.721941,25.512166,9.2
91.711379,25.503191,21.3
91.840903,25.967658,20.3
91.984757,25.971348,329.8
90.283003,25.333745,6.2
91.351929,25.213235,11.0
92.213782,25.112492,351.3
91.074407,25.716290,1602.5
90.480612,25.983094,1481.3
90.100801,25.860344,14.6
92.103729,25.522346,1325.5
92.139108,25.592202,343.7
90.342601,25.662238,4.7
91.864819,26.011730,27.2
92.399607,25.162099,23.0
91.080846,25.678857,3.5
91.922984,25.560118,12.9
90.770380,25.633695,16.1
91.907835,25.577684,4.8
91.545064,25.585975,345.1
91.746061,25.176920,7.5
91.659761,25.550417,8.4
92.093078,25.221397,479.9
91.819254,25.421307,1170.2
90.058784,25.264038,173.8
91.736178,25.515360,14.7
91.781094,25.334254,326.7
91.182347,25.606523,28.4
91.603787,25.218866,659.5
91.715318,25.335253,0.9
91.973299,25.492950,9.4
92.029913,25.966427,355.1
92.175210,26.007110,3.0
91.559926,25.516724,58.6
92.236166,25.458804,24.0
91.915747,25.481232,14.7
89.831897,25.415592,65.7
91.737013,25.587811,7.2
91.743602,25.209042,31.0
91.387360,25.428237,93.4
91.793581,25.443013,15.6
90.661281,25.819953,13.3
91.262036,25.242876,269.0
91.670561,25.868983,16.8
91.863610,25.275469,21.0
92.367180,25.679552,129.4
91.552399,25.503932,0.5
91.764238,25.317631,4.9
91.884260,26.010702,1613.6
91.716272,25.262940,379.1
91.901219,25.356108,5.6
90.598473,25.312073,39.0
91.665188,25.406520,10.7
91.857107,25.663926,10.9
89.955662,25.317741,15.4
92.006855,25.622580,14.5
90.896327,25.178139,10.7
91.925611,25.556215,25.5
