Longitude,Latitude,Distance_To_Road_M
93.199380,23.908861,1183.2
92.612619,23.121759,56.5
93.029428,22.204640,83.6
93.100534,22.468886,13.1
92.858383,23.523722,10.4
93.142346,23.226868,6.8
92.965800,24.005115,3.8
92.931023,22.957359,2.9
93.314167,23.442269,4.7
92.982010,23.388693,14.8
92.581410,23.050233,90.9
92.422570,23.264827,8.7
93.229910,23.987458,40.7
93.100835,23.316829,241.2
93.225879,23.237206,8.7
92.775189,23.037864,7.9
92.911357,22.613080,386.0
93.118388,23.257503,1.7
93.185106,23.442255,7.1
93.174864,23.525975,25.9
92.746335,23.727807,6.3
92.771911,23.278099,16.5
93.218043,23.065358,20.1
92.856220,23.024276,8.5
93.157800,23.410987,301.3
92.808508,22.676775,25.1
93.128892,22.919032,213.2
92.752439,23.315229,4.5
92.502864,22.786298,52.4
92.705160,23.729820,3.6
92.599384,22.096332,727.5
92.556133,23.785788,0.6
92.947043,23.771208,7.9
93.187776,23.523153,8.7
93.071123,22.746270,4.7
92.677104,23.209588,8.9
93.124323,23.984862,5.8
92.754463,22.866220,19.1
93.144598,23.109094,12.5
92.979230,23.735403,1.4
93.183270,23.625900,0.5
92.711506,22.851179,377.6
92.837735,22.813784,409.4
92.853766,23.891069,27.5
93.095053,23.280850,22.7
92.928232,23.693917,3.2
92.808877,22.118359,7.2
92.967655,22.488449,13.7
92.581553,23.860026,0.8
92.714057,22.336849,8.7
92.942634,22.874297,79.6
92.920456,23.879604,3.5
92.363172,23.181328,10.7
93.315941,23.410034,5.5
92.607020,22.337534,23.9
92.628188,23.815074,24.0
92.754557,23.729472,6.8
93.095648,23.289212,2.7
92.504646,22.862701,5.1
93.103910,22.919948,55.7
93.089746,22.860336,13.5
93.227346,23.547918,46.5
92.389417,22.934399,2.7
92.749297,23.765237,118.2
92.483090,23.225024,11.9
92.492854,23.701586,32.1
93.249501,23.585340,15.4
92.774455,23.271704,1.6
92.857536,23.445535,6.7
92.507604,22.915473,129.1
92.986963,23.781665,2.3
92.917980,22.468037,14.9
92.436676,23.061618,29.9
93.100064,22.978000,15.2
92.645669,23.446457,4488.6
92.713890,22.877350,8.5
92.962907,23.552079,6.5
92.606680,22.338098,1.7
92.900489,23.750242,3897.1
92.978966,23.209258,8.0
92.446328,23.911977,386.1
92.580283,23.645887,1307.9
92.742986,23.743065,18.0
92.734626,23.819162,10.6
93.079343,23.310674,248.1
93.336232,23.979369,0.6
92.547691,23.187050,343.6
92.701742,23.482632,2.4
92.928765,22.943702,1.5
92.741780,23.770962,8.6
92.725985,22.628846,23.8
92.617329,22.089959,102.8
92.961414,22.367482,6.4
93.050425,23.842924,66.0
92.769407,22.314934,124.5
92.319509,23.757884,5327.6
92.941052,23.967290,816.8
93.318307,23.129515,0.5
92.409600,22.965893,284.5
93.000224,22.497677,26.7
93.182713,23.522247,6.7
93.134859,23.170620,10.4
92.981826,22.794263,8.3
92.877970,22.553980,263.0
92.653003,24.263478,0.8
92.650267,23.841335,9.7
92.471211,23.750281,16.4
92.972470,23.691815,0.5
93.347158,23.244534,3.3
92.848560,22.102503,52.0
93.070619,23.838818,175.9
93.295826,23.464106,417.8
92.781037,22.501671,13.4
92.895904,22.333305,0.5
93.135806,23.217856,6.5
92.641622,23.836036,4.1
92.897106,23.092225,2.0
93.046400,23.128349,206.1
92.405680,23.258692,3.1
92.781836,23.048544,14.0
92.919856,24.115657,0.6
92.364793,23.405590,502.1
92.951150,22.549186,11.1
92.782647,23.436175,83.3
92.607333,22.178374,25.0
93.413909,23.666118,14.5
93.370210,23.607883,301.0
92.793395,23.257097,0.9
93.341866,23.475798,0.9
92.643419,22.370444,11.3
93.219118,23.051762,9.8
92.706371,23.494148,3.9
92.975325,23.692083,11.7
92.984152,23.659708,10.3
93.120438,23.778792,51.4
92.608020,22.956801,14.7
92.403024,23.275236,2.3
92.676752,24.237432,0.5
92.938989,23.285486,8.9
92.587960,22.677274,22.1
92.543303,23.767377,122.0
92.758410,22.369957,3.6
92.473212,22.795405,52.3
93.109624,22.493037,6.9
92.581683,23.853235,253.5
92.541425,24.193914,6.3
93.299080,23.305009,6.2
92.893965,22.518492,1.4
92.843467,22.680901,5.4
93.117840,23.158939,1.8
92.950598,23.559252,328.0
92.854043,23.732331,49.4
92.528135,22.784403,5.8
93.153599,23.486172,11.9
92.723868,23.727462,5.7
92.584410,22.287737,5.9
92.713768,23.761353,404.6
93.143368,23.211857,15.9
92.781462,23.045338,73.0
93.410683,23.664174,13.8
93.217505,23.634113,0.8
92.771952,22.499548,352.7
92.671706,23.224384,467.8
93.344700,23.483913,4.5
92.653644,23.808335,4.7
92.674242,23.657782,10.5
93.381374,23.360480,13.0
92.596566,24.190842,17.9
93.329938,23.212633,294.9
92.721851,23.627952,14.8
93.377421,23.690697,10.4
92.745056,23.763599,75.8
93.215092,23.225550,58.7
92.931356,22.957602,29.3
92.854811,22.265544,11.7
93.242037,23.578117,122.6
93.050183,23.468632,21.0
92.568900,24.147471,24.4
92.560253,23.779038,14.9
92.821559,22.251432,5.7
92.848296,22.891868,0.6
93.040332,23.093192,5.0
93.079886,22.292983,5.9
93.334189,23.483528,12.7
93.077993,22.295260,0.5
93.079846,23.765108,18.6
92.722641,24.342000,1.3
92.894680,22.461234,6.8
92.705335,22.939017,4.0
92.270291,23.751916,277.9
92.919768,23.869345,5.6
92.742153,23.883285,9.2
92.743042,23.839312,49.1
93.046133,23.438231,6.3
93.018647,23.189203,161.7
92.954824,22.502922,7.2
92.975222,22.161788,1658.7
92.801010,23.452458,9.8
93.377018,23.589391,293.4
93.145492,23.475528,21.6
92.780258,23.345278,283.5
93.094879,23.010669,11.6
92.962554,23.683726,3.1
93.128598,23.381750,12.3
92.753511,23.381291,1.6
