Longitude,Latitude,Distance_To_Road_M
93.580364,25.730809,40.5
94.447190,26.476425,7.1
93.709167,25.884743,7.6
93.716621,25.531572,0.5
94.940085,26.731472,12.0
94.694886,25.846663,8.0
94.905069,26.324685,106.2
94.336519,25.828852,18.5
94.761825,26.670423,4.1
95.155413,26.070784,3727.9
94.909663,26.421349,6.7
94.027700,25.683401,196.6
94.432015,25.635754,27.9
94.798691,26.746397,2414.8
93.698372,25.737900,96.5
94.439092,25.624742,353.7
93.648797,25.736586,7.2
94.583709,26.115789,111.1
94.732522,25.635002,5.8
94.295223,25.600020,1244.2
94.200344,26.107810,4207.8
94.364888,25.804112,1.0
94.088141,25.676964,0.6
93.598167,25.710223,7.9
94.345344,25.769041,55.7
93.788906,25.911393,23.0
94.764629,25.565126,123.7
94.616433,25.675020,135.6
94.392640,25.682646,7.2
94.368284,25.798898,23.7
94.751740,26.218328,5.5
94.033058,25.712633,80.7
93.843956,25.750601,421.1
93.698130,25.887622,10.4
95.002860,25.978406,5.8
94.134005,25.876619,12.1
94.795693,26.231222,10.8
94.810092,25.949881,243.4
93.753806,25.944450,165.5
94.410824,25.863845,144.3
94.866194,25.671736,1230.1
95.061898,26.227335,906.4
94.102305,25.700181,8.0
93.859389,25.658405,9.4
93.747904,25.671480,4.7
95.018952,26.715090,9.9
95.025787,26.201814,3.2
93.523435,25.279375,2410.5
94.546418,25.845243,7.3
95.077309,26.663271,17.5
94.997578,26.704613,3.8
95.034152,26.540555,6.2
93.774918,25.795281,59.8
94.105820,25.705541,17.4
93.898577,25.722569,42.0
94.658524,25.917234,7.1
94.478457,25.739024,3.3
93.767645,25.778956,38.4
94.445040,26.076304,50.1
94.857789,26.194516,6.8
93.759115,25.921781,35.4
93.635970,25.465101,37.3
93.690998,25.743946,26.5
94.538573,26.212586,624.8
93.661216,25.499056,236.7
93.762338,25.921887,0.5
94.135656,25.716996,104.9
95.031055,26.579544,9.3
93.768707,25.892766,11.0
94.987039,26.163879,172.3
94.435891,25.709921,78.9
94.960558,25.957536,67.5
94.924241,25.811714,4.8
93.763265,25.909144,2.0
94.518200,26.314647,361.2
94.902236,26.192991,0.8
94.945830,25.808273,8.8
93.583045,25.669878,2.7
94.594993,26.065435,1840.6
