lat,lon,mfi,r_factor,mean_annual_rainfall_mm
26.9794,87.9135,452.9,1736.58,2714.4
26.9794,88.0035,475.84,1832.27,2831.7
26.9794,88.0935,473.37,1821.94,2964.5
26.9794,88.1835,491.91,1899.27,3321.4
26.9794,88.2735,482.96,1861.93,3235.0
26.9794,88.3635,573.04,2237.59,3850.1
26.9794,88.4535,589.74,2307.23,3463.5
26.9794,88.5435,617.48,2422.9,3769.0
26.9794,88.6335,696.51,2752.43,3789.2
26.9794,88.7235,624.38,2451.67,3514.0
26.9794,88.8135,624.38,2451.67,3514.0
26.9794,88.9035,608.75,2386.49,3231.2
26.9794,88.9935,749.22,2972.24,4213.4
27.0694,87.9135,599.68,2348.66,3486.9
27.0694,88.0035,621.0,2437.56,3812.6
27.0694,88.0935,504.9,1953.42,3218.7
27.0694,88.1835,519.49,2014.26,3525.0
27.0694,88.2735,508.52,1968.53,3144.8
27.0694,88.3635,537.81,2090.66,3683.3
27.0694,88.4535,554.43,2159.98,3451.9
27.0694,88.5435,598.0,2341.68,3803.8
27.0694,88.6335,602.09,2358.71,3764.2
27.0694,88.7235,680.52,2685.79,4590.6
27.0694,88.8135,680.52,2685.79,4590.6
27.0694,88.9035,649.12,2554.82,3393.7
27.0694,88.9935,762.84,3029.06,4297.1
27.1594,87.9135,732.46,2902.35,4088.9
27.1594,88.0035,648.63,2552.8,3974.1
27.1594,88.0935,576.4,2251.59,3914.1
27.1594,88.1835,770.08,3059.24,6997.6
27.1594,88.2735,519.49,2014.26,3525.0
27.1594,88.3635,693.7,2740.71,4238.1
27.1594,88.4535,583.52,2281.27,4120.1
27.1594,88.5435,525.3,2038.49,3371.5
27.1594,88.6335,530.78,2061.34,3331.6
27.1594,88.7235,680.52,2685.79,4590.6
27.1594,88.8135,680.52,2685.79,4590.6
27.1594,88.9035,637.57,2506.65,3959.0
27.1594,88.9935,515.64,1998.23,3461.9
27.2494,87.9135,683.36,2697.62,3680.4
27.2494,88.0035,566.36,2209.72,3374.6
27.2494,88.0935,514.59,1993.84,3133.0
27.2494,88.1835,677.09,2671.44,5985.3
27.2494,88.2735,555.78,2165.59,4295.8
27.2494,88.3635,670.18,2642.67,4440.0
27.2494,88.4535,717.76,2841.05,5631.9
27.2494,88.5435,717.76,2841.05,5631.9
27.2494,88.6335,683.8,2699.44,4462.7
27.2494,88.7235,683.8,2699.44,4462.7
27.2494,88.8135,631.83,2482.72,3861.5
27.2494,88.9035,587.78,2299.04,3654.5
27.2494,88.9935,515.64,1998.23,3461.9
27.3394,87.9135,492.8,1902.97,2881.2
27.3394,88.0035,449.93,1724.21,2745.8
27.3394,88.0935,451.93,1732.54,3390.2
27.3394,88.1835,549.79,2140.64,4908.1
27.3394,88.2735,555.78,2165.59,4295.8
27.3394,88.3635,575.77,2248.95,5075.1
27.3394,88.4535,851.17,3397.39,7503.2
27.3394,88.5435,676.66,2669.66,5952.5
27.3394,88.6335,670.96,2645.9,5573.5
27.3394,88.7235,623.42,2447.65,3634.1
27.3394,88.8135,533.77,2073.8,3569.8
27.3394,88.9035,458.16,1758.53,3079.2
27.3394,88.9935,515.64,1998.23,3461.9
27.4294,87.9135,499.79,1932.14,2743.2
27.4294,88.0035,425.32,1621.58,2447.5
27.4294,88.0935,427.55,1630.89,2669.7
27.4294,88.1835,535.54,2081.19,4827.4
27.4294,88.2735,575.77,2248.95,5075.1
27.4294,88.3635,929.35,3723.39,8160.2
27.4294,88.4535,644.53,2535.69,5481.4
27.4294,88.5435,700.14,2767.6,6680.4
27.4294,88.6335,676.66,2669.66,5952.5
27.4294,88.7235,575.49,2247.81,3627.3
27.4294,88.8135,546.22,2125.72,3464.2
27.4294,88.9035,376.86,1419.5,2835.6
27.4294,88.9935,376.86,1419.5,2835.6
27.5194,87.9135,505.78,1957.12,3330.0
27.5194,88.0035,358.03,1340.99,2123.5
27.5194,88.0935,301.29,1104.38,1831.0
27.5194,88.1835,463.3,1779.97,3198.6
27.5194,88.2735,226.79,793.73,1440.0
27.5194,88.3635,505.33,1955.23,5397.4
27.5194,88.4535,865.17,3455.78,8251.5
27.5194,88.5435,931.61,3732.82,8303.1
27.5194,88.6335,503.92,1949.35,4843.0
27.5194,88.7235,536.23,2084.08,3423.2
27.5194,88.8135,408.65,1552.07,3060.2
27.5194,88.9035,388.04,1466.13,2914.5
27.5194,88.9935,307.51,1130.32,2291.2
27.6094,87.9135,324.2,1199.93,2677.3
27.6094,88.0035,249.72,889.35,1422.2
27.6094,88.0935,182.94,610.87,1142.9
27.6094,88.1835,226.79,793.73,1440.0
27.6094,88.2735,660.89,2603.93,7132.5
27.6094,88.3635,608.49,2385.4,5389.2
27.6094,88.4535,662.69,2611.41,6540.0
27.6094,88.5435,317.65,1172.61,3561.0
27.6094,88.6335,612.46,2401.97,5076.6
27.6094,88.7235,426.93,1628.32,3012.9
27.6094,88.8135,224.53,784.3,2025.5
27.6094,88.9035,296.12,1082.83,2084.9
27.6094,88.9935,230.45,808.99,1627.1
27.6994,87.9135,118.0,340.06,995.5
27.6994,88.0035,229.37,804.45,1413.3
27.6994,88.0935,132.17,399.15,931.7
27.6994,88.1835,113.49,321.25,865.6
27.6994,88.2735,173.88,573.07,1668.9
27.6994,88.3635,257.42,921.43,2642.7
27.6994,88.4535,369.04,1386.9,4102.4
27.6994,88.5435,441.73,1690.0,4796.9
27.6994,88.6335,270.7,976.83,2769.1
27.6994,88.7235,208.08,715.71,2011.5
27.6994,88.8135,199.34,679.25,1957.5
27.6994,88.9035,215.91,748.33,1570.0
27.6994,88.9935,208.28,716.53,1505.3
27.7894,87.9135,118.0,340.06,995.5
27.7894,88.0035,118.0,340.06,995.5
27.7894,88.0935,118.0,340.06,995.5
27.7894,88.1835,90.96,227.3,754.9
27.7894,88.2735,90.96,227.3,754.9
27.7894,88.3635,204.8,702.01,2174.5
27.7894,88.4535,324.13,1199.63,3659.4
27.7894,88.5435,356.34,1333.93,4002.4
27.7894,88.6335,229.85,806.48,2353.4
27.7894,88.7235,229.85,806.48,2353.4
27.7894,88.8135,208.08,715.71,2011.5
27.7894,88.9035,174.03,573.71,1349.2
27.7894,88.9935,175.08,578.07,1320.2
27.8794,87.9135,100.15,265.61,921.9
27.8794,88.0035,75.69,163.62,692.6
27.8794,88.0935,65.59,121.52,554.6
27.8794,88.1835,61.42,104.14,590.5
27.8794,88.2735,79.59,179.91,782.8
27.8794,88.3635,139.27,428.76,1493.0
27.8794,88.4535,150.32,474.84,1679.5
27.8794,88.5435,343.7,1281.22,3915.0
27.8794,88.6335,122.36,358.22,1149.0
27.8794,88.7235,128.43,383.56,1175.5
27.8794,88.8135,128.43,383.56,1175.5
27.8794,88.9035,111.09,311.26,861.6
27.8794,88.9935,97.55,254.8,706.1
27.9694,87.9135,66.8,126.57,565.9
27.9694,88.0035,100.15,265.61,921.9
27.9694,88.0935,60.9,101.94,478.2
27.9694,88.1835,61.76,105.52,561.0
27.9694,88.2735,61.76,105.52,561.0
27.9694,88.3635,115.91,331.33,1195.1
27.9694,88.4535,122.65,359.46,1294.4
27.9694,88.5435,97.34,253.89,1065.8
27.9694,88.6335,122.36,358.22,1149.0
27.9694,88.7235,88.47,216.92,837.8
27.9694,88.8135,80.12,182.11,734.5
27.9694,88.9035,89.42,220.87,668.9
27.9694,88.9935,86.49,208.65,593.1
