lat,lon,mfi,r_factor,mean_annual_rainfall_mm
26.551,91.446,495.09,1912.53,3245.5
26.551,91.696,447.77,1715.21,2967.4
26.551,91.946,412.92,1569.87,2775.7
26.551,92.196,433.84,1657.1,2882.9
26.551,92.446,413.32,1571.54,2759.2
26.551,92.696,452.97,1736.9,3204.1
26.551,92.946,458.23,1758.83,3241.9
26.551,93.196,445.64,1706.3,3194.9
26.551,93.446,496.13,1916.88,3657.2
26.551,93.696,441.96,1690.98,3264.8
26.551,93.946,345.15,1287.3,2693.4
26.551,94.196,324.33,1200.44,2396.6
26.551,94.446,359.29,1346.25,2779.8
26.551,94.696,375.13,1412.31,2892.2
26.551,94.946,357.83,1340.14,2672.3
26.551,95.196,337.35,1254.74,2739.0
26.551,95.446,357.42,1338.43,2656.6
26.551,95.696,361.15,1354.01,2189.2
26.551,95.946,641.11,2521.41,4611.3
26.551,96.196,507.51,1964.31,3077.2
26.551,96.446,542.28,2109.32,3064.0
26.551,96.696,605.36,2372.36,3588.1
26.551,96.946,635.21,2496.84,3836.7
26.551,97.196,517.22,2004.81,3837.0
26.551,97.446,553.0,2154.01,4022.8
26.801,91.446,547.72,2132.01,3354.9
26.801,91.696,500.88,1936.66,3074.6
26.801,91.946,453.57,1739.39,2829.1
26.801,92.196,458.38,1759.43,2955.0
26.801,92.446,461.9,1774.14,3096.4
26.801,92.696,473.17,1821.1,3210.1
26.801,92.946,448.17,1716.86,3141.9
26.801,93.196,424.91,1619.88,3069.1
26.801,93.446,422.41,1609.47,3070.4
26.801,93.696,419.53,1597.43,3093.1
26.801,93.946,389.53,1472.36,2776.6
26.801,94.196,389.86,1473.7,3090.5
26.801,94.446,405.08,1537.2,3122.3
26.801,94.696,310.65,1143.42,2352.0
26.801,94.946,345.05,1286.86,2669.6
26.801,95.196,321.14,1187.16,2510.9
26.801,95.446,415.16,1579.21,3114.9
26.801,95.696,503.83,1948.99,3666.5
26.801,95.946,490.25,1892.34,3466.6
26.801,96.196,524.55,2035.35,3429.4
26.801,96.446,504.8,1953.02,2892.5
26.801,96.696,536.36,2084.64,3253.2
26.801,96.946,707.19,2796.99,4454.9
26.801,97.196,501.18,1937.93,3259.2
26.801,97.446,724.35,2868.55,5300.4
27.051,91.446,585.76,2290.61,3619.8
27.051,91.696,597.65,2340.18,3841.8
27.051,91.946,561.31,2188.66,3721.2
27.051,92.196,515.29,1996.76,3476.8
27.051,92.446,446.18,1708.58,3333.9
27.051,92.696,434.67,1660.59,2938.8
27.051,92.946,460.56,1768.55,3156.2
27.051,93.196,473.87,1824.05,3721.4
27.051,93.446,366.71,1377.17,2817.8
27.051,93.696,354.71,1327.13,2800.7
27.051,93.946,400.41,1517.71,3079.6
27.051,94.196,402.79,1527.64,2935.7
27.051,94.446,387.04,1461.94,3058.3
27.051,94.696,393.59,1489.26,3083.6
27.051,94.946,382.18,1441.67,2999.7
27.051,95.196,337.46,1255.21,2507.7
27.051,95.446,346.17,1291.53,2602.4
27.051,95.696,407.36,1546.69,3225.3
27.051,95.946,444.81,1702.87,3650.0
27.051,96.196,399.08,1512.16,2838.1
27.051,96.446,404.31,1533.98,2835.7
27.051,96.696,423.19,1612.69,2969.0
27.051,96.946,534.8,2078.11,4457.5
27.051,97.196,507.45,1964.05,3540.3
27.051,97.446,865.03,3455.16,6450.8
27.301,91.446,461.01,1770.42,2933.6
27.301,91.696,549.79,2140.62,3599.8
27.301,91.946,430.69,1643.99,2966.9
27.301,92.196,336.06,1249.35,2614.5
27.301,92.446,586.77,2294.84,4387.8
27.301,92.696,682.14,2692.51,5172.1
27.301,92.946,435.32,1663.3,3268.1
27.301,93.196,497.15,1921.13,3876.5
27.301,93.446,379.97,1432.46,3102.7
27.301,93.696,456.09,1749.89,3692.3
27.301,93.946,365.23,1370.99,2786.7
27.301,94.196,363.07,1362.0,2694.6
27.301,94.446,448.12,1716.68,3550.5
27.301,94.696,445.24,1704.65,3466.3
27.301,94.946,394.8,1494.31,3052.5
27.301,95.196,377.42,1421.84,2969.1
27.301,95.446,366.42,1375.98,2817.4
27.301,95.696,388.0,1465.94,2975.3
27.301,95.946,358.99,1344.98,2705.8
27.301,96.196,358.35,1342.33,2746.2
27.301,96.446,373.33,1404.77,2928.1
27.301,96.696,420.14,1599.97,3437.6
27.301,96.946,377.11,1420.55,2677.3
27.301,97.196,578.35,2259.7,4036.7
27.301,97.446,684.35,2701.72,4715.4
27.551,91.446,496.66,1919.07,3824.8
27.551,91.696,342.12,1274.65,2463.5
27.551,91.946,279.31,1012.73,2137.5
27.551,92.196,269.42,971.46,1868.3
27.551,92.446,429.23,1637.9,3390.9
27.551,92.696,789.31,3139.4,6781.2
27.551,92.946,804.23,3201.62,6400.3
27.551,93.196,459.97,1766.08,3702.1
27.551,93.446,629.77,2474.13,6250.3
27.551,93.696,367.71,1381.34,3089.6
27.551,93.946,534.9,2078.54,4355.4
27.551,94.196,494.49,1910.03,3757.9
27.551,94.446,415.92,1582.39,3209.9
27.551,94.696,444.04,1699.66,3436.7
27.551,94.946,414.89,1578.08,3167.1
27.551,95.196,408.04,1549.52,3210.5
27.551,95.446,396.38,1500.91,3133.8
27.551,95.696,368.7,1385.5,2862.4
27.551,95.946,332.63,1235.07,2567.6
27.551,96.196,374.88,1411.24,2732.3
27.551,96.446,414.57,1576.75,2734.5
27.551,96.696,470.2,1808.74,3378.2
27.551,96.946,403.67,1531.29,3413.8
27.551,97.196,758.48,3010.86,4880.4
27.551,97.446,758.45,3010.75,4413.2
27.801,91.446,379.51,1430.57,3293.6
27.801,91.696,304.32,1117.01,2478.8
27.801,91.946,209.01,719.57,1517.3
27.801,92.196,173.63,572.03,1104.8
27.801,92.446,133.65,405.32,807.0
27.801,92.696,700.96,2770.99,6736.9
27.801,92.946,894.45,3577.87,7860.5
27.801,93.196,427.66,1631.36,3499.5
27.801,93.446,591.1,2312.89,5447.4
27.801,93.696,526.41,2043.13,4181.1
27.801,93.946,317.12,1170.39,2520.1
27.801,94.196,572.44,2235.08,4337.0
27.801,94.446,514.08,1991.71,3964.7
27.801,94.696,527.88,2049.26,4122.5
27.801,94.946,479.5,1847.51,3778.1
27.801,95.196,450.65,1727.22,3604.2
27.801,95.446,407.77,1548.4,3290.7
27.801,95.696,411.57,1564.24,3327.2
27.801,95.946,411.48,1563.87,3187.0
27.801,96.196,480.35,1851.08,3437.2
27.801,96.446,627.55,2464.89,4866.7
27.801,96.696,524.78,2036.32,4183.8
27.801,96.946,495.32,1913.48,4086.2
27.801,97.196,741.09,2938.33,6189.0
27.801,97.446,843.86,3366.92,5827.7
28.051,91.446,170.28,558.08,1388.7
28.051,91.696,162.43,525.33,1501.1
28.051,91.946,138.32,424.8,1033.6
28.051,92.196,127.49,379.61,763.6
28.051,92.446,119.33,345.59,694.5
28.051,92.696,161.32,520.7,915.9
28.051,92.946,395.74,1498.24,4477.3
28.051,93.196,488.71,1885.9,4141.7
28.051,93.446,483.29,1863.32,3852.7
28.051,93.696,642.03,2525.28,5017.9
28.051,93.946,429.12,1637.43,3648.1
28.051,94.196,405.47,1538.82,3468.7
28.051,94.446,617.09,2421.28,4579.4
28.051,94.696,487.07,1879.09,3857.2
28.051,94.946,555.53,2164.56,4563.3
28.051,95.196,500.67,1935.79,4065.2
28.051,95.446,456.85,1753.08,3621.2
28.051,95.696,436.47,1668.09,3559.2
28.051,95.946,488.67,1885.75,3602.6
28.051,96.196,644.71,2536.44,4532.6
28.051,96.446,611.74,2398.94,4866.6
28.051,96.696,413.27,1571.32,3265.8
28.051,96.946,386.23,1458.57,3227.9
28.051,97.196,318.51,1176.19,2539.0
28.051,97.446,874.32,3493.92,9137.3
28.301,91.446,80.95,185.56,539.0
28.301,91.696,83.1,194.53,641.2
28.301,91.946,95.52,246.3,603.4
28.301,92.196,108.34,299.8,598.7
28.301,92.446,91.21,228.33,538.2
28.301,92.696,165.3,537.3,1136.3
28.301,92.946,292.52,1067.81,2385.7
28.301,93.196,246.2,874.64,2472.5
28.301,93.446,435.9,1665.72,3703.2
28.301,93.696,406.32,1542.34,3796.2
28.301,93.946,408.3,1550.59,3364.7
28.301,94.196,436.26,1667.21,4068.2
28.301,94.446,739.85,2933.16,6341.7
28.301,94.696,603.49,2364.55,5143.4
28.301,94.946,505.57,1956.21,4178.3
28.301,95.196,516.51,2001.83,4211.6
28.301,95.446,696.24,2751.32,5911.2
28.301,95.696,485.81,1873.84,3683.6
28.301,95.946,681.61,2690.31,5652.7
28.301,96.196,509.02,1970.62,4345.4
28.301,96.446,555.9,2166.11,4771.0
28.301,96.696,348.35,1300.63,3096.6
28.301,96.946,304.71,1118.65,2655.6
28.301,97.196,210.08,724.05,2005.4
28.301,97.446,185.83,622.91,1659.5
