lat,lon,mfi,r_factor,mean_annual_rainfall_mm
24.036,89.599,257.69,922.57,1834.4
24.036,89.849,250.66,893.27,1838.5
24.036,90.099,253.22,903.94,1894.0
24.036,90.349,254.13,907.72,1938.1
24.036,90.599,259.22,928.97,1995.8
24.036,90.849,256.45,917.4,1994.2
24.036,91.099,262.25,941.59,2064.7
24.036,91.349,241.86,856.54,1939.0
24.036,91.599,226.49,792.45,1835.0
24.036,91.849,244.87,869.11,2002.2
24.036,92.099,225.21,787.14,1852.4
24.036,92.349,241.37,854.53,1958.4
24.036,92.599,226.63,793.04,1763.5
24.036,92.849,250.3,891.75,1812.1
24.036,93.099,283.87,1031.73,1965.0
24.036,93.349,252.36,900.34,1716.3
24.036,93.599,230.81,810.46,1541.2
24.036,93.849,212.64,734.72,1416.6
24.036,94.099,369.54,1388.98,2424.4
24.036,94.349,375.33,1413.12,2264.7
24.036,94.599,316.67,1168.53,1843.7
24.036,94.849,328.26,1216.83,1979.7
24.036,95.099,293.54,1072.05,1853.6
24.036,95.349,254.22,908.08,1616.6
24.036,95.599,323.06,1195.16,2064.0
24.036,95.849,287.26,1045.86,1842.5
24.036,96.099,296.19,1083.09,1995.6
24.286,89.599,268.15,966.19,1885.3
24.286,89.849,263.44,946.54,1882.5
24.286,90.099,265.12,953.56,1937.8
24.286,90.349,267.93,965.27,1981.7
24.286,90.599,281.45,1021.64,2090.0
24.286,90.849,295.82,1081.57,2227.5
24.286,91.099,273.58,988.81,2121.7
24.286,91.349,281.27,1020.91,2205.9
24.286,91.599,262.59,943.02,2078.9
24.286,91.849,261.71,939.33,2086.5
24.286,92.099,261.93,940.27,2138.0
24.286,92.349,252.23,899.81,2049.7
24.286,92.599,253.66,905.75,1950.9
24.286,92.849,299.07,1095.14,2165.0
24.286,93.099,330.64,1226.79,2273.4
24.286,93.349,317.74,1172.97,2186.2
24.286,93.599,197.23,670.44,1374.3
24.286,93.849,185.64,622.13,1281.0
24.286,94.099,270.83,977.34,1904.6
24.286,94.349,287.72,1047.77,1785.8
24.286,94.599,373.17,1404.11,2213.5
24.286,94.849,322.51,1192.88,1948.9
24.286,95.099,294.11,1074.46,1837.7
24.286,95.349,297.66,1089.26,1935.5
24.286,95.599,277.1,1003.53,1782.0
24.286,95.849,385.33,1454.82,2495.1
24.286,96.099,251.32,896.02,1659.2
24.536,89.599,273.18,987.18,1914.6
24.536,89.849,277.44,1004.91,1959.4
24.536,90.099,303.45,1113.38,2145.9
24.536,90.349,303.09,1111.89,2183.4
24.536,90.599,315.77,1164.77,2290.9
24.536,90.849,332.31,1233.73,2431.4
24.536,91.099,332.41,1234.13,2482.6
24.536,91.349,358.28,1342.04,2682.0
24.536,91.599,357.45,1338.55,2688.4
24.536,91.849,363.79,1365.0,2738.2
24.536,92.099,346.17,1291.52,2674.2
24.536,92.349,331.4,1229.92,2595.0
24.536,92.599,317.28,1171.06,2408.3
24.536,92.849,378.63,1426.87,2701.6
24.536,93.099,387.28,1462.94,2639.0
24.536,93.349,348.84,1302.67,2380.2
24.536,93.599,299.99,1098.95,2163.1
24.536,93.849,204.6,701.19,1443.3
24.536,94.099,214.51,742.49,1500.2
24.536,94.349,317.1,1170.3,2083.5
24.536,94.599,370.16,1391.57,2233.0
24.536,94.849,341.14,1270.57,2000.0
24.536,95.099,304.57,1118.07,1874.2
24.536,95.349,317.85,1173.45,2094.7
24.536,95.599,259.07,928.31,1686.8
24.536,95.849,311.74,1147.96,2094.9
24.536,96.099,329.58,1222.34,2022.7
24.786,89.599,278.77,1010.49,1948.3
24.786,89.849,291.43,1063.24,2061.1
24.786,90.099,315.81,1164.92,2216.3
24.786,90.349,352.8,1319.16,2484.4
24.786,90.599,362.55,1359.83,2559.3
24.786,90.849,382.59,1443.39,2732.0
24.786,91.099,421.35,1605.02,3031.7
24.786,91.349,447.18,1712.75,3208.6
24.786,91.599,476.96,1836.92,3405.0
24.786,91.849,468.76,1802.73,3369.9
24.786,92.099,440.32,1684.15,3214.7
24.786,92.349,413.56,1572.53,3030.6
24.786,92.599,418.11,1591.51,3049.8
24.786,92.849,375.87,1415.37,2785.2
24.786,93.099,396.18,1500.09,2761.2
24.786,93.349,391.82,1481.88,2742.5
24.786,93.599,322.16,1191.39,2257.9
24.786,93.849,207.23,712.17,1532.0
24.786,94.099,188.61,634.49,1314.3
24.786,94.349,264.45,950.77,1780.9
24.786,94.599,345.03,1286.79,2166.5
24.786,94.849,366.73,1377.26,2091.9
24.786,95.099,381.98,1440.84,2254.4
24.786,95.349,323.86,1198.51,1927.3
24.786,95.599,308.59,1134.82,1933.0
24.786,95.849,312.54,1151.27,1926.8
24.786,96.099,327.17,1212.31,2152.5
25.036,89.599,289.81,1056.49,2001.9
25.036,89.849,313.51,1155.33,2184.4
25.036,90.099,346.11,1291.26,2374.2
25.036,90.349,406.5,1543.12,2773.9
25.036,90.599,417.33,1588.26,2880.5
25.036,90.849,452.2,1733.66,3092.3
25.036,91.099,505.47,1955.79,3446.7
25.036,91.349,595.13,2329.69,3987.2
25.036,91.599,645.81,2541.02,4269.8
25.036,91.849,630.53,2477.3,4245.8
25.036,92.099,607.31,2380.49,4106.4
25.036,92.349,574.11,2242.02,3867.2
25.036,92.599,623.19,2446.68,4201.8
25.036,92.849,465.82,1790.48,3205.3
25.036,93.099,389.11,1470.61,2757.8
25.036,93.349,347.44,1296.82,2398.8
25.036,93.599,332.11,1232.91,2462.1
25.036,93.849,262.88,944.2,2064.0
25.036,94.099,199.62,680.41,1459.4
25.036,94.349,226.68,793.28,1624.7
25.036,94.599,324.27,1200.2,2130.3
25.036,94.849,438.88,1678.14,2609.2
25.036,95.099,404.75,1535.8,2323.7
25.036,95.349,416.56,1585.05,2574.6
25.036,95.599,342.88,1277.82,2120.3
25.036,95.849,456.78,1752.79,2955.7
25.036,96.099,308.73,1135.39,2007.1
25.286,89.599,312.79,1152.32,2166.7
25.286,89.849,312.47,1151.02,2162.7
25.286,90.099,329.6,1222.45,2274.8
25.286,90.349,434.99,1661.91,2900.9
25.286,90.599,442.95,1695.1,3030.3
25.286,90.849,437.96,1674.29,3026.3
25.286,91.099,442.51,1693.25,3000.0
25.286,91.349,648.59,2552.6,4154.2
25.286,91.599,805.94,3208.78,5035.8
25.286,91.849,837.28,3339.47,5340.6
25.286,92.099,719.7,2849.17,4500.3
25.286,92.349,650.29,2559.72,4309.0
25.286,92.599,378.3,1425.5,2675.4
25.286,92.849,280.66,1018.35,2078.8
25.286,93.099,245.65,872.36,1876.4
25.286,93.349,245.38,871.21,1964.2
25.286,93.599,213.72,739.21,1700.0
25.286,93.849,301.58,1105.57,2339.3
25.286,94.099,247.95,881.96,1894.2
25.286,94.349,212.53,734.24,1546.7
25.286,94.599,277.21,1003.96,1816.9
25.286,94.849,473.57,1822.79,3306.2
25.286,95.099,409.42,1555.3,2360.5
25.286,95.349,491.41,1897.19,2764.8
25.286,95.599,440.99,1686.94,2587.7
25.286,95.849,430.71,1644.04,2590.8
25.286,96.099,439.92,1682.48,2680.9
25.536,89.599,342.85,1277.67,2287.6
25.536,89.849,329.87,1223.55,2225.1
25.536,90.099,292.49,1067.69,2012.2
25.536,90.349,291.97,1065.53,2144.5
25.536,90.599,276.71,1001.9,2038.9
25.536,90.849,321.78,1189.81,2350.1
25.536,91.099,379.16,1429.1,2614.7
25.536,91.349,359.99,1349.15,2421.5
25.536,91.599,401.22,1521.09,2577.3
25.536,91.849,400.24,1517.02,2646.7
25.536,92.099,353.1,1320.42,2388.6
25.536,92.349,291.55,1063.78,2086.3
25.536,92.599,253.47,904.98,1879.1
25.536,92.849,262.22,941.44,1971.1
25.536,93.099,230.95,811.07,1766.0
25.536,93.349,209.57,721.9,1642.9
25.536,93.599,280.35,1017.07,2216.5
25.536,93.849,325.05,1203.44,2451.2
25.536,94.099,309.16,1137.18,2347.1
25.536,94.349,287.74,1047.87,2147.1
25.536,94.599,304.43,1117.49,1988.2
25.536,94.849,342.7,1277.05,2434.3
25.536,95.099,486.85,1878.18,2959.8
25.536,95.349,471.06,1812.32,2684.0
25.536,95.599,573.53,2239.61,3217.2
25.536,95.849,526.75,2044.54,3050.6
25.536,96.099,461.62,1772.96,2655.2
25.786,89.599,380.92,1436.44,2490.4
25.786,89.849,379.83,1431.9,2512.7
25.786,90.099,372.18,1400.01,2491.0
25.786,90.349,329.22,1220.85,2354.1
25.786,90.599,309.82,1139.95,2268.1
25.786,90.849,358.18,1341.6,2619.7
25.786,91.099,372.25,1400.26,2628.7
25.786,91.349,429.24,1637.95,2805.2
25.786,91.599,508.76,1969.54,3211.6
25.786,91.849,420.38,1600.98,2668.4
25.786,92.099,383.68,1447.96,2565.4
25.786,92.349,322.23,1191.72,2252.5
25.786,92.599,395.66,1497.9,2861.6
25.786,92.849,296.7,1085.24,2123.5
25.786,93.099,222.65,776.45,1650.5
25.786,93.349,244.61,868.03,1935.5
25.786,93.599,209.6,722.05,1653.1
25.786,93.849,271.37,979.62,1906.2
25.786,94.099,360.64,1351.88,2605.5
25.786,94.349,281.71,1022.73,2048.9
25.786,94.599,294.03,1074.1,2186.9
25.786,94.849,220.05,765.62,1320.4
25.786,95.099,498.76,1927.83,3379.2
25.786,95.349,615.64,2415.21,3713.6
25.786,95.599,599.58,2348.27,3447.4
25.786,95.849,597.89,2341.2,3251.8
25.786,96.099,551.41,2147.4,3352.0
26.036,89.599,455.12,1745.87,2905.1
26.036,89.849,464.6,1785.38,2999.5
26.036,90.099,454.93,1745.04,2966.5
26.036,90.349,438.65,1677.15,2907.1
26.036,90.599,441.07,1687.26,2960.5
26.036,90.849,432.3,1650.71,2934.7
26.036,91.099,431.81,1648.63,2876.6
26.036,91.349,475.28,1829.9,2925.6
26.036,91.599,447.27,1713.1,2707.8
26.036,91.849,427.62,1631.15,2497.3
26.036,92.099,458.05,1758.05,2680.8
26.036,92.349,462.1,1774.94,2767.2
26.036,92.599,399.28,1512.98,2388.5
26.036,92.849,344.47,1284.45,2235.9
26.036,93.099,295.76,1081.3,2026.1
26.036,93.349,293.29,1071.02,2170.2
26.036,93.599,251.2,895.5,2003.9
26.036,93.849,231.25,812.33,1865.2
26.036,94.099,239.27,845.77,1642.4
26.036,94.349,286.7,1043.55,2239.7
26.036,94.599,314.51,1159.49,2260.2
26.036,94.849,333.42,1238.36,2233.6
26.036,95.099,344.97,1286.54,1969.5
26.036,95.349,616.17,2417.42,3879.1
26.036,95.599,663.78,2615.98,4160.7
26.036,95.849,546.78,2128.08,2910.0
26.036,96.099,625.43,2456.02,4429.8
26.286,89.599,540.52,2101.98,3398.8
26.286,89.849,572.8,2236.59,3574.6
26.286,90.099,574.34,2243.0,3709.2
26.286,90.349,561.92,2191.19,3661.4
26.286,90.599,524.82,2036.48,3456.5
26.286,90.849,502.53,1943.55,3348.8
26.286,91.099,496.49,1918.37,3350.0
26.286,91.349,424.75,1619.22,2882.1
26.286,91.599,402.16,1525.02,2683.5
26.286,91.849,404.56,1535.01,2666.4
26.286,92.099,415.37,1580.09,2674.7
26.286,92.349,412.07,1566.33,2591.0
26.286,92.599,376.72,1418.91,2417.6
26.286,92.849,389.18,1470.88,2753.0
26.286,93.099,402.61,1526.88,2761.4
26.286,93.349,285.02,1036.52,2144.3
26.286,93.599,366.64,1376.89,2967.8
26.286,93.849,280.58,1018.02,2190.2
26.286,94.099,255.43,913.13,2049.8
26.286,94.349,304.34,1117.1,2186.4
26.286,94.599,312.64,1151.71,2418.9
26.286,94.849,373.41,1405.14,2759.5
26.286,95.099,321.73,1189.63,2307.3
26.286,95.349,445.69,1706.53,3445.2
26.286,95.599,540.68,2102.65,3361.1
26.286,95.849,578.63,2260.89,3225.0
26.286,96.099,551.43,2147.46,3195.5
26.536,89.599,659.2,2596.88,3828.1
26.536,89.849,712.48,2819.05,4038.7
26.536,90.099,699.15,2763.44,4117.8
26.536,90.349,687.12,2713.28,4044.5
26.536,90.599,675.17,2663.44,4102.6
26.536,90.849,621.34,2438.97,3924.0
26.536,91.099,580.28,2267.77,3728.3
26.536,91.349,519.43,2014.01,3406.4
26.536,91.599,479.84,1848.95,3153.8
26.536,91.849,427.62,1631.18,2869.0
26.536,92.099,412.37,1567.57,2716.0
26.536,92.349,409.91,1557.34,2741.5
26.536,92.599,424.51,1618.22,2913.5
26.536,92.849,449.85,1723.86,3087.9
26.536,93.099,411.88,1565.56,3110.1
26.536,93.349,392.45,1484.54,2966.1
26.536,93.599,481.52,1855.92,3555.9
26.536,93.849,430.53,1643.29,3206.6
26.536,94.099,358.74,1343.93,2719.2
26.536,94.349,302.42,1109.1,2362.7
26.536,94.599,376.29,1417.11,2895.1
26.536,94.849,313.56,1155.53,2428.0
26.536,95.099,357.83,1340.14,2672.3
26.536,95.349,353.42,1321.78,2559.7
26.536,95.599,450.4,1726.16,3115.1
26.536,95.849,531.02,2062.34,3931.9
26.536,96.099,519.45,2014.1,3195.5
26.786,89.599,727.25,2880.62,4007.4
26.786,89.849,724.14,2867.68,4055.2
26.786,90.099,733.7,2907.53,4221.4
26.786,90.349,748.83,2970.62,4115.9
26.786,90.599,766.75,3045.35,4274.1
26.786,90.849,710.73,2811.74,4290.5
26.786,91.099,639.3,2513.89,3812.9
26.786,91.349,613.2,2405.05,3625.4
26.786,91.599,523.4,2030.58,3221.9
26.786,91.849,458.14,1758.46,2798.9
26.786,92.099,456.91,1753.3,2949.0
26.786,92.349,471.71,1815.04,3053.3
26.786,92.599,468.87,1803.2,3151.4
26.786,92.849,479.37,1846.97,3310.8
26.786,93.099,428.72,1635.78,3050.6
26.786,93.349,410.72,1560.69,3099.0
26.786,93.599,402.62,1526.91,2881.2
26.786,93.849,464.71,1785.85,3317.5
26.786,94.099,404.0,1532.68,2954.9
26.786,94.349,370.92,1394.75,2794.9
26.786,94.599,362.69,1360.43,2967.3
26.786,94.849,400.45,1517.86,3238.5
26.786,95.099,336.18,1249.86,2467.7
26.786,95.349,335.51,1247.09,2672.0
26.786,95.599,455.99,1749.48,3708.0
26.786,95.849,339.1,1262.06,2289.8
26.786,96.099,505.2,1954.67,3716.7
27.036,89.599,752.81,2987.22,4196.7
27.036,89.849,561.25,2188.4,3729.4
27.036,90.099,580.02,2266.68,4061.7
27.036,90.349,727.32,2880.91,4595.2
27.036,90.599,674.59,2661.04,4253.3
27.036,90.849,672.79,2653.53,4329.9
27.036,91.099,608.88,2387.04,4051.3
27.036,91.349,514.77,1994.6,3251.1
27.036,91.599,564.99,2204.02,3727.0
27.036,91.849,599.44,2347.68,3888.6
27.036,92.099,524.63,2035.72,3504.0
27.036,92.349,466.81,1794.58,3124.8
27.036,92.599,448.92,1719.99,3033.7
27.036,92.849,422.64,1610.4,2847.8
27.036,93.099,459.18,1762.8,3254.7
27.036,93.349,413.82,1573.64,3048.1
27.036,93.599,382.88,1444.61,3053.9
27.036,93.849,402.19,1525.14,2980.7
27.036,94.099,395.24,1496.16,2979.3
27.036,94.349,391.67,1481.25,3004.8
27.036,94.599,417.14,1587.48,3239.9
27.036,94.849,394.23,1491.92,3000.1
27.036,95.099,298.46,1092.58,2273.5
27.036,95.349,386.31,1458.92,3161.1
27.036,95.599,393.84,1490.3,3059.1
27.036,95.849,431.11,1645.72,3488.0
27.036,96.099,415.08,1578.87,3004.4
27.286,89.599,363.49,1363.74,2045.4
27.286,89.849,424.74,1619.18,3392.6
27.286,90.099,472.77,1819.44,3374.5
27.286,90.349,556.06,2166.75,3490.2
27.286,90.599,567.69,2215.27,4109.0
27.286,90.849,598.46,2343.57,3853.2
27.286,91.099,516.78,2002.98,3657.0
27.286,91.349,542.76,2111.3,3960.6
27.286,91.599,465.39,1788.69,3096.1
27.286,91.849,454.87,1744.81,3094.2
27.286,92.099,422.35,1609.18,3094.5
27.286,92.349,349.34,1304.75,2406.8
27.286,92.599,612.13,2400.57,4906.1
27.286,92.849,590.43,2310.11,4714.4
27.286,93.099,390.56,1476.62,2896.6
27.286,93.349,453.51,1739.14,3605.1
27.286,93.599,439.19,1679.43,3572.1
27.286,93.849,415.61,1581.11,3447.9
27.286,94.099,375.92,1415.58,2906.2
27.286,94.349,420.07,1599.68,3115.0
27.286,94.599,403.84,1532.03,3058.6
27.286,94.849,412.45,1567.91,3233.0
27.286,95.099,434.21,1658.67,3541.6
27.286,95.349,367.56,1380.73,2882.3
27.286,95.599,363.04,1361.9,2824.9
27.286,95.849,355.41,1330.06,2603.0
27.286,96.099,394.24,1491.97,3039.0
27.536,89.599,289.98,1057.22,1900.7
27.536,89.849,263.32,946.06,1820.9
27.536,90.099,413.83,1573.66,2940.4
27.536,90.349,453.19,1737.81,2902.0
27.536,90.599,365.05,1370.25,2618.6
27.536,90.849,438.17,1675.19,2947.7
27.536,91.099,599.41,2347.54,6241.3
27.536,91.349,480.01,1849.63,3636.2
27.536,91.599,502.03,1941.47,4691.3
27.536,91.849,294.51,1076.1,2148.0
27.536,92.099,217.68,755.72,1462.2
27.536,92.349,404.98,1536.77,3003.3
27.536,92.599,485.24,1871.46,3843.5
27.536,92.849,804.75,3203.82,6890.9
27.536,93.099,513.71,1990.16,3965.8
27.536,93.349,654.85,2578.73,5254.3
27.536,93.599,438.92,1678.29,3928.1
27.536,93.849,450.56,1726.85,3608.5
27.536,94.099,585.14,2288.05,4926.4
