lat,lon,mfi,r_factor,mean_annual_rainfall_mm
23.733,92.871,250.41,892.21,1702.3
23.733,92.961,281.21,1020.64,1896.6
23.733,93.051,266.84,960.71,1832.4
23.733,93.141,251.83,898.13,1722.6
23.733,93.231,258.57,926.24,1775.5
23.733,93.321,232.59,817.91,1622.5
23.733,93.411,211.61,730.42,1412.3
23.733,93.501,229.88,806.59,1506.5
23.733,93.591,227.67,797.37,1532.9
23.733,93.681,219.75,764.36,1455.4
23.733,93.771,219.75,764.36,1455.4
23.733,93.861,252.8,902.18,1709.1
23.733,93.951,384.07,1449.59,2441.8
23.733,94.041,387.57,1464.15,2597.3
23.733,94.131,387.61,1464.31,2340.6
23.733,94.221,387.61,1464.31,2340.6
23.733,94.311,389.54,1472.4,2379.4
23.733,94.401,306.44,1125.84,1755.6
23.733,94.491,306.44,1125.84,1755.6
23.733,94.581,308.56,1134.69,1810.8
23.733,94.671,351.41,1313.38,2151.5
23.733,94.761,339.34,1263.05,2099.3
23.823,92.871,251.88,898.33,1745.7
23.823,92.961,278.29,1008.45,1917.7
23.823,93.051,259.36,929.52,1805.6
23.823,93.141,240.34,850.2,1654.3
23.823,93.231,250.68,893.33,1712.3
23.823,93.321,227.35,796.04,1589.4
23.823,93.411,204.19,699.46,1387.3
23.823,93.501,226.83,793.87,1496.6
23.823,93.591,229.26,804.02,1526.9
23.823,93.681,215.12,745.07,1441.8
23.823,93.771,219.87,764.86,1436.0
23.823,93.861,251.81,898.04,1695.3
23.823,93.951,368.68,1385.39,2536.3
23.823,94.041,385.96,1457.47,2307.7
23.823,94.131,362.98,1361.64,2184.0
23.823,94.221,362.98,1361.64,2184.0
23.823,94.311,371.66,1397.83,2262.4
23.823,94.401,362.58,1359.97,2095.9
23.823,94.491,321.36,1188.06,1860.2
23.823,94.581,293.66,1072.57,1729.2
23.823,94.671,340.22,1266.71,2069.1
23.823,94.761,362.01,1357.57,2197.8
23.913,92.871,250.3,891.74,1812.1
23.913,92.961,287.92,1048.61,1977.8
23.913,93.051,267.59,963.85,1839.2
23.913,93.141,258.91,927.64,1749.1
23.913,93.231,269.59,972.19,1831.8
