lat,lon,mfi,r_factor,mean_annual_rainfall_mm
24.929,89.714,298.64,1093.33,2069.7
24.929,89.804,313.48,1155.23,2173.9
24.929,89.894,320.27,1183.53,2230.0
24.929,89.984,326.2,1208.26,2276.2
24.929,90.074,329.39,1221.57,2310.4
24.929,90.164,352.24,1316.83,2466.3
24.929,90.254,357.19,1337.47,2482.2
24.929,90.344,360.05,1349.4,2503.1
24.929,90.434,373.56,1405.76,2605.9
24.929,90.524,379.08,1428.75,2652.6
24.929,90.614,398.7,1510.56,2792.5
24.929,90.704,421.35,1605.05,2946.2
24.929,90.794,423.58,1614.34,2969.9
24.929,90.884,450.4,1726.16,3129.7
24.929,90.974,464.01,1782.94,3218.1
24.929,91.064,473.31,1821.71,3299.3
24.929,91.154,518.94,2011.99,3585.2
24.929,91.244,534.6,2077.3,3683.6
24.929,91.334,549.02,2137.41,3785.6
24.929,91.424,589.9,2307.89,4029.3
24.929,91.514,603.77,2365.73,4134.2
24.929,91.604,592.75,2319.75,4080.7
24.929,91.694,585.96,2291.47,4074.8
24.929,91.784,585.96,2291.47,4074.8
24.929,91.874,598.58,2344.08,4165.3
24.929,91.964,595.54,2331.41,4163.7
24.929,92.054,569.56,2223.05,4013.0
24.929,92.144,517.11,2004.36,3635.6
24.929,92.234,534.08,2075.11,3710.5
24.929,92.324,540.0,2099.79,3727.8
24.929,92.414,473.58,1822.85,3330.1
24.929,92.504,456.27,1750.65,3210.8
24.929,92.594,453.48,1739.01,3229.8
24.929,92.684,433.31,1654.91,3150.0
24.929,92.774,437.03,1670.42,3143.3
24.929,92.864,437.08,1670.63,3130.2
25.019,89.714,307.03,1128.32,2114.5
25.019,89.804,315.9,1165.31,2191.8
25.019,89.894,324.94,1203.0,2252.2
25.019,89.984,329.36,1221.42,2271.4
25.019,90.074,335.2,1245.8,2317.2
25.019,90.164,358.43,1342.66,2471.1
25.019,90.254,370.03,1391.04,2543.9
25.019,90.344,382.77,1444.15,2641.1
25.019,90.434,396.18,1500.07,2743.9
25.019,90.524,407.73,1548.22,2833.6
25.019,90.614,411.75,1565.01,2871.4
25.019,90.704,419.51,1597.35,2935.6
25.019,90.794,418.93,1594.94,2925.7
25.019,90.884,456.93,1753.41,3154.6
25.019,90.974,469.77,1806.93,3248.9
25.019,91.064,479.77,1848.65,3327.4
25.019,91.154,536.11,2083.56,3674.5
25.019,91.244,555.16,2163.0,3787.4
25.019,91.334,560.85,2186.74,3838.8
25.019,91.424,593.5,2322.91,4038.7
25.019,91.514,613.2,2405.03,4160.9
25.019,91.604,619.03,2429.37,4218.3
25.019,91.694,628.39,2468.41,4283.4
25.019,91.784,616.55,2419.02,4210.1
25.019,91.874,619.1,2429.63,4223.2
25.019,91.964,607.01,2379.25,4183.5
25.019,92.054,592.4,2318.3,4138.5
25.019,92.144,543.83,2115.78,3741.9
25.019,92.234,555.1,2162.76,3755.4
25.019,92.324,558.54,2177.11,3779.2
25.019,92.414,506.17,1958.75,3515.6
25.019,92.504,504.8,1953.03,3499.9
25.019,92.594,528.38,2051.33,3648.5
25.019,92.684,495.61,1914.69,3468.2
25.019,92.774,466.93,1795.1,3280.7
25.019,92.864,446.42,1709.58,3129.9
25.109,89.714,297.94,1090.39,2094.9
25.109,89.804,312.23,1150.0,2170.1
25.109,89.894,324.29,1200.28,2232.1
25.109,89.984,338.17,1258.17,2322.5
25.109,90.074,359.66,1347.8,2461.5
25.109,90.164,383.51,1447.23,2617.3
25.109,90.254,392.96,1486.65,2677.6
25.109,90.344,402.81,1527.71,2758.7
25.109,90.434,416.24,1583.71,2861.5
25.109,90.524,438.03,1674.57,2988.9
25.109,90.614,419.77,1598.43,2874.9
25.109,90.704,415.68,1581.39,2846.8
25.109,90.794,439.24,1679.63,2982.5
25.109,90.884,519.1,2012.65,3477.3
25.109,90.974,532.8,2069.78,3573.8
25.109,91.064,529.34,2055.36,3524.4
25.109,91.154,591.37,2314.03,3878.8
25.109,91.244,618.9,2428.8,4059.9
25.109,91.334,625.38,2455.85,4118.2
25.109,91.424,658.7,2594.78,4296.9
25.109,91.514,680.22,2684.52,4433.9
25.109,91.604,695.7,2749.06,4555.7
25.109,91.694,705.45,2789.74,4620.8
25.109,91.784,700.8,2770.33,4628.1
25.109,91.874,687.57,2715.15,4574.9
25.109,91.964,669.4,2639.39,4484.1
25.109,92.054,683.16,2696.79,4561.2
25.109,92.144,666.47,2627.17,4375.6
25.109,92.234,588.42,2301.69,3899.4
25.109,92.324,655.38,2580.93,4432.8
25.109,92.414,596.65,2336.01,4026.8
25.109,92.504,577.24,2255.08,3836.8
25.109,92.594,640.73,2519.84,4299.8
25.109,92.684,430.73,1644.16,3175.4
25.109,92.774,438.08,1674.8,3079.0
25.109,92.864,465.82,1790.48,3205.3
25.199,89.714,291.66,1064.21,2053.2
25.199,89.804,310.54,1142.93,2152.1
25.199,89.894,320.98,1186.49,2203.3
25.199,89.984,335.65,1247.67,2295.6
25.199,90.074,344.72,1285.48,2373.4
25.199,90.164,372.57,1401.6,2559.6
25.199,90.254,389.93,1473.99,2667.7
25.199,90.344,400.54,1518.25,2721.4
25.199,90.434,411.46,1563.78,2824.9
25.199,90.524,436.24,1667.12,2964.5
25.199,90.614,427.69,1631.48,2939.9
25.199,90.704,417.18,1587.64,2888.9
25.199,90.794,441.67,1689.78,3024.3
25.199,90.884,498.55,1926.96,3313.3
25.199,90.974,512.99,1987.19,3368.2
25.199,91.064,511.26,1979.95,3305.5
25.199,91.154,565.16,2204.71,3615.7
25.199,91.244,590.57,2310.66,3803.1
25.199,91.334,643.93,2533.18,4132.0
25.199,91.424,731.04,2896.42,4569.9
25.199,91.514,696.2,2751.14,4411.8
25.199,91.604,748.84,2970.67,4674.3
25.199,91.694,777.04,3088.24,4915.1
25.199,91.784,819.94,3267.13,5227.4
25.199,91.874,837.28,3339.47,5340.6
25.199,91.964,801.84,3191.68,5118.8
25.199,92.054,797.65,3174.21,5086.9
