lat,lon,mfi,r_factor,mean_annual_rainfall_mm
21.841,92.157,411.83,1565.34,2328.6
21.841,92.247,420.43,1601.18,2388.1
21.841,92.337,410.21,1558.56,2287.5
21.841,92.427,403.67,1531.3,2239.1
21.841,92.517,406.95,1545.0,2261.2
21.841,92.607,412.52,1568.23,2348.5
21.841,92.697,356.56,1334.84,2041.3
21.841,92.787,355.38,1329.92,2033.1
21.841,92.877,387.66,1464.54,2149.5
21.841,92.967,412.41,1567.76,2240.4
21.841,93.057,433.4,1655.27,2380.0
21.841,93.147,569.9,2224.47,3021.9
21.841,93.237,569.9,2224.47,3021.9
21.841,93.327,562.5,2193.62,3048.7
21.841,93.417,520.43,2018.21,2793.7
21.841,93.507,446.77,1711.03,2485.7
21.931,92.157,394.44,1492.83,2270.7
21.931,92.247,403.74,1531.61,2306.0
21.931,92.337,407.41,1546.91,2282.2
21.931,92.427,384.94,1453.21,2205.5
21.931,92.517,366.3,1375.48,2117.4
21.931,92.607,380.17,1433.29,2226.0
21.931,92.697,375.7,1414.66,2130.5
21.931,92.787,361.23,1354.32,2044.7
21.931,92.877,408.51,1551.48,2258.1
21.931,92.967,444.53,1701.67,2406.9
21.931,93.057,465.84,1790.54,2570.3
21.931,93.147,504.07,1949.96,2704.8
21.931,93.237,510.95,1978.68,2801.7
21.931,93.327,534.75,2077.91,2951.9
21.931,93.417,440.78,1686.04,2436.8
21.931,93.507,382.18,1441.67,2170.3
22.021,92.157,362.99,1361.68,2162.2
22.021,92.247,371.9,1398.81,2190.6
22.021,92.337,375.52,1413.9,2156.4
22.021,92.427,360.83,1352.65,2114.6
22.021,92.517,358.73,1343.89,2124.0
22.021,92.607,371.65,1397.79,2205.0
22.021,92.697,380.16,1433.27,2190.4
22.021,92.787,337.29,1254.51,1936.4
22.021,92.877,398.72,1510.64,2217.2
22.021,92.967,453.49,1739.07,2460.5
22.021,93.057,461.33,1771.74,2639.5
22.021,93.147,454.92,1745.01,2511.4
22.021,93.237,447.42,1713.73,2501.2
22.021,93.327,415.15,1579.17,2369.8
22.021,93.417,372.85,1402.77,2161.6
22.021,93.507,368.5,1384.66,2111.1
22.111,92.157,371.48,1397.07,2227.1
22.111,92.247,355.39,1330.0,2112.7
22.111,92.337,369.78,1389.96,2153.1
22.111,92.427,372.27,1400.36,2224.1
22.111,92.517,374.29,1408.77,2231.2
22.111,92.607,368.63,1385.18,2181.2
22.111,92.697,374.7,1410.48,2175.8
22.111,92.787,326.7,1210.35,1900.4
22.111,92.877,379.51,1430.55,2128.4
22.111,92.967,455.24,1746.34,2596.9
22.111,93.057,451.25,1729.72,2593.9
22.111,93.147,431.01,1645.3,2414.7
22.111,93.237,424.61,1618.62,2381.9
22.111,93.327,393.96,1490.81,2255.2
22.111,93.417,372.85,1402.77,2161.6
22.111,93.507,364.33,1367.27,2113.0
22.201,92.157,360.04,1349.38,2184.5
22.201,92.247,351.0,1311.66,2112.3
22.201,92.337,368.48,1384.55,2178.4
22.201,92.427,367.6,1380.87,2186.5
22.201,92.517,360.27,1350.31,2134.8
22.201,92.607,361.77,1356.58,2128.6
22.201,92.697,358.82,1344.28,2096.2
22.201,92.787,328.43,1217.57,1901.1
22.201,92.877,371.85,1398.6,2107.5
22.201,92.967,430.1,1641.51,2543.7
22.201,93.057,444.59,1701.93,2559.2
22.201,93.147,392.39,1484.26,2239.6
22.201,93.237,393.83,1490.26,2224.2
22.201,93.327,379.51,1430.56,2164.0
22.201,93.417,372.14,1399.81,2153.4
22.201,93.507,334.77,1244.01,1940.2
22.291,92.157,366.4,1375.89,2243.3
22.291,92.247,350.26,1308.6,2112.1
22.291,92.337,369.63,1389.37,2190.0
22.291,92.427,356.04,1332.7,2132.7
22.291,92.517,341.41,1271.69,2056.0
22.291,92.607,362.56,1359.86,2160.8
22.291,92.697,373.18,1404.16,2188.4
22.291,92.787,351.67,1314.46,2035.1
22.291,92.877,402.96,1528.33,2345.4
