lat,lon,mfi,r_factor,mean_annual_rainfall_mm
25.099,94.307,209.58,721.96,1504.3
25.099,94.397,249.16,886.98,1725.0
25.099,94.487,249.16,886.98,1725.0
25.099,94.577,286.11,1041.07,1938.6
25.099,94.667,366.69,1377.09,2381.0
25.099,94.757,455.97,1749.4,3147.5
25.099,94.847,458.92,1761.71,2741.6
25.099,94.937,436.78,1669.39,2472.1
25.099,95.027,389.29,1471.33,2184.5
25.099,95.117,400.53,1518.22,2255.6
25.099,95.207,428.41,1634.46,2521.4
25.099,95.297,416.56,1585.05,2574.6
25.189,93.227,256.67,918.3,2005.0
25.189,93.317,274.99,994.71,2087.8
25.189,93.407,324.85,1202.61,2310.0
25.189,93.497,318.63,1176.69,2332.5
25.189,93.587,223.58,780.33,1742.7
25.189,93.677,219.47,763.18,1670.4
25.189,93.767,252.32,900.17,1898.3
25.189,93.857,265.04,953.23,2079.6
25.189,93.947,260.73,935.24,2031.0
25.189,94.037,260.73,935.24,2031.0
25.189,94.127,273.77,989.63,1932.8
25.189,94.217,256.11,915.96,1843.7
25.189,94.307,236.42,833.86,1732.4
25.189,94.397,221.74,772.64,1548.4
25.189,94.487,245.61,872.18,1677.7
25.189,94.577,290.09,1057.66,1936.5
25.189,94.667,355.39,1329.97,2464.8
25.189,94.757,447.09,1712.37,3172.1
25.189,94.847,509.53,1972.76,3585.2
25.189,94.937,458.31,1759.17,2725.0
25.189,95.027,422.57,1610.12,2413.2
25.189,95.117,399.72,1514.84,2284.0
25.189,95.207,448.8,1719.49,2492.6
25.189,95.297,444.58,1701.89,2575.1
25.279,93.227,231.2,812.1,1796.8
25.279,93.317,260.0,932.19,2051.8
25.279,93.407,249.29,887.52,2007.7
25.279,93.497,250.66,893.25,2059.1
25.279,93.587,213.72,739.21,1700.0
25.279,93.677,213.08,736.55,1637.0
25.279,93.767,285.48,1038.45,2139.5
25.279,93.857,301.58,1105.57,2339.3
25.279,93.947,303.29,1112.71,2383.3
25.279,94.037,247.95,881.96,1894.2
25.279,94.127,252.42,900.58,1854.0
25.279,94.217,249.94,890.26,1803.2
25.279,94.307,245.53,871.86,1762.0
25.279,94.397,224.31,783.36,1513.2
25.279,94.487,242.08,857.47,1598.2
25.279,94.577,277.21,1003.96,1816.9
25.279,94.667,357.95,1340.66,2433.5
25.279,94.757,395.89,1498.87,2737.5
25.279,94.847,473.57,1822.79,3306.2
25.279,94.937,480.91,1853.39,3230.6
25.279,95.027,439.81,1682.01,2568.2
25.279,95.117,409.42,1555.3,2360.5
25.279,95.207,421.52,1605.72,2336.9
25.279,95.297,421.52,1605.72,2336.9
25.369,93.227,228.88,802.44,1742.6
25.369,93.317,239.39,846.27,1827.3
25.369,93.407,255.66,914.11,1986.5
25.369,93.497,222.45,775.6,1841.9
25.369,93.587,235.52,830.14,1922.0
25.369,93.677,214.99,744.51,1691.6
25.369,93.767,214.99,744.51,1691.6
25.369,93.857,281.49,1021.81,2174.2
25.369,93.947,265.0,953.05,2116.4
25.369,94.037,265.0,953.05,2116.4
25.369,94.127,223.56,780.25,1676.8
25.369,94.217,234.35,825.22,1678.0
25.369,94.307,254.69,910.04,1807.8
