Longitude,Latitude,Distance_To_Road_M
88.304440,27.134874,5.3
88.554003,27.231970,6.5
88.187334,27.242819,3.2
88.239471,27.345540,8.8
88.286042,27.283130,10.3
88.408262,27.300158,0.7
88.856981,27.294336,9.9
88.456954,27.112593,26.0
88.436299,27.198470,9.2
88.316052,27.403555,5.5
88.247243,27.242139,8.5
88.526773,27.284974,11.9
88.677186,27.204342,7.5
88.532003,27.421928,2.9
88.612181,27.287363,3.6
88.345267,27.128364,20.5
88.459347,27.993062,8.1
88.754606,27.232068,10.5
88.611178,27.341119,6.9
88.553760,27.519760,15.3
88.252079,27.201871,2.5
88.762055,27.376548,8.8
88.468423,27.243166,0.7
88.210170,27.323591,4.9
88.687719,27.203139,25.7
88.263379,27.242439,1.9
88.322422,27.146800,2.1
88.145814,27.125697,18.6
88.453244,27.233844,10.6
88.283710,27.147033,11.7
88.503180,27.346274,0.5
88.432838,27.176940,11.5
88.170418,27.123561,16.9
88.807815,28.008703,12.8
88.786958,27.422763,3.5
88.841222,27.313817,5.4
88.482014,28.018565,1.7
88.413861,27.171988,5.8
88.885793,27.320287,7.2
88.652021,27.368645,0.5
88.608055,27.325616,11.8
88.751574,27.688522,4.7
88.594208,27.269941,8.7
88.347393,27.391125,0.9
88.473517,28.002310,1.8
88.483683,27.171893,13.6
88.280287,27.312947,1.5
88.350958,27.156151,15.8
88.444766,27.329530,0.7
88.745878,27.681841,15.3
88.817422,27.380791,0.5
88.831523,27.295943,6.3
88.341812,27.251385,9.9
88.179900,27.322618,30.7
88.329495,27.308220,13.3
88.213019,27.260931,1.5
88.711571,27.352450,3.7
88.620689,27.327074,2.1
88.256467,27.255501,6.5
88.216308,27.368321,144.2
88.363852,27.165411,0.6
88.692596,27.867617,3.2
88.821498,27.382999,0.8
88.329052,27.188061,3.1
88.605118,27.416506,7.6
88.619933,28.058267,6.3
88.396364,27.226207,18.9
88.103642,27.271982,1.9
88.522165,27.414375,15.6
88.472108,27.332415,2.6
88.842501,27.310901,0.9
88.719304,28.038155,6.4
88.286377,27.340092,3.9
88.427155,27.101990,2.9
88.194610,27.266721,9.9
88.408565,27.259208,4.2
88.258943,27.242664,8.1
88.268197,27.306128,5.0
88.191207,27.149410,2.0
88.486016,27.200537,4.9
88.428334,27.295380,1.5
88.279106,27.268456,73.6
88.601042,27.372867,12.5
88.360052,27.327425,2.6
88.432696,27.140315,4.1
88.309137,27.143615,0.6
88.467341,27.272210,1.0
88.437169,27.212597,215.7
88.746315,27.373160,22.9
88.454190,27.962356,6.5
88.393858,27.173359,6.3
88.434362,27.117078,1.3
88.438292,27.354160,68.6
88.770678,27.682712,1.1
88.582597,27.370792,0.5
88.378012,27.184409,0.5
88.347408,27.244891,7.0
88.316012,27.279515,2.5
88.115789,27.172901,3.9
88.670596,27.234921,10.0
88.509297,27.430874,5.3
88.615061,27.257484,10.7
88.903496,27.291661,7.6
88.473733,27.160323,9.5
88.724926,28.024904,19.9
88.503320,27.246319,12.9
88.666652,27.213531,2.1
88.203859,27.364796,0.5
88.500532,27.228860,8.0
88.197218,27.170836,1.4
88.434762,27.102017,15.1
88.794876,28.018150,1.4
88.787474,27.257538,3.4
88.360500,27.306803,1.9
88.604950,27.665051,6.8
88.235147,27.184209,4.4
88.096938,27.295293,2.7
88.298620,27.289429,0.5
88.154410,27.165641,33.8
88.615003,27.280450,4.4
88.287213,27.141539,16.7
88.416848,27.272034,15.3
88.449291,27.182815,17.5
88.492502,27.224583,1.3
88.701130,27.244605,12.9
88.623238,27.193783,1.6
88.545975,27.856647,24.5
88.493392,27.483477,2.7
88.416398,27.283235,5.7
88.317394,27.122421,16.4
88.568745,27.331135,35.7
88.447114,27.241392,2.9
88.198945,27.177454,7.4
88.213644,27.227411,64.4
88.331088,27.112164,15.3
88.367343,27.149262,15.3
88.390635,27.274625,4.2
88.538625,27.757607,15.0
88.813232,27.294774,19.4
88.455717,27.224662,5.3
88.631942,27.301222,0.5
88.661285,27.221448,22.2
88.529515,27.514638,10.9
88.455172,27.274222,3.4
88.521879,27.372156,15.9
88.893094,27.291848,5.3
88.427321,27.247021,29.3
88.851216,27.301453,14.1
88.568554,27.271890,0.8
88.528446,27.447354,5.9
88.537027,27.500505,11.4
88.281010,27.224598,10.1
88.534893,27.179527,23.6
88.537996,27.886251,117.4
88.605597,27.294229,0.8
88.287394,27.129854,2.8
88.155848,27.271525,5.5
88.525547,27.524229,2.8
88.433632,27.246509,38.6
88.337474,27.117406,5.9
88.413046,27.307077,4.1
88.443715,27.948012,10.9
88.429158,27.265767,25.6
88.152133,27.268584,9.5
88.611629,27.193468,0.5
88.321399,27.385578,17.7
88.218612,27.254918,10.7
88.531381,27.444308,0.9
88.570645,27.412377,1.1
88.218066,27.288904,13.7
88.777495,27.424032,6.6
88.441495,27.152098,3.4
88.360524,27.306719,1.8
88.721335,28.024703,28.3
88.264040,27.309358,4.1
88.272473,27.356627,24.7
88.326157,27.239728,4.2
88.436532,27.156066,4.6
88.431662,27.191493,16.3
88.435708,27.235163,4.0
88.203181,27.191176,0.5
88.150160,27.125653,3.3
88.474088,27.360072,3.2
88.562324,27.216383,11.5
88.287284,27.318125,4.3
88.096627,27.151217,21.6
88.871340,27.297954,17.0
88.472272,27.169640,12.6
88.309993,27.212123,25.1
88.508752,27.256804,4.1
88.673845,28.037029,17.3
88.235993,27.187616,1.2
88.734695,27.746860,0.5
88.483572,27.168242,7.3
88.524170,27.458820,1.3
88.231991,27.139750,18.6
88.255205,27.296944,4.2
88.586896,27.392796,2.0
88.466496,27.250910,2.0
88.307736,27.306802,81.4
88.838812,27.328846,1.2
88.615725,27.268164,8.5
88.413924,27.149419,8.9
88.634180,27.421498,29.9
88.307270,27.406594,4.3
88.247813,27.288997,1.3
88.596124,27.543039,0.7
88.310745,27.171330,30.3
88.135642,27.256535,1.2
88.490149,27.343758,5.4
88.415740,27.138055,11.4
88.654893,27.216659,15.6
88.464289,27.181817,6.2
88.431598,27.280754,8.9
88.718879,27.204027,17.5
88.433433,27.300014,21.7
88.457516,27.335398,10.0
88.334910,27.382889,2.1
88.363506,27.376227,1.0
88.136949,27.238429,2.3
88.733857,27.225636,16.5
88.201844,27.168855,2.2
88.691424,27.625608,6.7
88.415441,27.307050,2.4
88.161572,27.116730,1.4
88.310764,27.147633,1.5
88.246761,27.230597,9.4
88.613901,27.246724,9.0
88.635674,27.183706,12.5
88.297097,27.167651,3.1
88.836128,27.324949,38.8
88.435307,27.155254,0.9
88.474756,27.359105,0.7
88.388992,27.199171,6.9
88.498314,27.230090,2.2
88.613300,27.326332,4.7
88.346865,27.121456,3.5
88.142887,27.124667,6.8
88.591776,27.289493,9.4
88.618245,28.037193,6.0
88.147832,27.142618,6.0
88.141310,27.126812,2.5
88.298501,27.174611,10.6
88.430958,27.095307,4.3
88.283651,27.222964,7.7
88.537146,27.229725,601.8
88.276153,27.162811,4.1
88.542760,27.392448,9.7
88.288089,27.286074,6.8
88.553584,27.519538,1.9
88.439118,27.326899,13.3
88.203340,27.157255,13.2
88.567971,28.071105,0.5
