sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label
S-0000,28.16616458237605,88.44488308018116,1459.699776580968,13.188363323646893,164.35703627785878,0.2714340832188147,phyllite,forest,3055.9744663203164,0
S-0001,27.71154795737954,88.5780271767112,1853.291577095127,5.904619348716524,125.5898347367031,0.45891475421695016,quartzite,agriculture,3256.0837915746943,0
S-0002,27.226169163614763,88.13898077921993,1787.53107594617,6.02855163186196,132.83587918812418,0.34482877024480507,quartzite,forest,2713.902217369538,0
S-0003,27.54046312547468,88.69178274272589,2014.042709339355,34.685118279027456,279.8435259105043,0.850261809647726,schist,agriculture,3073.520918167525,1
S-0004,27.24224070193145,88.23824053955758,1518.0232499865017,3.8243035379909482,116.60445457894383,0.22858194063540085,quartzite,scrub,3364.5267943506847,0
S-0005,27.18432219904531,88.85436417070834,1670.7097366702722,12.605296737986224,196.91560352815856,0.34047369883425965,gneiss,forest,2156.7256755153835,0
S-0006,28.010585586620245,88.80080151988588,1667.561725934041,24.773829329740742,11.53569217614379,0.43327185229172466,gneiss,agriculture,3253.42748115025,0
S-0007,28.08312287585261,88.53499029738082,2314.6056870575344,27.914639580568924,184.58354314804006,0.9857590321096704,alluvium,forest,2669.4415586725804,1
S-0008,28.170746821964105,88.60501608373583,916.6707795343513,51.20661655528167,269.9940736566967,0.8166651083627388,phyllite,forest,2879.91532135926,1
S-0009,28.00497089254533,88.21667776409285,2236.441384377332,18.53963683975769,102.64406414946795,0.5815239284021829,alluvium,agriculture,3114.99308175421,0
S-0010,28.13861172840694,88.73302648842784,1543.4157951355514,23.192790718728197,47.13167237273966,0.20840697129169966,gneiss,agriculture,2441.002811658135,0
S-0011,27.682489435143474,88.60989280625158,1168.3808615976286,47.35547125465149,106.69034052401938,0.5376359203917569,phyllite,built-up,3330.803947515726,1
S-0012,27.24698375161561,88.54566945837345,975.4700146609737,4.517626001876486,274.9838642238089,0.755597766091908,alluvium,forest,2833.0872807452756,0
S-0013,27.965717228996162,88.16134147734196,1693.1413167798005,43.80777095329797,307.2040816118614,0.5359792944307025,phyllite,scrub,3364.39303076035,1
S-0014,27.68093773625919,88.28246209490048,1975.8982329177281,15.317548212780494,234.28605229838521,0.560132279046945,quartzite,agriculture,2128.355828950513,0
S-0015,27.61890681154566,88.5013016036933,2787.3032750132156,6.053553462347649,227.64781827586845,0.24586043566278964,gneiss,agriculture,3049.673708987813,0
S-0016,27.60691477769129,88.36184301834136,1527.8578107398725,0.0,186.90020456915573,0.6167481360079733,quartzite,agriculture,2419.7855171257033,0
S-0017,27.092923302312524,88.76305318050129,1723.9737804259373,12.93035278651416,124.13925338358163,0.297271289728506,alluvium,agriculture,3348.9369371466073,0
S-0018,27.526693752366057,88.7015297866942,1933.0498808132227,26.23385280570698,165.87705788624385,0.6958026315204673,schist,barren,3586.9865091700044,1
S-0019,27.04307866320883,88.11454857849614,1851.5243341884325,14.936763877014108,92.8418432932059,0.42017296743644855,phyllite,built-up,2858.2059221342383,0
S-0020,27.668438582809532,88.57057760051298,1828.205885593718,44.68326018107997,194.70838930018243,0.7325846792215787,schist,barren,2948.6061079452843,1
S-0021,27.695063482730276,88.12948473967403,2298.388048328479,43.56533442751263,37.08096628685716,0.7196586739069216,alluvium,agriculture,3267.882618057125,1
S-0022,27.80742407362187,88.1917674409591,1648.8019962477201,0.37283750846798114,309.43108505135706,0.16750944270658924,phyllite,agriculture,3172.151143049157,0
S-0023,27.521711696170854,88.00387519810091,1129.7348922493918,20.838630312124238,161.37084763934777,0.400256355130612,schist,scrub,2491.5079335061446,0
