sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
NEG-0000,27.134874,88.30444,701.0,29.87,226.43,0.0706,,forest,3665.0,0,,,,,-0.002998,251.1,40.93
NEG-0001,27.23197,88.554003,1694.8,21.72,259.28,0.0,,forest,5055.7,0,,,,,0.005567,740.0,29.16
NEG-0002,27.242819,88.187334,1796.0,12.03,258.62,0.2,,forest,5986.7,0,,,,,-0.008905,41.6,17.74
NEG-0003,27.34554,88.239471,1431.0,25.62,298.1,0.0,,forest,4580.6,0,,,,,-0.00348,352.7,34.71
NEG-0004,27.28313,88.286042,889.8,21.42,305.36,0.0,,forest,4405.3,0,,,,,0.000117,666.3,28.32
NEG-0005,27.300158,88.408262,1688.1,11.34,76.77,0.0,,grassland,6008.9,0,,,,,-0.004821,1175.5,15.42
NEG-0006,27.294336,88.856981,3966.2,24.96,149.96,0.0,,moss/lichen,3479.1,0,,,,,-0.005706,893.8,33.73
NEG-0007,27.112593,88.456954,610.7,46.98,127.35,0.2,,forest,3743.1,0,,,,,-0.003504,117.6,77.24
NEG-0008,27.19847,88.436299,1497.3,28.09,163.43,0.0,,forest,4798.9,0,,,,,-0.005623,412.5,39.79
NEG-0009,27.403555,88.316052,2097.3,25.02,165.64,0.0,,grassland,6311.6,0,,,,,-0.002239,758.4,33.42
NEG-0010,27.242139,88.247243,1187.6,20.47,321.94,0.2,,forest,4867.2,0,,,,,-0.001511,205.7,27.1
NEG-0011,27.284974,88.526773,1619.1,15.0,116.27,0.0,,forest,5758.9,0,,,,,-0.008473,663.0,20.31
NEG-0012,27.204342,88.677186,957.2,33.52,39.91,0.0,,forest,3895.5,0,,,,,0.013526,382.0,48.7
NEG-0013,27.421928,88.532003,1455.7,21.56,314.86,0.0,,forest,6698.0,0,,,,,3.3e-05,293.9,28.61
NEG-0014,27.287363,88.612181,1028.0,21.73,321.34,0.0,,forest,5206.7,0,,,,,0.008637,316.5,30.39
NEG-0015,27.128364,88.345267,1053.4,23.65,102.92,0.0,,grassland,3936.4,0,,,,,0.00131,686.1,31.21
NEG-0016,27.993062,88.459347,4855.0,12.97,212.97,0.0706,,moss/lichen,1294.4,0,,,,,-0.000277,251.1,16.69
NEG-0017,27.232068,88.754606,1706.7,28.4,111.45,0.0706,,forest,4278.9,0,,,,,-0.004286,251.1,39.34
NEG-0018,27.341119,88.611178,1684.6,24.57,277.76,0.0,,forest,5674.7,0,,,,,-0.007199,605.8,33.96
NEG-0019,27.51976,88.55376,1246.2,11.94,5.93,0.0,,forest,7912.4,0,,,,,-0.000945,352.7,15.34
NEG-0020,27.201871,88.252079,1519.2,36.77,78.45,0.0,,forest,4718.3,0,,,,,0.009121,758.4,55.02
NEG-0021,27.376548,88.762055,3752.0,7.81,189.7,0.2,,grassland,3563.1,0,,,,,0.006985,149.8,12.4
NEG-0022,27.243166,88.468423,578.1,29.57,33.79,0.0,,forest,5528.1,0,,,,,-0.006298,447.6,40.91
NEG-0023,27.323591,88.21017,1665.5,26.43,166.17,0.0,,forest,4914.0,0,,,,,0.009404,884.1,36.87
NEG-0024,27.203139,88.687719,830.0,24.83,34.25,0.2941,,forest,4029.6,0,,,,,-0.01586,106.0,35.34
NEG-0025,27.242439,88.263379,1405.6,17.49,289.16,0.0,,forest,4564.8,0,,,,,-0.00763,368.2,23.84
NEG-0026,27.1468,88.322422,1224.3,27.13,162.87,0.0,,grassland,3860.3,0,,,,,-0.013717,352.7,39.44
NEG-0027,27.125697,88.145814,1490.6,36.77,178.88,0.0,,forest,5449.4,0,,,,,0.012104,735.3,55.62
NEG-0028,27.233844,88.453244,939.5,25.92,312.85,0.2353,,forest,5370.8,0,,,,,-0.00156,146.9,35.29
NEG-0029,27.147033,88.28371,339.6,13.96,304.6,0.2824,,forest,3554.0,0,,,,,-0.002075,29.4,18.28
NEG-0030,27.346274,88.50318,1520.1,30.55,219.62,0.1176,,forest,6703.8,0,,,,,-0.003476,185.9,43.3
NEG-0031,27.17694,88.432838,1717.3,28.06,7.75,0.0,,forest,4442.8,0,,,,,-0.005871,825.0,38.87
NEG-0033,28.008703,88.807815,5430.6,10.55,10.7,0.2118,,moss/lichen,734.5,0,,,,,0.002471,185.9,13.44
NEG-0034,27.422763,88.786958,4085.4,19.13,289.8,0.2,,grassland,3513.0,0,,,,,0.002588,0.0,24.95
NEG-0035,27.313817,88.841222,4113.7,18.01,226.65,0.0,,grassland,3501.3,0,,,,,-0.004084,764.1,23.4
NEG-0036,28.018565,88.482014,5213.2,13.44,109.72,0.0,,moss/lichen,1294.4,0,,,,,0.002172,328.6,17.39
NEG-0037,27.171988,88.413861,1777.8,17.29,48.57,0.0,,forest,4381.9,0,,,,,-0.007297,603.0,24.71
NEG-0038,27.320287,88.885793,4221.7,10.55,352.59,0.0824,,grassland,3242.6,0,,,,,-0.004398,166.2,14.2
NEG-0039,27.368645,88.652021,2518.8,25.64,152.82,0.0,,grassland,5219.0,0,,,,,0.002212,492.6,35.04
NEG-0040,27.325616,88.608055,1436.6,24.75,260.76,0.0,,built-up,5631.4,0,,,,,0.000236,676.6,33.58
NEG-0041,27.688522,88.751574,2830.7,18.77,256.6,0.0,,grassland,2116.1,0,,,,,-0.00099,567.6,24.88
NEG-0042,27.269941,88.594208,837.9,27.87,356.43,0.0588,,forest,5227.8,0,,,,,0.003494,249.4,39.12
NEG-0043,27.391125,88.347393,1979.9,39.87,214.53,0.0,,forest,6709.5,0,,,,,-0.002279,872.3,60.11
NEG-0044,28.00231,88.473517,5105.7,18.4,150.6,0.0,,moss/lichen,1294.4,0,,,,,0.000375,665.0,23.83
NEG-0045,27.171893,88.483683,1177.2,30.18,337.4,0.0,,forest,4185.4,0,,,,,-0.020533,457.2,45.57
NEG-0046,27.312947,88.280287,739.2,36.75,119.68,0.2,,grassland,4354.3,0,,,,,0.005581,58.8,54.21
NEG-0047,27.156151,88.350958,1432.8,31.61,120.31,0.0,,forest,4123.6,0,,,,,-0.004455,587.8,44.47
NEG-0048,27.32953,88.444766,1154.4,27.42,128.46,0.2,,forest,7179.1,0,,,,,0.016947,117.6,39.62
NEG-0049,27.681841,88.745878,2697.9,33.07,321.25,0.0353,,forest,2192.5,0,,,,,0.004011,278.8,47.1
NEG-0050,27.380791,88.817422,4000.1,19.95,160.29,0.2353,,grassland,3494.1,0,,,,,-6.9e-05,58.8,25.94
NEG-0051,27.295943,88.831523,3873.6,22.0,299.67,0.0,,grassland,3612.7,0,,,,,0.000892,444.7,29.23
NEG-0052,27.251385,88.341812,1469.9,31.33,211.13,0.0471,,forest,4419.4,0,,,,,0.009934,270.9,45.14
NEG-0053,27.322618,88.1799,1673.9,26.19,171.69,0.0353,,forest,4997.1,0,,,,,0.001436,178.8,35.78
NEG-0054,27.30822,88.329495,1261.4,23.01,298.76,0.0,,grassland,4780.8,0,,,,,0.003154,554.5,31.32
