segment_id,osm_id,highway,name,ref,elevation,slope,curvature,distance_to_drainage,land_cover_class,susceptibility_score,risk_tier,model_version
44848664_00_000,44848664,trunk,,NH10,325.1991271972656,32.07967758178711,-0.0671512633562088,123.70802350161468,tree_cover,0.6615554306509023,high,random_forest-extended-v1-20260902
44848699_00_000,44848699,primary,,SH,616.32373046875,37.75436782836914,0.013108639046549797,120.22258900738453,tree_cover,0.5934481402397112,moderate,random_forest-extended-v1-20260902
44848699_00_001,44848699,primary,,SH,629.9442138671875,39.03540802001953,-0.05616757646203041,116.63304307356871,tree_cover,0.5996256839420764,high,random_forest-extended-v1-20260902
44848699_00_002,44848699,primary,,SH,645.760986328125,39.06930923461914,-0.033209510147571564,130.39970636758034,tree_cover,0.576900404302398,moderate,random_forest-extended-v1-20260902
44848699_00_003,44848699,primary,,SH,662.9812622070312,38.0521240234375,-0.031127633526921272,184.41303327450134,tree_cover,0.5649895883149532,moderate,random_forest-extended-v1-20260902
44848704_00_000,44848704,trunk,,NH710,345.96470642089844,32.71876525878906,-0.023467766121029854,195.5995595513705,tree_cover,0.6260194905967124,high,random_forest-extended-v1-20260902
44848704_00_001,44848704,trunk,,NH710,356.1754913330078,33.360572814941406,0.06967464089393616,145.79130384196088,tree_cover,0.6484255783922007,high,random_forest-extended-v1-20260902
44848705_00_000,44848705,primary,,SH,361.5667724609375,23.230470657348633,-0.06516989320516586,145.79130384196088,tree_cover,0.31466967722268496,low,random_forest-extended-v1-20260902
44848706_00_000,44848706,trunk,,NH710,348.71022033691406,31.649044036865234,-0.043593764305114746,145.79130384196088,tree_cover,0.6348714591121881,high,random_forest-extended-v1-20260902
44848706_00_001,44848706,trunk,,NH710,334.7930908203125,29.2113094329834,-0.03234804421663284,157.02203972719624,tree_cover,0.5420792180713114,moderate,random_forest-extended-v1-20260902
44848706_00_002,44848706,trunk,,NH710,333.69482421875,27.319387435913086,-0.016493482515215874,123.70802350161468,tree_cover,0.5340560260184982,moderate,random_forest-extended-v1-20260902
44848708_00_000,44848708,trunk,,NH710,340.72515869140625,27.337350845336914,-0.01806565746665001,157.02203972719624,tree_cover,0.5187216877363452,moderate,random_forest-extended-v1-20260902
44848708_00_001,44848708,trunk,,NH710,333.84381103515625,24.96579933166504,-0.04466700553894043,195.5995595513705,tree_cover,0.35186193382786696,low,random_forest-extended-v1-20260902
44848708_00_002,44848708,trunk,,NH710,326.8732604980469,23.016252517700195,-0.04466700553894043,157.02203972719624,tree_cover,0.2781856967493552,low,random_forest-extended-v1-20260902
44848708_00_003,44848708,trunk,,NH710,334.67315673828125,22.171710968017578,0.013241448439657688,157.02203972719624,tree_cover,0.2679119471305198,low,random_forest-extended-v1-20260902
44848708_00_004,44848708,trunk,,NH710,306.28968811035156,21.381134033203125,-0.04344659298658371,145.79130384196088,tree_cover,0.2660109606010393,low,random_forest-extended-v1-20260902
44848709_00_000,44848709,trunk,,NH710,398.341064453125,24.932022094726562,0.01921427808701992,204.10782537874525,tree_cover,0.3417784469543152,low,random_forest-extended-v1-20260902
44848709_00_001,44848709,trunk,,NH710,499.73095703125,28.432373046875,0.015154620632529259,222.06269817368786,tree_cover,0.4593717008394346,moderate,random_forest-extended-v1-20260902
44848710_00_000,44848710,primary,,SH,343.875,24.19178581237793,0.0030546144116669893,170.02041587784976,tree_cover,0.31716399774592235,low,random_forest-extended-v1-20260902
44848710_00_001,44848710,primary,,SH,343.8555450439453,25.353946685791016,-0.0167878158390522,184.41303327450134,tree_cover,0.39274052639817714,low,random_forest-extended-v1-20260902
44848710_00_002,44848710,primary,,SH,358.7129211425781,24.72374153137207,0.019289657473564148,204.10782537874525,tree_cover,0.3288245253646174,low,random_forest-extended-v1-20260902
44848710_00_003,44848710,primary,,SH,380.93406677246094,25.518177032470703,0.03146862983703613,152.85029018382744,tree_cover,0.45641154156944275,moderate,random_forest-extended-v1-20260902
44848711_00_000,44848711,primary,,SH,397.4895935058594,25.257204055786133,-0.0028571952134370804,145.79130384196088,tree_cover,0.4199531320719078,low,random_forest-extended-v1-20260902
44848711_00_001,44848711,primary,,SH,346.74127197265625,23.179824829101562,-0.030223093926906586,120.22258900738453,tree_cover,0.3260918795541973,low,random_forest-extended-v1-20260902
44848711_00_002,44848711,primary,,SH,345.52162170410156,22.010820388793945,-0.00911359116435051,152.85029018382744,tree_cover,0.28646215847491047,low,random_forest-extended-v1-20260902
44848711_00_003,44848711,primary,,SH,324.3008575439453,20.091644287109375,-0.04860462248325348,145.79130384196088,tree_cover,0.21152870360667606,low,random_forest-extended-v1-20260902
44848714_00_000,44848714,primary,,SH,417.5713806152344,29.966215133666992,-0.029146261513233185,116.63304307356871,tree_cover,0.5331500573612082,moderate,random_forest-extended-v1-20260902
44848714_00_001,44848714,primary,,SH,379.8616943359375,29.32550811767578,-0.029792360961437225,120.22258900738453,tree_cover,0.5641931771330703,moderate,random_forest-extended-v1-20260902
44848714_00_002,44848714,primary,,SH,368.1754455566406,25.735824584960938,-0.04102013260126114,116.63304307356871,tree_cover,0.49278411210791784,moderate,random_forest-extended-v1-20260902
44848714_00_003,44848714,primary,,SH,394.7099609375,27.984573364257812,-0.015377165749669075,116.63304307356871,tree_cover,0.5714345485194772,moderate,random_forest-extended-v1-20260902
44848714_00_004,44848714,primary,,SH,393.55242919921875,28.291006088256836,-0.03582262247800827,120.22258900738453,tree_cover,0.5726523473829389,moderate,random_forest-extended-v1-20260902
44848714_00_005,44848714,primary,,SH,342.3804016113281,25.38125991821289,-0.009878141805529594,145.79130384196088,tree_cover,0.4339412057418604,moderate,random_forest-extended-v1-20260902
44848715_00_000,44848715,primary,,SH,322.6056213378906,12.610708236694336,-0.01872970350086689,157.02203972719624,tree_cover,0.16514024219213333,low,random_forest-extended-v1-20260902
44848715_00_001,44848715,primary,,SH,342.87078857421875,14.981012344360352,-0.04417884349822998,195.5995595513705,tree_cover,0.15720036499390566,low,random_forest-extended-v1-20260902
44848715_00_002,44848715,primary,,SH,354.1386413574219,20.421640396118164,-0.1146036759018898,157.02203972719624,tree_cover,0.1936346730182089,low,random_forest-extended-v1-20260902
44848719_00_000,44848719,primary,,SH,398.42181396484375,27.089021682739258,-0.08979345858097076,145.79130384196088,tree_cover,0.4887556581252958,moderate,random_forest-extended-v1-20260902
44848719_00_001,44848719,primary,,SH,439.87933349609375,28.222944259643555,-0.0771011933684349,157.02203972719624,tree_cover,0.5026599549701947,moderate,random_forest-extended-v1-20260902
44848719_00_002,44848719,primary,,SH,395.5583190917969,24.80528450012207,-0.11756855249404907,123.70802350161468,tree_cover,0.4144116100307794,low,random_forest-extended-v1-20260902
44848719_00_003,44848719,primary,,SH,443.32525634765625,25.699129104614258,-0.04445163905620575,170.02041587784976,tree_cover,0.4237570673427679,moderate,random_forest-extended-v1-20260902
44848719_00_004,44848719,primary,,SH,409.5482635498047,24.54007911682129,-0.07862670719623566,164.94403133548627,tree_cover,0.3324913047795467,low,random_forest-extended-v1-20260902
44848719_00_005,44848719,primary,,SH,398.63218688964844,24.172832489013672,-0.077517569065094,145.79130384196088,tree_cover,0.3426956196041911,low,random_forest-extended-v1-20260902
44848719_00_006,44848719,primary,,SH,414.8596496582031,25.534420013427734,-0.07437322288751602,145.79130384196088,tree_cover,0.42740444248845166,moderate,random_forest-extended-v1-20260902
44848719_00_007,44848719,primary,,SH,435.6515197753906,27.7593994140625,-0.06739534437656403,184.41303327450134,tree_cover,0.49405815871411546,moderate,random_forest-extended-v1-20260902
44848719_00_008,44848719,primary,,SH,426.6248321533203,28.79025650024414,-0.08032092452049255,184.41303327450134,tree_cover,0.4820448862644297,moderate,random_forest-extended-v1-20260902
44848719_00_009,44848719,primary,,SH,420.9423828125,28.447940826416016,-0.0951632633805275,123.70802350161468,tree_cover,0.5202089897083747,moderate,random_forest-extended-v1-20260902
44848719_00_010,44848719,primary,,SH,457.75592041015625,30.73764419555664,-0.050065524876117706,123.70802350161468,tree_cover,0.623675791388329,high,random_forest-extended-v1-20260902
44848721_00_000,44848721,primary,,SH,467.75962829589844,30.907325744628906,-0.06889214366674423,145.79130384196088,tree_cover,0.5971201585170703,high,random_forest-extended-v1-20260902
44848721_00_001,44848721,primary,,SH,454.4575653076172,29.418527603149414,-0.07308819890022278,145.79130384196088,tree_cover,0.5086261778343012,moderate,random_forest-extended-v1-20260902
44848721_00_002,44848721,primary,,SH,474.5757141113281,31.248022079467773,-0.1049121841788292,145.79130384196088,tree_cover,0.5946181032753769,moderate,random_forest-extended-v1-20260902
