state,batch_num,total_batches,points_in_batch,result,cached
manipur,1,43,12,SUCCESS,False
manipur,2,43,12,SUCCESS,False
manipur,3,43,12,SUCCESS,False
manipur,4,43,12,SUCCESS,False
manipur,5,43,12,SUCCESS,False
manipur,6,43,12,SUCCESS,False
manipur,7,43,12,SUCCESS,False
manipur,8,43,12,SUCCESS,False
manipur,9,43,12,SUCCESS,False
manipur,10,43,12,SUCCESS,False
manipur,11,43,12,SUCCESS,False
manipur,12,43,12,SUCCESS,False
manipur,13,43,12,SUCCESS,False
manipur,14,43,12,SUCCESS,False
manipur,15,43,12,SUCCESS,False
manipur,16,43,12,SUCCESS,False
manipur,17,43,12,SKIPPED,False
manipur,18,43,12,SKIPPED,False
manipur,19,43,12,SUCCESS,False
manipur,20,43,12,SUCCESS,False
manipur,21,43,12,SUCCESS,False
manipur,22,43,12,SUCCESS,False
manipur,23,43,12,SUCCESS,False
manipur,24,43,12,SUCCESS,False
manipur,25,43,12,SUCCESS,False
manipur,26,43,12,SUCCESS,False
manipur,27,43,12,SUCCESS,False
manipur,28,43,12,SUCCESS,False
manipur,29,43,12,SUCCESS,False
manipur,30,43,12,SUCCESS,False
manipur,31,43,12,SUCCESS,False
manipur,32,43,12,SUCCESS,False
manipur,33,43,12,SUCCESS,False
manipur,34,43,12,SUCCESS,False
manipur,35,43,12,SKIPPED,False
manipur,36,43,12,SKIPPED,False
manipur,37,43,12,SKIPPED,False
manipur,38,43,12,SKIPPED,False
manipur,39,43,12,SKIPPED,False
manipur,40,43,12,SKIPPED,False
manipur,41,43,12,SKIPPED,False
manipur,42,43,12,SKIPPED,False
manipur,43,43,2,SKIPPED,False
mizoram,1,42,12,SKIPPED,False
mizoram,2,42,12,SKIPPED,False
mizoram,3,42,12,SKIPPED,False
mizoram,4,42,12,SKIPPED,False
mizoram,5,42,12,SKIPPED,False
mizoram,6,42,12,SKIPPED,False
mizoram,7,42,12,SKIPPED,False
mizoram,8,42,12,SKIPPED,False
mizoram,9,42,12,SKIPPED,False
mizoram,10,42,12,SKIPPED,False
mizoram,11,42,12,SKIPPED,False
mizoram,12,42,12,SKIPPED,False
mizoram,13,42,12,SKIPPED,False
mizoram,14,42,12,SKIPPED,False
mizoram,15,42,12,SKIPPED,False
mizoram,16,42,12,SKIPPED,False
mizoram,17,42,12,SKIPPED,False
mizoram,18,42,12,SKIPPED,False
mizoram,19,42,12,SKIPPED,False
mizoram,20,42,12,SKIPPED,False
mizoram,21,42,12,SKIPPED,False
mizoram,22,42,12,SKIPPED,False
mizoram,23,42,12,SKIPPED,False
mizoram,24,42,12,SKIPPED,False
mizoram,25,42,12,SKIPPED,False
mizoram,26,42,12,SKIPPED,False
mizoram,27,42,12,SKIPPED,False
mizoram,28,42,12,SKIPPED,False
mizoram,29,42,12,SKIPPED,False
mizoram,30,42,12,SUCCESS,False
mizoram,31,42,12,SUCCESS,False
mizoram,32,42,12,SKIPPED,False
mizoram,33,42,12,SKIPPED,False
mizoram,34,42,12,SKIPPED,False
mizoram,35,42,12,SKIPPED,False
mizoram,36,42,12,SKIPPED,False
mizoram,37,42,12,SKIPPED,False
mizoram,38,42,12,SKIPPED,False
mizoram,39,42,12,SKIPPED,False
mizoram,40,42,12,SKIPPED,False
mizoram,41,42,12,SKIPPED,False
mizoram,42,42,4,SKIPPED,False
meghalaya,1,45,12,SKIPPED,False
meghalaya,2,45,12,SKIPPED,False
meghalaya,3,45,12,SKIPPED,False
meghalaya,4,45,12,SKIPPED,False
meghalaya,5,45,12,SKIPPED,False
meghalaya,6,45,12,SKIPPED,False
meghalaya,7,45,12,SKIPPED,False
meghalaya,8,45,12,SKIPPED,False
meghalaya,9,45,12,SKIPPED,False
meghalaya,10,45,12,SKIPPED,False
meghalaya,11,45,12,SKIPPED,False
meghalaya,12,45,12,SKIPPED,False
meghalaya,13,45,12,SKIPPED,False
meghalaya,14,45,12,SKIPPED,False
meghalaya,15,45,12,SKIPPED,False
meghalaya,16,45,12,SKIPPED,False
meghalaya,17,45,12,SKIPPED,False
meghalaya,18,45,12,SKIPPED,False
meghalaya,19,45,12,SKIPPED,False
meghalaya,20,45,12,SKIPPED,False
meghalaya,21,45,12,SKIPPED,False
meghalaya,22,45,12,SKIPPED,False
meghalaya,23,45,12,SKIPPED,False
meghalaya,24,45,12,SKIPPED,False
meghalaya,25,45,12,SKIPPED,False
meghalaya,26,45,12,SKIPPED,False
meghalaya,27,45,12,SKIPPED,False
meghalaya,28,45,12,SKIPPED,False
meghalaya,29,45,12,SUCCESS,False
meghalaya,30,45,12,SKIPPED,False
meghalaya,31,45,12,SKIPPED,False
meghalaya,32,45,12,SKIPPED,False
meghalaya,33,45,12,SKIPPED,False
meghalaya,34,45,12,SKIPPED,False
meghalaya,35,45,12,SKIPPED,False
meghalaya,36,45,12,SKIPPED,False
meghalaya,37,45,12,SKIPPED,False
meghalaya,38,45,12,SKIPPED,False
meghalaya,39,45,12,SKIPPED,False
meghalaya,40,45,12,SKIPPED,False
meghalaya,41,45,12,SKIPPED,False
meghalaya,42,45,12,SKIPPED,False
meghalaya,43,45,12,SKIPPED,False
meghalaya,44,45,12,SKIPPED,False
meghalaya,45,45,12,SKIPPED,False
nagaland,1,46,12,SKIPPED,False
nagaland,2,46,12,SUCCESS,True
nagaland,3,46,12,SUCCESS,True
nagaland,4,46,12,SUCCESS,True
nagaland,5,46,12,SUCCESS,True
nagaland,6,46,12,SUCCESS,True
nagaland,7,46,12,SUCCESS,True
nagaland,8,46,12,SUCCESS,True
nagaland,9,46,12,SUCCESS,True
nagaland,10,46,12,SUCCESS,True
nagaland,11,46,12,SUCCESS,True
nagaland,12,46,12,SUCCESS,True
nagaland,13,46,12,SUCCESS,True
nagaland,14,46,12,SUCCESS,True
nagaland,15,46,12,SUCCESS,True
nagaland,16,46,12,SUCCESS,True
nagaland,17,46,12,SUCCESS,True
nagaland,18,46,12,SUCCESS,True
nagaland,19,46,12,SKIPPED,False
nagaland,20,46,12,SKIPPED,False
nagaland,21,46,12,SUCCESS,True
nagaland,22,46,12,SUCCESS,True
nagaland,23,46,12,SUCCESS,True
nagaland,24,46,12,SUCCESS,True
nagaland,25,46,12,SUCCESS,True
nagaland,26,46,12,SUCCESS,True
nagaland,27,46,12,SUCCESS,True
nagaland,28,46,12,SUCCESS,True
nagaland,29,46,12,SUCCESS,True
nagaland,30,46,12,SUCCESS,True
nagaland,31,46,12,SUCCESS,True
nagaland,32,46,12,SUCCESS,True
nagaland,33,46,12,SKIPPED,False
nagaland,34,46,12,SKIPPED,False
nagaland,35,46,12,SKIPPED,False
nagaland,36,46,12,SKIPPED,False
nagaland,37,46,12,SKIPPED,False
nagaland,38,46,12,SKIPPED,False
nagaland,39,46,12,SKIPPED,False
nagaland,40,46,12,SKIPPED,False
nagaland,41,46,12,SKIPPED,False
nagaland,42,46,12,SKIPPED,False
nagaland,43,46,12,SKIPPED,False
nagaland,44,46,12,SKIPPED,False
nagaland,45,46,12,SKIPPED,False
nagaland,46,46,12,SKIPPED,False
assam,1,39,12,SUCCESS,True
assam,2,39,12,SUCCESS,True
assam,3,39,12,SUCCESS,True
assam,4,39,12,SUCCESS,True
assam,5,39,12,SUCCESS,True
assam,6,39,12,SUCCESS,True
assam,7,39,12,SUCCESS,True
assam,8,39,12,SUCCESS,True
assam,9,39,12,SUCCESS,True
assam,10,39,12,SUCCESS,True
assam,11,39,12,SUCCESS,True
assam,12,39,12,SUCCESS,True
assam,13,39,12,SUCCESS,True
assam,14,39,12,SUCCESS,True
assam,15,39,12,SUCCESS,True
assam,16,39,12,SUCCESS,True
assam,17,39,12,SUCCESS,True
assam,18,39,12,SUCCESS,True
assam,19,39,12,SUCCESS,True
assam,20,39,12,SUCCESS,True
assam,21,39,12,SUCCESS,True
assam,22,39,12,SUCCESS,True
assam,23,39,12,SUCCESS,True
assam,24,39,12,SUCCESS,True
assam,25,39,12,SUCCESS,True
assam,26,39,12,SUCCESS,True
assam,27,39,12,SUCCESS,True
assam,28,39,12,SUCCESS,True
assam,29,39,12,SUCCESS,True
assam,30,39,12,SUCCESS,True
assam,31,39,12,SUCCESS,True
assam,32,39,12,SUCCESS,True
assam,33,39,12,SUCCESS,False
assam,34,39,12,SUCCESS,False
assam,35,39,12,SUCCESS,False
assam,36,39,12,SUCCESS,False
assam,37,39,12,SUCCESS,False
assam,38,39,12,SUCCESS,False
assam,39,39,3,SUCCESS,False
arunachal_pradesh,1,28,12,SUCCESS,False
arunachal_pradesh,2,28,12,SUCCESS,False
arunachal_pradesh,3,28,12,SUCCESS,False
arunachal_pradesh,4,28,12,SUCCESS,True
arunachal_pradesh,5,28,12,SUCCESS,True
arunachal_pradesh,6,28,12,SUCCESS,True
arunachal_pradesh,7,28,12,SUCCESS,True
arunachal_pradesh,8,28,12,SUCCESS,True
arunachal_pradesh,9,28,12,SUCCESS,True
arunachal_pradesh,10,28,12,SUCCESS,True
arunachal_pradesh,11,28,12,SUCCESS,True
arunachal_pradesh,12,28,12,SUCCESS,True
arunachal_pradesh,13,28,12,SUCCESS,True
arunachal_pradesh,14,28,12,SUCCESS,True
arunachal_pradesh,15,28,12,SUCCESS,True
arunachal_pradesh,16,28,12,SUCCESS,True
arunachal_pradesh,17,28,12,SUCCESS,True
arunachal_pradesh,18,28,12,SUCCESS,True
arunachal_pradesh,19,28,12,SUCCESS,True
arunachal_pradesh,20,28,12,SUCCESS,False
arunachal_pradesh,21,28,12,SUCCESS,True
arunachal_pradesh,22,28,12,SUCCESS,True
arunachal_pradesh,23,28,12,SUCCESS,True
arunachal_pradesh,24,28,12,SUCCESS,True
arunachal_pradesh,25,28,12,SUCCESS,True
arunachal_pradesh,26,28,12,SUCCESS,True
arunachal_pradesh,27,28,12,SUCCESS,True
arunachal_pradesh,28,28,1,SUCCESS,True
